Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
LRRK1,Lymphocyte,PTSD,Wald ratio,1,1.02,2.10E-01,NA,NA,NA,0.016172773
EMR2,Lymphocyte,PTSD,Wald ratio,1,1.034,2.10E-01,NA,NA,NA,0.005598241
TPD52,Lymphocyte,PTSD,Wald ratio,1,0.984,2.12E-01,NA,NA,NA,0.015862824
KAZN,Lymphocyte,PTSD,Wald ratio,1,1.018,2.16E-01,NA,NA,NA,0.014313062
SNCG,Lymphocyte,PTSD,Wald ratio,1,1.029,2.17E-01,NA,NA,NA,0.001266834
CREB3L2,Lymphocyte,PTSD,Wald ratio,1,0.971,2.18E-01,NA,NA,NA,0.002493316
VPS13C,Lymphocyte,PTSD,Wald ratio,1,1.029,2.19E-01,NA,NA,NA,0.015388033
TGFBR3,Lymphocyte,PTSD,Wald ratio,1,1.025,2.19E-01,NA,NA,NA,0.014811819
PLEKHA7,Lymphocyte,PTSD,Wald ratio,1,0.977,2.19E-01,NA,NA,NA,0.000283594
GCNT2,Lymphocyte,PTSD,Wald ratio,1,0.972,2.22E-01,NA,NA,NA,0.015279873
DOCK8,Lymphocyte,PTSD,Wald ratio,1,0.985,2.24E-01,NA,NA,NA,0.000194119
DFNA5,Lymphocyte,PTSD,Wald ratio,1,1.021,2.32E-01,NA,NA,NA,0.020655476
CMIP,Lymphocyte,PTSD,Wald ratio,1,1.026,2.33E-01,NA,NA,NA,2.12E-05
NT5DC2,Lymphocyte,PTSD,Wald ratio,1,1.037,2.34E-01,NA,NA,NA,0.014556053
SSH1,Lymphocyte,PTSD,Wald ratio,1,0.982,2.36E-01,NA,NA,NA,3.85E-06
KCNN3,Lymphocyte,PTSD,Wald ratio,1,0.977,2.44E-01,NA,NA,NA,0.010300825
NRCAM,Lymphocyte,PTSD,Wald ratio,1,0.972,2.45E-01,NA,NA,NA,0.015337819
SPATA20,Lymphocyte,PTSD,Wald ratio,1,1.026,2.47E-01,NA,NA,NA,0.001515754
TSHZ1,Lymphocyte,PTSD,Wald ratio,1,0.987,2.52E-01,NA,NA,NA,0.015456274
TARBP1,Lymphocyte,PTSD,Inverse variance weighted,2,0.983,2.53E-01,NA,0.609423347,NA,0.015776861
SYNGR1,Lymphocyte,PTSD,Wald ratio,1,0.983,2.56E-01,NA,NA,NA,0.012384995
IGHVIII-67-3,Lymphocyte,PTSD,Wald ratio,1,0.977,2.56E-01,NA,NA,NA,0.000585909
ZNF808,Lymphocyte,PTSD,Wald ratio,1,0.976,2.57E-01,NA,NA,NA,0.001048183
RAPGEF5,Lymphocyte,PTSD,Wald ratio,1,1.019,2.57E-01,NA,NA,NA,2.09E-05
OVOL1,Lymphocyte,PTSD,Wald ratio,1,1.009,2.60E-01,NA,NA,NA,0.013665146
AC005592.2,Lymphocyte,PTSD,Wald ratio,1,1.016,2.60E-01,NA,NA,NA,0.013387181
PROSER2,Lymphocyte,PTSD,Wald ratio,1,0.986,2.70E-01,NA,NA,NA,1.16E-05
MED31,Lymphocyte,PTSD,Wald ratio,1,0.972,2.71E-01,NA,NA,NA,0.012197508
DNM3,Lymphocyte,PTSD,Wald ratio,1,0.966,2.71E-01,NA,NA,NA,4.83E-06
WDSUB1,Lymphocyte,PTSD,Wald ratio,1,0.978,2.73E-01,NA,NA,NA,0.001792597
