Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
ITFG1,Brain Putamen basal ganglia,PTSD,Wald ratio,1,1.088,2.57E-03,NA,NA,NA,0.000334159
GPT2,Brain Substantia nigra,PTSD,Wald ratio,1,0.966,2.57E-03,NA,NA,NA,0.000245079
TMEM50B,Brain Spinal cord cervical,PTSD,Wald ratio,1,1.059,2.58E-03,NA,NA,NA,0.402984249
CCNH,Brain Hypothalamus,PTSD,Wald ratio,1,0.915,2.59E-03,NA,NA,NA,0.000394909
BLOC1S5,Brain Substantia nigra,PTSD,Wald ratio,1,1.097,2.59E-03,NA,NA,NA,0.000736135
KRIT1,Brain Hypothalamus,PTSD,Wald ratio,1,1.156,2.62E-03,NA,NA,NA,0.001301108
MANEAL,Brain Spinal cord cervical,PTSD,Wald ratio,1,1.085,2.70E-03,NA,NA,NA,0.001581098
TNKS,Brain Hippocampus,PTSD,Wald ratio,1,0.905,2.73E-03,NA,NA,NA,0.000339573
VPS16,Brain Putamen basal ganglia,PTSD,Wald ratio,1,1.09,2.75E-03,NA,NA,NA,0.001448901
TMEM151B,Brain Substantia nigra,PTSD,Wald ratio,1,0.83,2.82E-03,NA,NA,NA,0.000328458
POGLUT1,Brain Putamen basal ganglia,PTSD,Wald ratio,1,1.091,2.92E-03,NA,NA,NA,0.004905727
TPM3,Brain Putamen basal ganglia,PTSD,Wald ratio,1,1.101,2.93E-03,NA,NA,NA,0.060291005
PMVK,Brain Putamen basal ganglia,PTSD,Wald ratio,1,0.843,2.93E-03,NA,NA,NA,0.053051062
PBXIP1,Brain Putamen basal ganglia,PTSD,Wald ratio,1,0.843,2.93E-03,NA,NA,NA,0.053051062
TMEM50B,Brain Putamen basal ganglia,PTSD,Wald ratio,1,0.923,2.95E-03,NA,NA,NA,0.023356249
TSNAX,Brain Putamen basal ganglia,PTSD,Wald ratio,1,1.165,2.97E-03,NA,NA,NA,0.000765667
ANKRD6,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,0.891,3.01E-03,NA,NA,NA,0.001069982
ANXA3,Brain Spinal cord cervical,PTSD,Wald ratio,1,1.097,3.01E-03,NA,NA,NA,0.000564808
LRRC58,Brain Spinal cord cervical,PTSD,Wald ratio,1,0.931,3.01E-03,NA,NA,NA,0.000277175
SLC4A2,Brain Putamen basal ganglia,PTSD,Wald ratio,1,1.239,3.10E-03,NA,NA,NA,0.011573404
ATP7B,Brain Putamen basal ganglia,PTSD,Wald ratio,1,0.903,3.13E-03,NA,NA,NA,0.001411061
HNRNPM,Brain Hippocampus,PTSD,Wald ratio,1,1.073,3.15E-03,NA,NA,NA,0.389431426
MARCHF2,Brain Hippocampus,PTSD,Wald ratio,1,1.073,3.15E-03,NA,NA,NA,0.389431426
NKX6-2,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,1.14,3.15E-03,NA,NA,NA,0.000582873
EXTL3,Brain Putamen basal ganglia,PTSD,Wald ratio,1,0.902,3.15E-03,NA,NA,NA,0.003318349
SORT1,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,1.169,3.18E-03,NA,NA,NA,0.01427064
NUDT2,Brain Putamen basal ganglia,PTSD,Wald ratio,1,1.066,3.20E-03,NA,NA,NA,0.42477139
SNHG6,Brain Substantia nigra,PTSD,Wald ratio,1,0.874,3.21E-03,NA,NA,NA,0.000586834
MIF-AS1,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,1.123,3.24E-03,NA,NA,NA,0.001222725
DUSP10,Brain Putamen basal ganglia,PTSD,Wald ratio,1,1.108,3.24E-03,NA,NA,NA,0.001251043
TRIM7-AS2,Brain Substantia nigra,PTSD,Wald ratio,1,1.091,3.25E-03,NA,NA,NA,0.02539618
LARGE1,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,0.906,3.28E-03,NA,NA,NA,0.167727053
RAD17,Brain Hypothalamus,PTSD,Wald ratio,1,0.909,3.30E-03,NA,NA,NA,0.000556336
RGS12,Brain Putamen basal ganglia,PTSD,Wald ratio,1,0.924,3.35E-03,NA,NA,NA,0.000306025
KRR1,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,1.139,3.36E-03,NA,NA,NA,0.000296082
NCAM1,Brain Hippocampus,PTSD,Wald ratio,1,0.823,3.41E-03,NA,NA,NA,0.000224241
KCNT1,Brain Hypothalamus,PTSD,Wald ratio,1,1.104,3.41E-03,NA,NA,NA,0.103603044
SLCO1A2,Brain Putamen basal ganglia,PTSD,Wald ratio,1,1.07,3.41E-03,NA,NA,NA,0.00090258
CYP2J2,Brain Hippocampus,PTSD,Wald ratio,1,0.946,3.44E-03,NA,NA,NA,0.000207344
NFIA,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,1.063,3.44E-03,NA,NA,NA,0.000263214
CLDN11,Brain Substantia nigra,PTSD,Wald ratio,1,0.925,3.47E-03,NA,NA,NA,0.179491539
UBE3C,Brain Hypothalamus,PTSD,Wald ratio,1,1.16,3.51E-03,NA,NA,NA,0.000536082
ATG7,Brain Hypothalamus,PTSD,Wald ratio,1,0.881,3.52E-03,NA,NA,NA,0.001389287
MTSS2,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,0.957,3.66E-03,NA,NA,NA,0.331083386
TMEM50B,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,0.943,3.67E-03,NA,NA,NA,0.329325985
