Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
TMEM161B-DT,Brain Spinal,ADHD,Inverse variance weighted,2,1.056,8.33E-05,NA,0.552216678,NA,0.875181407
CD40,Brain Amygdala,ADHD,Wald ratio,1,1.111,8.59E-05,NA,NA,NA,0.61713795
SLC17A6,Brain Frontal Cortex,ADHD,Wald ratio,1,0.838,8.80E-05,NA,NA,NA,0.659392341
VAT1,Brain Cerebellum,ADHD,Wald ratio,1,1.126,8.86E-05,NA,NA,NA,0.914014711
ARL4D,Brain Cerebellum,ADHD,Wald ratio,1,1.091,8.86E-05,NA,NA,NA,0.914025794
DHX8,Brain Cerebellum,ADHD,Wald ratio,1,1.149,8.86E-05,NA,NA,NA,0.907148807
CAVIN1,Brain Cerebellum,ADHD,Wald ratio,1,1.155,8.86E-05,NA,NA,NA,0.169223807
NBR2,Brain Cerebellum,ADHD,Wald ratio,1,1.034,8.86E-05,NA,NA,NA,0.914026028
RND2,Brain Cerebellum,ADHD,Wald ratio,1,0.891,8.86E-05,NA,NA,NA,0.91366919
LINC00910,Brain Cerebellum,ADHD,Wald ratio,1,1.075,8.86E-05,NA,NA,NA,0.911404354
COASY,Brain Cerebellum,ADHD,Wald ratio,1,1.206,8.86E-05,NA,NA,NA,0.350851518
CCDC200,Brain Cerebellum,ADHD,Wald ratio,1,1.077,8.86E-05,NA,NA,NA,0.535231996
NBR1,Brain Cerebellum,ADHD,Wald ratio,1,1.093,8.86E-05,NA,NA,NA,0.914026028
NBR2,Brain Caudate,ADHD,Wald ratio,1,1.033,9.21E-05,NA,NA,NA,0.9111099
NBR2,Brain Cortex,ADHD,Wald ratio,1,1.037,9.21E-05,NA,NA,NA,0.9111099
NBR2,Brain Spinal,ADHD,Wald ratio,1,1.032,9.21E-05,NA,NA,NA,0.9111099
NBR1,Brain Spinal,ADHD,Wald ratio,1,1.178,9.21E-05,NA,NA,NA,0.541789725
ABHD5,Brain Hippocampus,ADHD,Wald ratio,1,1.161,9.34E-05,NA,NA,NA,0.627784637
NBR2,Brain Amygdala,ADHD,Wald ratio,1,1.031,9.62E-05,NA,NA,NA,0.907774206
NBR2,Brain Anterior cingulate cortex BA24,ADHD,Wald ratio,1,0.965,9.62E-05,NA,NA,NA,0.907774206
COG6,Brain Cerebellar Hemisphere,ADHD,Wald ratio,1,1.223,9.62E-05,NA,NA,NA,0.612603162
RND2,Brain Cerebellar Hemisphere,ADHD,Wald ratio,1,1.155,9.62E-05,NA,NA,NA,0.461621855
ARL4D,Brain Cerebellar Hemisphere,ADHD,Wald ratio,1,0.92,9.62E-05,NA,NA,NA,0.907772967
NBR1,Brain Cerebellar Hemisphere,ADHD,Wald ratio,1,0.9,9.62E-05,NA,NA,NA,0.907774206
VAT1,Brain Cerebellar Hemisphere,ADHD,Wald ratio,1,0.881,9.62E-05,NA,NA,NA,0.893117938
DHX8,Brain Cerebellar Hemisphere,ADHD,Wald ratio,1,0.846,9.62E-05,NA,NA,NA,0.650331301
NBR2,Brain Cerebellar Hemisphere,ADHD,Wald ratio,1,0.971,9.62E-05,NA,NA,NA,0.907774206
CCDC200,Brain Cerebellar Hemisphere,ADHD,Wald ratio,1,0.915,9.62E-05,NA,NA,NA,0.115200972
AOC3,Brain Cerebellar Hemisphere,ADHD,Wald ratio,1,0.903,9.62E-05,NA,NA,NA,0.462384133
NBR2,Brain Putamen,ADHD,Wald ratio,1,1.032,9.62E-05,NA,NA,NA,0.907774206
NBR2,Brain Frontal Cortex,ADHD,Wald ratio,1,1.032,1.00E-04,NA,NA,NA,0.904336215
GATD1-DT,Brain Amygdala,ADHD,Wald ratio,1,0.927,1.01E-04,NA,NA,NA,0.901863991
GATD1-DT,Brain Anterior cingulate cortex BA24,ADHD,Wald ratio,1,0.926,1.01E-04,NA,NA,NA,0.901343212
GATD1-DT,Brain Caudate,ADHD,Wald ratio,1,0.956,1.01E-04,NA,NA,NA,0.901865976
PNPLA2,Brain Cerebellar Hemisphere,ADHD,Wald ratio,1,1.184,1.01E-04,NA,NA,NA,0.602081502
GATD1-DT,Brain Cerebellar Hemisphere,ADHD,Wald ratio,1,0.959,1.01E-04,NA,NA,NA,0.901865976
PIDD1,Brain Cerebellar Hemisphere,ADHD,Wald ratio,1,0.938,1.01E-04,NA,NA,NA,0.901865976
GATD1-DT,Brain Cerebellum,ADHD,Wald ratio,1,0.962,1.01E-04,NA,NA,NA,0.901865976
PIDD1,Brain Cerebellum,ADHD,Wald ratio,1,0.947,1.01E-04,NA,NA,NA,0.901865976
AP006621.5,Brain Cortex SMR,ADHD,Wald ratio,1,1.034,1.01E-04,NA,NA,NA,0.901865985
GATD1,Brain Cortex SMR,ADHD,Wald ratio,1,1.109,1.01E-04,NA,NA,NA,0.901865985
AP006621.2,Brain Cortex SMR,ADHD,Wald ratio,1,1.084,1.01E-04,NA,NA,NA,0.901865985
PNPLA2,Brain Cortex SMR,ADHD,Wald ratio,1,0.918,1.01E-04,NA,NA,NA,0.901865985
AP006621.3,Brain Cortex SMR,ADHD,Wald ratio,1,1.037,1.01E-04,NA,NA,NA,0.901865985
PIDD1,Brain Cortex SMR,ADHD,Wald ratio,1,1.121,1.01E-04,NA,NA,NA,0.901865985
PIDD1,Brain Cortex,ADHD,Wald ratio,1,0.803,1.01E-04,NA,NA,NA,0.664877479
PNPLA2,Brain Cortex,ADHD,Wald ratio,1,1.139,1.01E-04,NA,NA,NA,0.90131
GATD1-DT,Brain Cortex,ADHD,Wald ratio,1,0.954,1.01E-04,NA,NA,NA,0.901865976
GATD1-DT,Brain Frontal Cortex,ADHD,Wald ratio,1,0.947,1.01E-04,NA,NA,NA,0.901865976
PNPLA2,Brain Frontal Cortex,ADHD,Wald ratio,1,1.079,1.01E-04,NA,NA,NA,0.901865938
PIDD1,Brain Frontal Cortex,ADHD,Wald ratio,1,0.846,1.01E-04,NA,NA,NA,0.87818974
GATD1-DT,Brain Hippocampus,ADHD,Wald ratio,1,0.95,1.01E-04,NA,NA,NA,0.901865976
GATD1-DT,Brain Hypothalamus,ADHD,Wald ratio,1,0.939,1.01E-04,NA,NA,NA,0.901865976
GATD1-DT,Brain Nucleus,ADHD,Wald ratio,1,0.951,1.01E-04,NA,NA,NA,0.901865976
GATD1-DT,Brain Putamen,ADHD,Wald ratio,1,0.952,1.01E-04,NA,NA,NA,0.901865976
GATD1-DT,Brain Spinal,ADHD,Wald ratio,1,0.948,1.01E-04,NA,NA,NA,0.901865975
GATD1-DT,Brain Substantia,ADHD,Wald ratio,1,0.934,1.01E-04,NA,NA,NA,0.901832011
PIDD,Meta 10 Brain Regions,ADHD,Wald ratio,1,1.088,1.01E-04,NA,NA,NA,0.901582289
AP006621.5,Meta 10 Brain Regions,ADHD,Wald ratio,1,1.05,1.01E-04,NA,NA,NA,0.901865985
AP006621.1,Meta 10 Brain Regions,ADHD,Wald ratio,1,1.04,1.01E-04,NA,NA,NA,0.901865985
PNPLA2,Meta 10 Brain Regions,ADHD,Wald ratio,1,0.926,1.01E-04,NA,NA,NA,0.870761256
AP006621.6,Meta 10 Brain Regions,ADHD,Wald ratio,1,1.092,1.01E-04,NA,NA,NA,0.901826567
CCDC171,Brain Cortex SMR,ADHD,Inverse variance weighted,2,0.955,1.03E-04,NA,0.931387382,NA,0.022956014
ARHGEF7,Brain Hippocampus,ADHD,Wald ratio,1,1.104,1.03E-04,NA,NA,NA,0.903641631
ARHGEF7,Brain Nucleus,ADHD,Wald ratio,1,1.18,1.03E-04,NA,NA,NA,0.903652298
ARHGEF7,Brain Putamen,ADHD,Wald ratio,1,1.121,1.03E-04,NA,NA,NA,0.903652302
