Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
KIRREL3,Brain,ALZ,Wald ratio,1,1.033,5.49E-02,NA,NA,NA,0.030443616
ZNF100,Brain,ALZ,Wald ratio,1,0.964,5.63E-02,NA,NA,NA,0.029548413
FAM21EP,Brain,ALZ,Wald ratio,1,0.956,5.70E-02,NA,NA,NA,0.047316995
ING5,Brain,ALZ,Wald ratio,1,1.077,5.78E-02,NA,NA,NA,0.033926938
HFM1,Brain,ALZ,Wald ratio,1,0.929,6.23E-02,NA,NA,NA,0.056002647
SEC14L5,Brain,ALZ,Wald ratio,1,1.056,6.25E-02,NA,NA,NA,0.027938737
MAN2A1,Brain,ALZ,Wald ratio,1,1.076,6.28E-02,NA,NA,NA,0.033030967
MED16,Brain,ALZ,Wald ratio,1,0.943,6.46E-02,NA,NA,NA,0.033047121
ASAP2,Brain,ALZ,Wald ratio,1,0.95,6.53E-02,NA,NA,NA,0.026971238
LRRC4B,Brain,ALZ,Wald ratio,1,0.945,6.58E-02,NA,NA,NA,0.027811907
PI4KA,Brain,ALZ,Wald ratio,1,1.038,6.60E-02,NA,NA,NA,0.025985332
TRIM29,Brain,ALZ,Wald ratio,1,1.052,6.90E-02,NA,NA,NA,0.025068898
NDRG4,Brain,ALZ,Wald ratio,1,0.933,6.94E-02,NA,NA,NA,0.025921338
MARVELD1,Brain,ALZ,Wald ratio,1,1.056,7.02E-02,NA,NA,NA,0.027625229
CCDC7,Brain,ALZ,Wald ratio,1,1.062,7.22E-02,NA,NA,NA,0.024193573
TNFRSF10B,Brain,ALZ,Wald ratio,1,1.076,7.24E-02,NA,NA,NA,0.026229439
RAB7A,Brain,ALZ,Wald ratio,1,0.875,7.28E-02,NA,NA,NA,0.047529526
FARS2,Brain,ALZ,Wald ratio,1,1.074,7.29E-02,NA,NA,NA,0.029106153
ANO5,Brain,ALZ,Wald ratio,1,1.063,7.31E-02,NA,NA,NA,0.029952312
LIMS1,Brain,ALZ,Wald ratio,1,0.964,7.44E-02,NA,NA,NA,0.024314781
LINC02895,Brain,ALZ,Wald ratio,1,1.124,7.48E-02,NA,NA,NA,0.042102849
STARD13,Brain,ALZ,Wald ratio,1,0.934,7.65E-02,NA,NA,NA,0.024452232
LPCAT2,Brain,ALZ,Wald ratio,1,1.065,8.28E-02,NA,NA,NA,0.021482863
CIPC,Brain,ALZ,Wald ratio,1,0.938,8.29E-02,NA,NA,NA,0.023781167
ATP23,Brain,ALZ,Wald ratio,1,0.955,8.35E-02,NA,NA,NA,0.022605329
AGA,Brain,ALZ,Wald ratio,1,1.047,8.35E-02,NA,NA,NA,0.022605329
KDM4B,Brain,ALZ,Wald ratio,1,0.934,8.45E-02,NA,NA,NA,0.038142354
SUZ12,Brain,ALZ,Wald ratio,1,1.095,8.46E-02,NA,NA,NA,0.02935086
GGH,Brain,ALZ,Wald ratio,1,1.072,8.65E-02,NA,NA,NA,0.023619439
NTM,Brain,ALZ,Wald ratio,1,0.94,8.83E-02,NA,NA,NA,0.023832331
GNG7,Brain,ALZ,Inverse variance weighted,2,0.96,8.89E-02,NA,0.930074223,NA,0.01238801
CROCC,Brain,ALZ,Wald ratio,1,0.918,9.04E-02,NA,NA,NA,0.030178333
NUP88,Brain,ALZ,Wald ratio,1,1.068,9.12E-02,NA,NA,NA,0.02089656
ARID5B,Brain,ALZ,Wald ratio,1,0.951,9.38E-02,NA,NA,NA,0.021970013
HEXB,Brain,ALZ,Wald ratio,1,1.062,9.43E-02,NA,NA,NA,0.019971107
KCNH3,Brain,ALZ,Wald ratio,1,0.914,9.52E-02,NA,NA,NA,0.031372897
ENSG00000254990,Brain,ALZ,Wald ratio,1,0.938,9.56E-02,NA,NA,NA,0.019944451
ENSG00000262039,Brain,ALZ,Wald ratio,1,1.072,9.80E-02,NA,NA,NA,0.021040599
IRGM,Brain,ALZ,Wald ratio,1,1.045,9.81E-02,NA,NA,NA,0.034521236
ZNF569,Brain,ALZ,Wald ratio,1,0.959,9.88E-02,NA,NA,NA,0.020184262
