Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
RLTPR,Lymphocyte,SCZ,Wald ratio,1,0.728,6.26E-04,NA,NA,NA,0.680662058
FAM65A,Lymphocyte,SCZ,Wald ratio,1,0.927,6.26E-04,NA,NA,NA,0.678465227
ACD,Lymphocyte,SCZ,Wald ratio,1,0.783,6.26E-04,NA,NA,NA,0.680662042
DLG4,Lymphocyte,SCZ,Wald ratio,1,1.061,6.37E-04,NA,NA,NA,0.599942087
CLDN7,Lymphocyte,SCZ,Wald ratio,1,1.082,6.37E-04,NA,NA,NA,0.599942087
DULLARD,Lymphocyte,SCZ,Wald ratio,1,1.036,6.37E-04,NA,NA,NA,0.59859232
LRRC16A,Lymphocyte,SCZ,Inverse variance weighted,2,0.973,6.40E-04,NA,0.617119947,NA,0.268249643
SUSD1,Lymphocyte,SCZ,Wald ratio,1,1.088,6.41E-04,NA,NA,NA,0.634281685
POLS,Lymphocyte,SCZ,Wald ratio,1,1.034,6.46E-04,NA,NA,NA,0.599365432
KLC1,Lymphocyte,SCZ,Wald ratio,1,1.033,6.91E-04,NA,NA,NA,0.581672943
XRCC3,Lymphocyte,SCZ,Wald ratio,1,1.313,6.91E-04,NA,NA,NA,0.581672943
EGF,Lymphocyte,SCZ,Wald ratio,1,1.037,7.08E-04,NA,NA,NA,0.573490135
ZBED4,Lymphocyte,SCZ,Inverse variance weighted,2,0.96,8.07E-04,NA,0.746366475,NA,0.395746559
XRRA1,Lymphocyte,SCZ,Wald ratio,1,5.029,8.68E-04,NA,NA,NA,0.550338356
RNF175,Lymphocyte,SCZ,Wald ratio,1,0.967,9.36E-04,NA,NA,NA,0.533103791
SFRP2,Lymphocyte,SCZ,Wald ratio,1,0.921,9.36E-04,NA,NA,NA,0.533103791
UBP1,Lymphocyte,SCZ,Wald ratio,1,1.644,9.62E-04,NA,NA,NA,0.569558115
NDUFC2,Lymphocyte,SCZ,Wald ratio,1,0.966,1.00E-03,NA,NA,NA,0.48824972
