Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
HTR3D,Brain Meta Analysis,OCD,Wald ratio,1,1.161,1.38E-02,NA,NA,NA,0.224895615
EDN2,Brain Meta Analysis,OCD,Wald ratio,1,1.258,1.42E-02,NA,NA,NA,0.291178782
KIAA1217,Brain Cortex,OCD,Wald ratio,1,1.244,1.43E-02,NA,NA,NA,0.017226913
SRL,Brain Meta Analysis,OCD,Wald ratio,1,0.939,1.43E-02,NA,NA,NA,0.230640061
ANKRD6,Brain Meta Analysis,OCD,Wald ratio,1,1.125,1.45E-02,NA,NA,NA,0.235854985
CUX1,Brain Meta Analysis,OCD,Wald ratio,1,0.898,1.47E-02,NA,NA,NA,0.22667155
SWAP70,Fetal Brain,OCD,Wald ratio,1,4.53,1.48E-02,NA,NA,NA,0.036078326
ADPRHL1,Brain Cortex,OCD,Wald ratio,1,1.899,1.49E-02,NA,NA,NA,0.050018419
UBR2,Brain Meta Analysis,OCD,Wald ratio,1,1.054,1.49E-02,NA,NA,NA,0.194492886
EDIL3,Brain Meta Analysis,OCD,Wald ratio,1,0.772,1.49E-02,NA,NA,NA,0.243153049
PSKH1,Brain Meta Analysis,OCD,Wald ratio,1,1.091,1.51E-02,NA,NA,NA,0.026788674
CAPN2,Brain Meta Analysis,OCD,Inverse variance weighted,2,1.109,1.52E-02,NA,0.744898191,NA,0.198602479
PRKCB,Fetal Brain,OCD,Wald ratio,1,0.022,1.54E-02,NA,NA,NA,0.218910761
CEND1,Fetal Brain,OCD,Wald ratio,1,0.278,1.55E-02,NA,NA,NA,0.247501566
AATF,Brain Meta Analysis,OCD,Wald ratio,1,0.868,1.56E-02,NA,NA,NA,0.304041297
LONRF1,Brain Meta Analysis,OCD,Wald ratio,1,0.722,1.57E-02,NA,NA,NA,0.30246442
MACROD1,Brain Meta Analysis,OCD,Inverse variance weighted,2,0.914,1.58E-02,NA,0.796482222,NA,0.080130354
SS18L2,Fetal Brain,OCD,Wald ratio,1,0,1.59E-02,NA,NA,NA,0.256021813
