"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"TRAV13-2","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.023","0.031","1.023","4.59e-01",NA,NA,NA,5.85e-06
"NIPA2P2","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.024","0.033","0.976","4.61e-01",NA,NA,NA,1.11e-05
"TSPAN13","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.011","0.015","0.989","4.61e-01",NA,NA,NA,0.0049656
"NCAM2","Stem-cell-iPSC","ALZ","Inverse variance weighted",2,"-0.018","0.024","0.982","4.63e-01",NA,0.125966277,NA,5.06e-05
"EPHA6","Stem-cell-iPSC","ALZ","Inverse variance weighted",2,"-0.007","0.010","0.993","4.63e-01",NA,0.870387128,NA,1.68e-05
"RAD51B","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.024","0.033","1.025","4.64e-01",NA,NA,NA,0.000219516
"METTL25","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.020","0.028","0.980","4.65e-01",NA,NA,NA,6.48e-05
"VEPH1","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.023","0.031","0.978","4.65e-01",NA,NA,NA,5.19e-05
"LINC00676","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.020","0.027","0.980","4.66e-01",NA,NA,NA,3.9e-06
"AHNAK","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.039","0.053","0.962","4.66e-01",NA,NA,NA,0.007753379
"ACTR3B","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.012","0.016","1.012","4.67e-01",NA,NA,NA,2.58e-06
"LRRC27","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.023","0.032","0.977","4.68e-01",NA,NA,NA,0.001013728
"PPARGC1A","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.012","0.017","1.012","4.68e-01",NA,NA,NA,0.005497669
"GNG12-AS1","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.027","0.038","0.973","4.69e-01",NA,NA,NA,0.007021346
"RNU6-546P","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.020","0.027","0.981","4.69e-01",NA,NA,NA,0.002239196
"LRRC2-AS1","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.011","0.015","1.011","4.69e-01",NA,NA,NA,8.14e-05
"ATP11A","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.020","0.028","1.020","4.70e-01",NA,NA,NA,2.44e-05
"FRMD4A","Stem-cell-iPSC","ALZ","MR Egger",3," 0.115","0.105","1.122","4.71e-01",0.327926478,0.308978713,0.447610771,3.8e-05
"NMUR2","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.012","0.016","0.988","4.72e-01",NA,NA,NA,0.006031418
"RORA","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.012","0.017","0.988","4.72e-01",NA,NA,NA,8.29e-06
"SLC35B3","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.013","0.019","0.987","4.76e-01",NA,NA,NA,0.000116386
"PDE8A","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.012","0.017","1.012","4.76e-01",NA,NA,NA,8.85e-06
"MTND5P34","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.013","0.018","1.013","4.76e-01",NA,NA,NA,2.86e-05
"PQLC2L","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.024","0.033","1.024","4.77e-01",NA,NA,NA,0.005833622
"CREG1","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.027","0.038","0.973","4.77e-01",NA,NA,NA,3.8e-05
"UBE2WP1","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.020","0.028","1.020","4.78e-01",NA,NA,NA,0.000238717
"PAX3","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.036","0.050","0.965","4.78e-01",NA,NA,NA,8.96e-05
"MEGF11","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.012","0.017","0.988","4.78e-01",NA,NA,NA,3.78e-06
"HIP1","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.031","0.043","1.031","4.78e-01",NA,NA,NA,0.002856527
"ENPP7P9","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.021","0.029","0.980","4.79e-01",NA,NA,NA,3.6e-05
"GRIN2B","Stem-cell-iPSC","ALZ","Weighted mode",3,"-0.022","0.025","0.978","4.79e-01",0.374279969,0.332752815,0.445437904,1.68e-05
"ZNF385D","Stem-cell-iPSC","ALZ","Inverse variance weighted",2," 0.018","0.025","1.018","4.80e-01",NA,0.591059422,NA,9.36e-06
"DLG2","Stem-cell-iPSC","ALZ","Simple mode",4,"-0.013","0.016","0.987","4.80e-01",0.685767284,0.82764694,0.747350645,0.000468491
"CFAP61","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.019","0.027","0.981","4.80e-01",NA,NA,NA,3.62e-06
"MAGI3","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.012","0.017","0.988","4.82e-01",NA,NA,NA,2.26e-05
"FAM155A","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.010","0.014","1.010","4.83e-01",NA,NA,NA,0.000109992
"TRIB2","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.010","0.014","1.010","4.83e-01",NA,NA,NA,1.09e-05
"METTL4","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.029","0.041","0.972","4.83e-01",NA,NA,NA,0.000924083
"TENM4","Stem-cell-iPSC","ALZ","Simple mode",3," 0.012","0.014","1.012","4.84e-01",0.672583266,0.185204362,0.324765048,0.000310757
"CD36","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.009","0.013","1.009","4.84e-01",NA,NA,NA,0.000134442
"GABRR1","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.024","0.035","1.025","4.84e-01",NA,NA,NA,0.001959576
"SLC24A3","Stem-cell-iPSC","ALZ","Inverse variance weighted",2,"-0.007","0.010","0.993","4.84e-01",NA,0.891676376,NA,2.36e-06
"ABCA1","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.012","0.017","0.989","4.84e-01",NA,NA,NA,0.000173558
"ADGRL2","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.025","0.035","1.025","4.85e-01",NA,NA,NA,0.006489563
"PTPN14","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.018","0.026","1.018","4.85e-01",NA,NA,NA,5.75e-06
"CDH13","Stem-cell-iPSC","ALZ","Simple mode",3," 0.020","0.024","1.021","4.85e-01",0.018466624,0.054184057,0.859503226,0.001270293
"GJC1","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.017","0.025","1.017","4.86e-01",NA,NA,NA,2.57e-06
"FAM78B","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.015","0.021","0.985","4.87e-01",NA,NA,NA,7.38e-06
"FAM13A","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.022","0.032","1.022","4.88e-01",NA,NA,NA,0.000135483
"PON1","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.026","0.037","1.026","4.88e-01",NA,NA,NA,0.000147071
"LINC00886","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.010","0.015","0.990","4.90e-01",NA,NA,NA,3.35e-05
"RHBDF1P1","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.011","0.016","1.011","4.93e-01",NA,NA,NA,0.00144859
"RBM48P1","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.012","0.018","1.012","4.94e-01",NA,NA,NA,1.75e-06
"PRELID2","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.045","0.066","0.956","4.94e-01",NA,NA,NA,7.42e-05
"DDX60L","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.039","0.057","1.040","4.95e-01",NA,NA,NA,0.006857069
