"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"RARRES2","Lymphocyte","SCZ","Wald ratio",1,-0.005,0.013,0.995,0.721,NA,NA,NA,0.005187833
"USP42","Lymphocyte","SCZ","Wald ratio",1,-0.005,0.013,0.995,0.721,NA,NA,NA,0.006810724
"COL4A3","Lymphocyte","SCZ","Wald ratio",1,0.005,0.013,1.005,0.721,NA,NA,NA,0.006810737
"ABLIM3","Lymphocyte","SCZ","Wald ratio",1,0.004,0.012,1.004,0.722,NA,NA,NA,0.005344101
"OR52E8","Lymphocyte","SCZ","Wald ratio",1,0.003,0.009,1.003,0.722,NA,NA,NA,0.004607931
"FCGBP","Lymphocyte","SCZ","Wald ratio",1,-0.004,0.011,0.996,0.722,NA,NA,NA,0.005500285
"FLRT2","Lymphocyte","SCZ","Inverse variance weighted",2,0.006,0.016,1.006,0.722,NA,0.804375261,NA,0.004653918
"OVCA2","Lymphocyte","SCZ","Wald ratio",1,-0.008,0.022,0.992,0.723,NA,NA,NA,0.009037627
"DPH1","Lymphocyte","SCZ","Wald ratio",1,-0.321,0.905,0.725,0.723,NA,NA,NA,0.009037627
"VANGL1","Lymphocyte","SCZ","Wald ratio",1,-0.005,0.016,0.995,0.723,NA,NA,NA,0.007741146
"LOC648740","Lymphocyte","SCZ","Wald ratio",1,-0.005,0.016,0.995,0.724,NA,NA,NA,0.008050477
"C7orf50","Lymphocyte","SCZ","Wald ratio",1,-0.004,0.012,0.996,0.724,NA,NA,NA,0.003356487
"DEFB132","Lymphocyte","SCZ","Wald ratio",1,0.003,0.009,1.003,0.724,NA,NA,NA,0.004655697
"SND1","Lymphocyte","SCZ","Wald ratio",1,0.017,0.049,1.018,0.724,NA,NA,NA,0.004655697
"PDGFD","Lymphocyte","SCZ","Wald ratio",1,0.004,0.011,1.004,0.725,NA,NA,NA,0.004812215
"FST","Lymphocyte","SCZ","Wald ratio",1,0.003,0.01,1.003,0.725,NA,NA,NA,0.003203726
"NOL9","Lymphocyte","SCZ","Wald ratio",1,0.006,0.016,1.006,0.725,NA,NA,NA,0.006746567
"PLEKHG5","Lymphocyte","SCZ","Wald ratio",1,0.021,0.059,1.021,0.725,NA,NA,NA,0.006746567
"PIP4K2A","Lymphocyte","SCZ","Wald ratio",1,-0.005,0.014,0.995,0.726,NA,NA,NA,0.007367455
"FAR1","Lymphocyte","SCZ","Wald ratio",1,0.02,0.057,1.02,0.727,NA,NA,NA,0.007521522
"ERC2","Lymphocyte","SCZ","Simple mode",3,-0.009,0.023,0.991,0.728,0.00507426,0.019610078,0.976574367,0.181444953
"ADH5","Lymphocyte","SCZ","Wald ratio",1,-0.097,0.279,0.907,0.728,NA,NA,NA,0.004858242
"FGF20","Lymphocyte","SCZ","Wald ratio",1,-0.008,0.022,0.992,0.728,NA,NA,NA,0.004543453
