"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"PQLC2L","Stem-cell-iPSC","ASD","Wald ratio",1,-0.022,0.045,0.978,0.628,NA,NA,NA,0.006911751
"FRMD4A","Stem-cell-iPSC","ASD","MR Egger",3,0.167,0.253,1.182,0.628,0.077140101,0.059624547,0.534437335,0.000251123
"PRKCZ","Stem-cell-iPSC","ASD","Wald ratio",1,0.027,0.055,1.027,0.629,NA,NA,NA,7.56e-05
"MIR548AE1","Stem-cell-iPSC","ASD","Wald ratio",1,-0.009,0.02,0.991,0.629,NA,NA,NA,0.000437965
"CWC22","Stem-cell-iPSC","ASD","Wald ratio",1,0.023,0.048,1.023,0.629,NA,NA,NA,0.000965229
"LINC00351","Stem-cell-iPSC","ASD","Wald ratio",1,-0.01,0.021,0.99,0.63,NA,NA,NA,0.005607412
"MYO1C","Stem-cell-iPSC","ASD","Wald ratio",1,-0.009,0.02,0.991,0.631,NA,NA,NA,5.69e-06
"NRSN1","Stem-cell-iPSC","ASD","Wald ratio",1,0.008,0.018,1.008,0.632,NA,NA,NA,0.000117604
"CACNG6","Stem-cell-iPSC","ASD","Wald ratio",1,0.025,0.051,1.025,0.634,NA,NA,NA,1.98e-05
"GAPDHP28","Stem-cell-iPSC","ASD","Wald ratio",1,0.009,0.018,1.009,0.635,NA,NA,NA,0.000547847
"ISCA1P1","Stem-cell-iPSC","ASD","Wald ratio",1,0.021,0.044,1.021,0.635,NA,NA,NA,3.19e-05
"CDK14","Stem-cell-iPSC","ASD","Weighted mode",3,0.013,0.024,1.013,0.636,0.588422666,0.73918905,0.675885369,0.000403487
"UBE2E2","Stem-cell-iPSC","ASD","Wald ratio",1,-0.02,0.042,0.98,0.636,NA,NA,NA,0.000353699
"HMGB3P16","Stem-cell-iPSC","ASD","Wald ratio",1,-0.01,0.021,0.99,0.636,NA,NA,NA,0.008176706
"MIR4475","Stem-cell-iPSC","ASD","Wald ratio",1,-0.011,0.024,0.989,0.637,NA,NA,NA,8.08e-06
"ALOX5AP","Stem-cell-iPSC","ASD","Wald ratio",1,-0.015,0.032,0.985,0.637,NA,NA,NA,1.75e-05
"RB1CC1","Stem-cell-iPSC","ASD","Wald ratio",1,0.016,0.034,1.016,0.637,NA,NA,NA,6.94e-06
"HAGLROS","Stem-cell-iPSC","ASD","Wald ratio",1,-0.012,0.026,0.988,0.638,NA,NA,NA,6.59e-06
"CDK14","Stem-cell-iPSC","ASD","Weighted median",3,0.01,0.02,1.01,0.638,0.588422666,0.73918905,0.675885369,0.000403487
"TMCO3","Stem-cell-iPSC","ASD","Wald ratio",1,-0.013,0.029,0.987,0.639,NA,NA,NA,1.58e-05
"CNTNAP2","Stem-cell-iPSC","ASD","Weighted median",5,0.006,0.012,1.006,0.639,0.423192454,0.57656301,0.78706089,2.57e-05
"RN7SL361P","Stem-cell-iPSC","ASD","Wald ratio",1,0.022,0.046,1.022,0.64,NA,NA,NA,0.006180211
"DDX10","Stem-cell-iPSC","ASD","Wald ratio",1,0.009,0.019,1.009,0.64,NA,NA,NA,0.007891308
"DOCK2","Stem-cell-iPSC","ASD","Wald ratio",1,0.053,0.114,1.055,0.64,NA,NA,NA,8.48e-05
"PNPT1","Stem-cell-iPSC","ASD","Wald ratio",1,0.008,0.018,1.008,0.643,NA,NA,NA,1.33e-05
"PTPRO","Stem-cell-iPSC","ASD","Wald ratio",1,0.027,0.058,1.027,0.643,NA,NA,NA,2.83e-05
"KCNIP3","Stem-cell-iPSC","ASD","Wald ratio",1,0.01,0.022,1.01,0.643,NA,NA,NA,1.47e-05
"KIAA1456","Stem-cell-iPSC","ASD","Inverse variance weighted",2,0.026,0.056,1.026,0.644,NA,0.056442947,NA,1.91e-05
"UNC13C","Stem-cell-iPSC","ASD","Inverse variance weighted",2,-0.006,0.014,0.994,0.644,NA,0.375437562,NA,0.010439659
"XCL1","Stem-cell-iPSC","ASD","Wald ratio",1,0.02,0.043,1.02,0.644,NA,NA,NA,3.2e-05
"PRPH2","Stem-cell-iPSC","ASD","Wald ratio",1,0.009,0.021,1.01,0.645,NA,NA,NA,0.000207865
"DPP10","Stem-cell-iPSC","ASD","Wald ratio",1,0.033,0.071,1.033,0.645,NA,NA,NA,0.007571917
"ABCC4","Stem-cell-iPSC","ASD","Wald ratio",1,0.011,0.024,1.011,0.645,NA,NA,NA,0.000787669
"TMEM177","Stem-cell-iPSC","ASD","Wald ratio",1,0.014,0.031,1.015,0.646,NA,NA,NA,0.001088522
"DCC","Stem-cell-iPSC","ASD","Inverse variance weighted",2,0.017,0.036,1.017,0.646,NA,0.923803959,NA,1.27e-05
"CD36","Stem-cell-iPSC","ASD","Wald ratio",1,0.008,0.018,1.008,0.647,NA,NA,NA,0.0001681
"SOX5","Stem-cell-iPSC","ASD","Wald ratio",1,0.016,0.036,1.017,0.647,NA,NA,NA,7.67e-06
"FABP6","Stem-cell-iPSC","ASD","Wald ratio",1,0.018,0.039,1.018,0.65,NA,NA,NA,0.005523821
"C11orf24","Stem-cell-iPSC","ASD","Wald ratio",1,0.01,0.022,1.01,0.65,NA,NA,NA,4.54e-06
"TLE2","Stem-cell-iPSC","ASD","Wald ratio",1,-0.028,0.062,0.973,0.653,NA,NA,NA,7.04e-06
"PWRN2","Stem-cell-iPSC","ASD","Wald ratio",1,0.024,0.054,1.025,0.653,NA,NA,NA,0.001449667
"RNU6-1018P","Stem-cell-iPSC","ASD","Wald ratio",1,-0.011,0.026,0.989,0.653,NA,NA,NA,5.56e-06
"PRR5L","Stem-cell-iPSC","ASD","Inverse variance weighted",2,0.022,0.049,1.022,0.653,NA,0.662449062,NA,0.008754948
"KCNQ1","Stem-cell-iPSC","ASD","Wald ratio",1,-0.01,0.022,0.99,0.655,NA,NA,NA,9.31e-06
"DNAJC5B","Stem-cell-iPSC","ASD","Wald ratio",1,0.054,0.12,1.055,0.655,NA,NA,NA,0.011220622
"GMDS","Stem-cell-iPSC","ASD","Wald ratio",1,0.017,0.038,1.017,0.655,NA,NA,NA,4.57e-06
"LINC00276","Stem-cell-iPSC","ASD","Wald ratio",1,0.027,0.061,1.028,0.656,NA,NA,NA,0.006617423
