"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"KIAA0556","Oligodendrocytes","ADHD","Wald ratio",1,0.228,0.06,1.256,0.000164,NA,NA,NA,0.000513113
"IPPK","Astrocytes","ADHD","Wald ratio",1,0.132,0.035,1.141,0.000164,NA,NA,NA,0.000542231
"PBX4","Excitatory neurons","ADHD","Wald ratio",1,0.159,0.042,1.172,0.00017,NA,NA,NA,0.001510345
"IL6R","Inhibitory neurons","ADHD","Wald ratio",1,-0.113,0.03,0.893,0.00017,NA,NA,NA,0.001011746
"NUMA1","Microglia","ADHD","Wald ratio",1,0.243,0.065,1.275,0.000173,NA,NA,NA,0.000929961
"PPIE","Excitatory neurons","ADHD","Wald ratio",1,0.084,0.022,1.087,0.000173,NA,NA,NA,0.233800988
"RCC2","Excitatory neurons","ADHD","Wald ratio",1,-0.226,0.06,0.797,0.000173,NA,NA,NA,0.000480556
"TYW1B","Pericytes","ADHD","Wald ratio",1,-0.141,0.037,0.869,0.000175,NA,NA,NA,0.000557041
"BORCS8-MEF2B","Oligodendrocytes","ADHD","Wald ratio",1,-0.136,0.036,0.873,0.000177,NA,NA,NA,0.000511056
"ABCC2","OPCs / COPs","ADHD","Wald ratio",1,-0.149,0.04,0.862,0.00018,NA,NA,NA,0.000962781
"NNMT","Pericytes","ADHD","Wald ratio",1,-0.164,0.044,0.848,0.00018,NA,NA,NA,0.000840697
"WBP1L","Excitatory neurons","ADHD","Wald ratio",1,0.222,0.059,1.248,0.000181,NA,NA,NA,0.002921898
"ADAL","Endothelial cells","ADHD","Wald ratio",1,0.103,0.028,1.109,0.000182,NA,NA,NA,0.000757151
"TSHZ1","Inhibitory neurons","ADHD","Wald ratio",1,0.254,0.068,1.289,0.000196,NA,NA,NA,0.000432563
"IQCG","OPCs / COPs","ADHD","Wald ratio",1,-0.254,0.068,0.776,0.000197,NA,NA,NA,0.000874852
"BLVRB","Excitatory neurons","ADHD","Wald ratio",1,0.238,0.064,1.268,2e-04,NA,NA,NA,0.001851149
"KPNB1","Microglia","ADHD","Wald ratio",1,-0.176,0.047,0.838,0.000202,NA,NA,NA,0.000493573
"CSRNP1","Astrocytes","ADHD","Wald ratio",1,-0.148,0.04,0.862,0.000205,NA,NA,NA,0.000445744
"AC020917.3","Excitatory neurons","ADHD","Wald ratio",1,-0.135,0.036,0.874,0.000205,NA,NA,NA,0.000600941
"HSPD1","Endothelial cells","ADHD","Wald ratio",1,-0.183,0.049,0.833,0.000206,NA,NA,NA,0.00057409
"CACNA2D2","Inhibitory neurons","ADHD","Wald ratio",1,-0.173,0.047,0.841,0.000208,NA,NA,NA,0.000596993
"SOX10","OPCs / COPs","ADHD","Wald ratio",1,-0.187,0.05,0.83,0.000208,NA,NA,NA,0.00047649
"EMSY","Excitatory neurons","ADHD","Wald ratio",1,-0.264,0.071,0.768,0.00021,NA,NA,NA,0.001394178
"KMT2E","Microglia","ADHD","Wald ratio",1,0.182,0.049,1.199,0.000214,NA,NA,NA,0.000429143
"ZNF197","Inhibitory neurons","ADHD","Wald ratio",1,0.176,0.048,1.192,0.000214,NA,NA,NA,0.000499428
"COPS7B","OPCs / COPs","ADHD","Wald ratio",1,0.123,0.033,1.131,0.000218,NA,NA,NA,0.000439776
"DLG1","Excitatory neurons","ADHD","Wald ratio",1,-0.271,0.073,0.762,0.000219,NA,NA,NA,0.000435255
"KCTD15","Endothelial cells","ADHD","Wald ratio",1,-0.128,0.035,0.88,0.000222,NA,NA,NA,0.000618598
"ST6GALNAC5","Inhibitory neurons","ADHD","Wald ratio",1,0.237,0.064,1.268,0.000223,NA,NA,NA,0.000701274
"SEMA3F","Endothelial cells","ADHD","Wald ratio",1,-0.145,0.039,0.865,0.000226,NA,NA,NA,0.00059925
"C3orf18","Inhibitory neurons","ADHD","Wald ratio",1,-0.23,0.062,0.795,0.000226,NA,NA,NA,0.000376452
"ZBTB8OS","Oligodendrocytes","ADHD","Wald ratio",1,0.222,0.06,1.248,0.000226,NA,NA,NA,0.000599751
"ZBTB8A","Oligodendrocytes","ADHD","Wald ratio",1,-0.218,0.059,0.804,0.000226,NA,NA,NA,0.000602582
"NSG2","OPCs / COPs","ADHD","Wald ratio",1,0.119,0.032,1.126,0.000227,NA,NA,NA,0.000878304
"RELL1","OPCs / COPs","ADHD","Wald ratio",1,-0.205,0.056,0.814,0.000228,NA,NA,NA,0.000518404
