"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"STK32B","Lymphocyte","SCZ","Inverse variance weighted",2,"-0.010","0.015","  0.990","5.31e-01",NA,0.068683649,NA,0.005690735
"RGS12","Lymphocyte","SCZ","Wald ratio",1," 0.006","0.010","  1.006","5.32e-01",NA,NA,NA,0.005308007
"TRIM58","Lymphocyte","SCZ","Wald ratio",1,"-0.008","0.013","  0.992","5.33e-01",NA,NA,NA,0.007516008
"KCNQ1","Lymphocyte","SCZ","Inverse variance weighted",4,"-0.004","0.006","  0.996","5.33e-01",0.677217799,0.435363328,0.297453356,0.004983474
"MCEE","Lymphocyte","SCZ","Wald ratio",1,"-0.008","0.013","  0.992","5.33e-01",NA,NA,NA,0.005606923
"STK10","Lymphocyte","SCZ","Inverse variance weighted",2,"-0.006","0.010","  0.994","5.33e-01",NA,0.660348225,NA,0.00786429
"SIGIRR","Lymphocyte","SCZ","Wald ratio",1,"-0.065","0.105","  0.937","5.33e-01",NA,NA,NA,0.005425495
"ANO9","Lymphocyte","SCZ","Wald ratio",1,"-0.010","0.016","  0.990","5.33e-01",NA,NA,NA,0.005425495
"PKP3","Lymphocyte","SCZ","Wald ratio",1,"-0.007","0.011","  0.993","5.33e-01",NA,NA,NA,0.005350765
"GHSR","Lymphocyte","SCZ","Wald ratio",1," 0.007","0.012","  1.007","5.34e-01",NA,NA,NA,0.00590195
"FARP1","Lymphocyte","SCZ","Inverse variance weighted",2," 0.006","0.009","  1.006","5.34e-01",NA,0.849326135,NA,0.008055081
"LSAMP","Lymphocyte","SCZ","Weighted median",4," 0.008","0.013","  1.008","5.34e-01",0.298708866,0.268638452,0.378888371,0.010162297
"UBASH3B","Lymphocyte","SCZ","Wald ratio",1,"-0.008","0.012","  0.992","5.34e-01",NA,NA,NA,0.007149014
"RNF6","Lymphocyte","SCZ","Wald ratio",1," 0.012","0.019","  1.012","5.34e-01",NA,NA,NA,0.006196338
"ADCY5","Lymphocyte","SCZ","Wald ratio",1,"-0.015","0.024","  0.985","5.35e-01",NA,NA,NA,0.005717493
"COL21A1","Lymphocyte","SCZ","Inverse variance weighted",2," 0.010","0.017","  1.010","5.35e-01",NA,0.182466691,NA,0.013761624
"LDLRAD3","Lymphocyte","SCZ","Simple mode",3,"-0.009","0.012","  0.991","5.35e-01",0.823352925,0.655012328,0.536160428,0.009573542
"PLCG2","Lymphocyte","SCZ","Wald ratio",1,"-0.006","0.009","  0.994","5.35e-01",NA,NA,NA,0.00523788
"MGC34034","Lymphocyte","SCZ","Wald ratio",1,"-0.017","0.027","  0.983","5.35e-01",NA,NA,NA,0.006012428
"BEST1","Lymphocyte","SCZ","Wald ratio",1,"-0.016","0.025","  0.985","5.36e-01",NA,NA,NA,0.005532947
"GPR114","Lymphocyte","SCZ","Wald ratio",1,"-0.037","0.060","  0.964","5.36e-01",NA,NA,NA,0.005532947
"TMEM18","Lymphocyte","SCZ","Wald ratio",1," 0.013","0.021","  1.013","5.37e-01",NA,NA,NA,0.008137785
"NDUFAF1","Lymphocyte","SCZ","Wald ratio",1," 0.016","0.026","  1.016","5.38e-01",NA,NA,NA,0.005939672
"CPXM1","Lymphocyte","SCZ","Wald ratio",1,"-0.171","0.279","  0.843","5.38e-01",NA,NA,NA,0.009297938
"MTPAP","Lymphocyte","SCZ","Wald ratio",1," 0.030","0.049","  1.030","5.39e-01",NA,NA,NA,0.005756198
"MADCAM1","Lymphocyte","SCZ","Wald ratio",1,"-0.012","0.019","  0.989","5.39e-01",NA,NA,NA,0.005753608
"C10orf10","Lymphocyte","SCZ","Wald ratio",1," 0.043","0.070","  1.044","5.39e-01",NA,NA,NA,0.005754301
