"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"STK33","Stem-cell-iPSC","ALZ","Wald ratio",1,0.018,0.029,1.019,0.526,NA,NA,NA,0.000776117
"PSMD5","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.01,0.017,0.99,0.531,NA,NA,NA,0.000581367
"COA7","Stem-cell-iPSC","ALZ","Wald ratio",1,0.013,0.021,1.013,0.534,NA,NA,NA,0.005654685
"RCN1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.013,0.021,0.987,0.536,NA,NA,NA,0.002452962
"ZNF696","Stem-cell-iPSC","ALZ","Wald ratio",1,0.02,0.032,1.02,0.545,NA,NA,NA,0.000128321
"TBRG4","Stem-cell-iPSC","ALZ","Wald ratio",1,0.019,0.032,1.019,0.546,NA,NA,NA,0.0024082
"WNK2","Stem-cell-iPSC","ALZ","Wald ratio",1,0.015,0.025,1.015,0.548,NA,NA,NA,0.008406166
"KRI1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.011,0.019,0.989,0.549,NA,NA,NA,0.006528266
"PAAF1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.011,0.018,0.989,0.549,NA,NA,NA,0.010622967
"STRN","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.012,0.02,0.988,0.552,NA,NA,NA,0.005933106
"WDSUB1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.011,0.019,1.011,0.56,NA,NA,NA,0.001211585
"FUCA1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.017,0.029,0.983,0.56,NA,NA,NA,0.010951236
"CUL4A","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.013,0.022,0.987,0.564,NA,NA,NA,0.002604787
"CARS2","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.009,0.015,0.991,0.565,NA,NA,NA,0.011640522
"HSD17B7","Stem-cell-iPSC","ALZ","Wald ratio",1,0.008,0.015,1.008,0.571,NA,NA,NA,0.00695962
"HRSP12","Stem-cell-iPSC","ALZ","Wald ratio",1,0.019,0.033,1.019,0.571,NA,NA,NA,0.002188119
"CPS1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.011,0.02,1.011,0.573,NA,NA,NA,0.004565726
"FAHD1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.009,0.016,1.009,0.573,NA,NA,NA,0.007699131
"KLHDC7A","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.012,0.022,0.988,0.574,NA,NA,NA,0.00071726
"SCG3","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.009,0.017,0.991,0.576,NA,NA,NA,1.63e-05
"FBXL18","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.013,0.024,0.987,0.579,NA,NA,NA,0.002443826
"GNL3","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.012,0.021,0.988,0.582,NA,NA,NA,0.005225713
"SLC25A1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.021,0.039,1.021,0.582,NA,NA,NA,0.000410134
"ATM","Stem-cell-iPSC","ALZ","Wald ratio",1,0.012,0.021,1.012,0.585,NA,NA,NA,0.001780643
"GFM2","Stem-cell-iPSC","ALZ","Wald ratio",1,0.013,0.024,1.013,0.591,NA,NA,NA,0.000239699
"PEPD","Stem-cell-iPSC","ALZ","Wald ratio",1,0.015,0.028,1.015,0.594,NA,NA,NA,0.005760737
"ATAD3A","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.034,0.065,0.966,0.595,NA,NA,NA,0.000973609
"RMDN1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.006,0.012,0.994,0.595,NA,NA,NA,0.006450132
"GNA12","Stem-cell-iPSC","ALZ","Wald ratio",1,0.02,0.037,1.02,0.597,NA,NA,NA,4.69e-05
"EOGT","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.009,0.017,0.991,0.601,NA,NA,NA,0.003906206
"DCP1B","Stem-cell-iPSC","ALZ","Wald ratio",1,0.011,0.021,1.011,0.614,NA,NA,NA,0.001257683
"MSH6","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.005,0.01,0.995,0.614,NA,NA,NA,8.87e-06
"ACTA1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.009,0.017,0.991,0.617,NA,NA,NA,0.001693408
"NOM1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.014,0.028,1.014,0.617,NA,NA,NA,0.000162249
"PPIE","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.012,0.025,0.988,0.62,NA,NA,NA,0.005744145
"CCDC97","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.01,0.02,0.99,0.625,NA,NA,NA,0.000395403
"IQGAP1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.013,0.026,1.013,0.633,NA,NA,NA,0.001591214
"CSTB","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.011,0.022,0.989,0.634,NA,NA,NA,0.005905185
"HSDL2","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.012,0.026,0.988,0.638,NA,NA,NA,0.000263612
"SETD9","Stem-cell-iPSC","ALZ","Wald ratio",1,0.008,0.018,1.008,0.642,NA,NA,NA,0.008973666
"GALNT2","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.013,0.027,0.988,0.643,NA,NA,NA,0.000338195
"PPT1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.014,0.031,0.986,0.653,NA,NA,NA,0.000247255
"GSTM4","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.012,0.026,0.988,0.656,NA,NA,NA,0.000126373
"ITSN2","Stem-cell-iPSC","ALZ","Wald ratio",1,0.011,0.024,1.011,0.656,NA,NA,NA,0.0001747
"VAV2","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.007,0.016,0.993,0.657,NA,NA,NA,0.005365984
"PDP2","Stem-cell-iPSC","ALZ","Wald ratio",1,0.011,0.024,1.011,0.666,NA,NA,NA,2.56e-05
"NMD3","Stem-cell-iPSC","ALZ","Wald ratio",1,0.01,0.022,1.01,0.667,NA,NA,NA,0.004320051
"CASP6","Stem-cell-iPSC","ALZ","Wald ratio",1,0.014,0.033,1.014,0.669,NA,NA,NA,0.003717391
"NFU1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.007,0.017,0.993,0.67,NA,NA,NA,0.005486887
"DYSF","Stem-cell-iPSC","ALZ","Wald ratio",1,0.009,0.02,1.009,0.675,NA,NA,NA,0.004167994
"ABAT","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.011,0.026,0.989,0.679,NA,NA,NA,0.000903587
"QDPR","Stem-cell-iPSC","ALZ","Wald ratio",1,0.006,0.014,1.006,0.679,NA,NA,NA,0.00653219
"MCCC1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.009,0.022,0.991,0.679,NA,NA,NA,0.000378983
"ENOSF1","Stem-cell-iPSC","ALZ","Wald ratio",1,0.008,0.02,1.008,0.68,NA,NA,NA,0.004032264
"IQGAP3","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.006,0.014,0.994,0.681,NA,NA,NA,0.005614849
"EEFSEC","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.01,0.025,0.99,0.681,NA,NA,NA,0.000537407
"AAMDC","Stem-cell-iPSC","ALZ","Wald ratio",1,0.007,0.018,1.007,0.682,NA,NA,NA,0.009544369
"TTC38","Stem-cell-iPSC","ALZ","Wald ratio",1,0.012,0.031,1.013,0.686,NA,NA,NA,4.22e-05
"TTC27","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.009,0.023,0.991,0.689,NA,NA,NA,0.003899315
"CRABP2","Stem-cell-iPSC","ALZ","Wald ratio",1,0.015,0.038,1.015,0.695,NA,NA,NA,0.001616853
"C21orf33","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.009,0.024,0.991,0.701,NA,NA,NA,0.000292644
"MMAB","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.005,0.013,0.995,0.702,NA,NA,NA,0.00613661
"STAT3","Stem-cell-iPSC","ALZ","Wald ratio",1,0.009,0.025,1.009,0.704,NA,NA,NA,0.001229252
"NSFL1C","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.01,0.026,0.99,0.709,NA,NA,NA,0.004455393
