"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"GPR176","Lymphocyte","ALZ","Wald ratio",1,0.027,0.011,1.028,0.0119,NA,NA,NA,0.098558479
"TG","Lymphocyte","ALZ","Wald ratio",1,0.052,0.021,1.053,0.0121,NA,NA,NA,0.144042143
"ANKFN1","Lymphocyte","ALZ","Wald ratio",1,0.039,0.015,1.039,0.0122,NA,NA,NA,0.140628401
"AGT","Lymphocyte","ALZ","Wald ratio",1,0.083,0.033,1.087,0.0123,NA,NA,NA,0.115611538
"CCNY","Lymphocyte","ALZ","Wald ratio",1,-0.03,0.012,0.971,0.0124,NA,NA,NA,0.103130001
"LOC100292680","Lymphocyte","ALZ","Wald ratio",1,-0.041,0.016,0.96,0.0128,NA,NA,NA,0.099101626
"GIT1","Lymphocyte","ALZ","Wald ratio",1,0.096,0.039,1.101,0.0128,NA,NA,NA,0.097299107
"ANKRD13B","Lymphocyte","ALZ","Wald ratio",1,0.044,0.018,1.045,0.0128,NA,NA,NA,0.097299107
"RRAGD","Lymphocyte","ALZ","Wald ratio",1,-0.026,0.011,0.974,0.0131,NA,NA,NA,0.098709545
"ARFGEF1","Lymphocyte","ALZ","Wald ratio",1,-0.054,0.022,0.948,0.0132,NA,NA,NA,0.103884972
"JOSD1","Lymphocyte","ALZ","Wald ratio",1,0.027,0.011,1.027,0.0133,NA,NA,NA,0.098538091
"ATP10A","Lymphocyte","ALZ","Inverse variance weighted",2,0.028,0.011,1.029,0.0134,NA,0.526627204,NA,0.02141878
"CPM","Lymphocyte","ALZ","Wald ratio",1,0.036,0.015,1.037,0.0134,NA,NA,NA,0.081610381
"UTP23","Lymphocyte","ALZ","Wald ratio",1,-1.606,0.65,0.201,0.0135,NA,NA,NA,0.098377835
"GTF3C6","Lymphocyte","ALZ","Wald ratio",1,-0.186,0.075,0.83,0.0135,NA,NA,NA,0.122313453
"TSEN34","Lymphocyte","ALZ","Wald ratio",1,-0.11,0.044,0.896,0.0137,NA,NA,NA,0.094626999
"RPS9","Lymphocyte","ALZ","Wald ratio",1,-0.057,0.023,0.945,0.0137,NA,NA,NA,0.094626999
"SV2B","Lymphocyte","ALZ","Wald ratio",1,0.041,0.017,1.042,0.0137,NA,NA,NA,0.092811977
"KIAA1609","Lymphocyte","ALZ","Wald ratio",1,-0.153,0.062,0.858,0.0143,NA,NA,NA,0.104727141
"CASS4","Lymphocyte","ALZ","Wald ratio",1,0.058,0.024,1.06,0.0143,NA,NA,NA,0.118231131
"DRG2","Lymphocyte","ALZ","Wald ratio",1,0.032,0.013,1.033,0.0144,NA,NA,NA,0.094172783
"MYO15A","Lymphocyte","ALZ","Wald ratio",1,0.028,0.011,1.028,0.0144,NA,NA,NA,0.094172783
"JAKMIP2","Lymphocyte","ALZ","Wald ratio",1,0.033,0.013,1.033,0.0148,NA,NA,NA,0.104480837
"CHN1","Lymphocyte","ALZ","Wald ratio",1,-0.026,0.011,0.974,0.0151,NA,NA,NA,0.08565305
"ATP1A2","Lymphocyte","ALZ","Wald ratio",1,0.03,0.012,1.03,0.0153,NA,NA,NA,0.100830812
"ATP1A4","Lymphocyte","ALZ","Wald ratio",1,0.041,0.017,1.042,0.0153,NA,NA,NA,0.100820023
"KLF15","Lymphocyte","ALZ","Wald ratio",1,-0.484,0.2,0.616,0.0155,NA,NA,NA,0.086635721
"PAPPA2","Lymphocyte","ALZ","Wald ratio",1,0.045,0.019,1.046,0.0156,NA,NA,NA,0.103640739
"TIMD4","Lymphocyte","ALZ","Wald ratio",1,0.081,0.033,1.084,0.0157,NA,NA,NA,0.088403999
"C3orf27","Lymphocyte","ALZ","Wald ratio",1,-0.099,0.041,0.906,0.0158,NA,NA,NA,0.082968971
"LOC220115","Lymphocyte","ALZ","Wald ratio",1,-0.076,0.032,0.927,0.0158,NA,NA,NA,0.165483342
"ATP7B","Lymphocyte","ALZ","Wald ratio",1,-3.194,1.324,0.041,0.0158,NA,NA,NA,0.165481257
"C3orf32","Lymphocyte","ALZ","Wald ratio",1,-0.034,0.014,0.967,0.0159,NA,NA,NA,0.100733943
"SH2D5","Lymphocyte","ALZ","Wald ratio",1,-0.034,0.014,0.966,0.016,NA,NA,NA,0.08296264
"RPL14","Lymphocyte","ALZ","Wald ratio",1,1.946,0.808,7.002,0.016,NA,NA,NA,0.086591617
"ENTPD3","Lymphocyte","ALZ","Wald ratio",1,0.03,0.013,1.031,0.016,NA,NA,NA,0.086591617
"RASSF8","Lymphocyte","ALZ","Wald ratio",1,0.025,0.01,1.025,0.0162,NA,NA,NA,0.081140621
"CIITA","Lymphocyte","ALZ","Wald ratio",1,0.273,0.114,1.313,0.0166,NA,NA,NA,0.091998432
"COLEC11","Lymphocyte","ALZ","Wald ratio",1,0.039,0.016,1.04,0.0169,NA,NA,NA,0.11266758
"OTX2","Lymphocyte","ALZ","Wald ratio",1,0.028,0.012,1.029,0.0177,NA,NA,NA,0.076485157
"GLI4","Lymphocyte","ALZ","Wald ratio",1,0.026,0.011,1.027,0.0178,NA,NA,NA,0.075990121
"ZFP41","Lymphocyte","ALZ","Wald ratio",1,0.051,0.021,1.052,0.0178,NA,NA,NA,0.075990121
"RAB6B","Lymphocyte","ALZ","Wald ratio",1,-0.033,0.014,0.968,0.018,NA,NA,NA,0.090701112
"CYFIP1","Lymphocyte","ALZ","Wald ratio",1,-0.051,0.021,0.951,0.0182,NA,NA,NA,0.106480501
"QPCT","Lymphocyte","ALZ","Wald ratio",1,0.036,0.015,1.036,0.0187,NA,NA,NA,0.080205551
"THY1","Lymphocyte","ALZ","Wald ratio",1,-0.139,0.059,0.87,0.0189,NA,NA,NA,0.080311799
"SIK1","Lymphocyte","ALZ","Wald ratio",1,0.325,0.139,1.385,0.019,NA,NA,NA,0.129926702
"IMMP2L","Lymphocyte","ALZ","Inverse variance weighted",2,0.02,0.009,1.021,0.0191,NA,0.564037214,NA,0.046119609
"XRCC3","Lymphocyte","ALZ","Wald ratio",1,0.031,0.013,1.031,0.0191,NA,NA,NA,0.072980044
"KLC1","Lymphocyte","ALZ","Wald ratio",1,0.025,0.011,1.026,0.0191,NA,NA,NA,0.072980044
"ILF3","Lymphocyte","ALZ","Wald ratio",1,0.337,0.144,1.401,0.0191,NA,NA,NA,0.074885492
"ADH5","Lymphocyte","ALZ","Wald ratio",1,0.752,0.321,2.12,0.0193,NA,NA,NA,0.0750073
"ANKRD40","Lymphocyte","ALZ","Wald ratio",1,-0.072,0.031,0.931,0.0193,NA,NA,NA,0.078784401
"CAPN14","Lymphocyte","ALZ","Wald ratio",1,0.033,0.014,1.034,0.0196,NA,NA,NA,0.0714482
"LOC154449","Lymphocyte","ALZ","Wald ratio",1,0.042,0.018,1.043,0.0199,NA,NA,NA,0.090349506
"CDC42EP3","Lymphocyte","ALZ","Wald ratio",1,-0.507,0.218,0.603,0.02,NA,NA,NA,0.067873097
"DNALI1","Lymphocyte","ALZ","Wald ratio",1,0.068,0.029,1.071,0.02,NA,NA,NA,0.067873097
"CALML3","Lymphocyte","ALZ","Wald ratio",1,0.03,0.013,1.03,0.0202,NA,NA,NA,0.083305238
"TRAF3","Lymphocyte","ALZ","Wald ratio",1,0.105,0.045,1.111,0.0203,NA,NA,NA,0.070103333
"C3orf15","Lymphocyte","ALZ","Wald ratio",1,0.084,0.036,1.087,0.0204,NA,NA,NA,0.089080647
"OR2L13","Lymphocyte","ALZ","Wald ratio",1,-0.029,0.012,0.972,0.0205,NA,NA,NA,0.07217462
"PNMA2","Lymphocyte","ALZ","Wald ratio",1,-0.321,0.138,0.726,0.0205,NA,NA,NA,0.068331061
"NFE2L3","Lymphocyte","ALZ","Wald ratio",1,-0.132,0.057,0.876,0.0207,NA,NA,NA,0.078164887
"PTGIS","Lymphocyte","ALZ","Wald ratio",1,0.051,0.022,1.052,0.021,NA,NA,NA,0.10560824
"GOLPH3","Lymphocyte","ALZ","Wald ratio",1,0.04,0.018,1.041,0.0212,NA,NA,NA,0.06706511
"DYNC1LI1","Lymphocyte","ALZ","Wald ratio",1,1.036,0.45,2.818,0.0213,NA,NA,NA,0.101036853
"NDUFS5","Lymphocyte","ALZ","Wald ratio",1,-0.028,0.012,0.972,0.0219,NA,NA,NA,0.061519628
"AKIRIN1","Lymphocyte","ALZ","Wald ratio",1,-0.201,0.088,0.818,0.0219,NA,NA,NA,0.063729651
"MACF1","Lymphocyte","ALZ","Wald ratio",1,-0.038,0.017,0.962,0.0219,NA,NA,NA,0.063729651
"PLXDC1","Lymphocyte","ALZ","Wald ratio",1,0.026,0.011,1.027,0.0221,NA,NA,NA,0.070083774
"SLC15A3","Lymphocyte","ALZ","Wald ratio",1,-0.032,0.014,0.968,0.0224,NA,NA,NA,0.062367853
