"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"ATP1B1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.044","0.038","0.957","2.42e-01",NA,NA,NA,0.007238137
"YTHDC2","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.026","0.022","1.026","2.43e-01",NA,NA,NA,0.015510985
"CLIC4","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.057","0.049","1.059","2.44e-01",NA,NA,NA,0.00219176
"GNL3","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.038","0.032","1.038","2.45e-01",NA,NA,NA,0.013081152
"MPV17L","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.025","0.022","0.975","2.47e-01",NA,NA,NA,0.000103793
"TMEM230","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.034","0.030","1.035","2.51e-01",NA,NA,NA,0.014028343
"GPX4","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.029","0.026","1.030","2.52e-01",NA,NA,NA,0.011981983
"PLD2","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.036","0.032","1.037","2.52e-01",NA,NA,NA,0.002461944
"PRODH","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.029","0.026","0.971","2.54e-01",NA,NA,NA,0.014633316
"CDC7","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.038","0.034","1.039","2.62e-01",NA,NA,NA,0.006400457
"DPH6","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.052","0.047","1.054","2.66e-01",NA,NA,NA,0.003068042
"SUPT5H","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.056","0.051","0.946","2.70e-01",NA,NA,NA,0.000136546
"GSTZ1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.015","0.013","1.015","2.71e-01",NA,NA,NA,0.014105916
"NUDCD3","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.048","0.043","0.953","2.72e-01",NA,NA,NA,0.009937122
"MGST3","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.042","0.038","1.042","2.72e-01",NA,NA,NA,0.005849571
"ZNF738","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.019","0.018","0.981","2.87e-01",NA,NA,NA,0.014730628
"C11orf54","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.024","0.022","1.024","2.90e-01",NA,NA,NA,0.013140795
"TRMU","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.038","0.036","1.038","2.91e-01",NA,NA,NA,0.000163412
"TTF2","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.027","0.026","0.973","2.95e-01",NA,NA,NA,0.012007103
"TARS","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.050","0.048","1.051","2.96e-01",NA,NA,NA,0.001302945
