"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"GSTZ1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.007,0.008,1.007,0.373,NA,NA,NA,0.006781514
"LRRC40","Stem-cell-iPSC","SCZ","Wald ratio",1,0.031,0.034,1.031,0.373,NA,NA,NA,0.000429223
"ALDH16A1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.012,0.013,0.988,0.378,NA,NA,NA,0.007452815
"DHRS1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.009,0.011,1.009,0.378,NA,NA,NA,0.012339658
"ASRGL1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.015,0.017,1.015,0.379,NA,NA,NA,0.009568739
"ZNF830","Stem-cell-iPSC","SCZ","Wald ratio",1,0.028,0.033,1.029,0.388,NA,NA,NA,7.9e-05
"HSPA4","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.027,0.032,0.973,0.391,NA,NA,NA,0.00014616
"BBS4","Stem-cell-iPSC","SCZ","Wald ratio",1,0.018,0.022,1.018,0.4,NA,NA,NA,0.003223403
"GCFC2","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.015,0.018,0.985,0.401,NA,NA,NA,0.003526074
"CDC7","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.016,0.02,0.984,0.402,NA,NA,NA,0.002822983
"LIMCH1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.013,0.016,1.013,0.408,NA,NA,NA,1.7e-05
"PLD2","Stem-cell-iPSC","SCZ","Wald ratio",1,0.015,0.018,1.015,0.409,NA,NA,NA,0.001053499
"SHMT1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.015,0.018,1.015,0.41,NA,NA,NA,0.006336795
"WDSUB1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.013,0.016,0.987,0.413,NA,NA,NA,0.001244201
"SPRYD3","Stem-cell-iPSC","SCZ","Wald ratio",1,0.015,0.019,1.015,0.422,NA,NA,NA,0.000143911
"WDR25","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.018,0.023,0.982,0.425,NA,NA,NA,1.77e-05
"MIPEP","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.018,0.023,0.982,0.429,NA,NA,NA,0.001648938
"FDXR","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.013,0.016,0.987,0.43,NA,NA,NA,0.005038276
"TGFB1I1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.014,0.018,1.014,0.433,NA,NA,NA,0.005201927
"FLNB","Stem-cell-iPSC","SCZ","Wald ratio",1,0.021,0.027,1.021,0.435,NA,NA,NA,0.000898916
"NQO1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.007,0.009,0.993,0.435,NA,NA,NA,0.007317085
"ANKMY2","Stem-cell-iPSC","SCZ","Wald ratio",1,0.015,0.019,1.015,0.437,NA,NA,NA,0.003977663
"TRIM44","Stem-cell-iPSC","SCZ","Wald ratio",1,0.01,0.013,1.01,0.438,NA,NA,NA,3.81e-06
"SLC38A9","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.015,0.019,0.985,0.44,NA,NA,NA,0.003040843
"FUCA1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.016,0.021,1.016,0.441,NA,NA,NA,0.008977599
"NFU1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.011,0.015,1.012,0.441,NA,NA,NA,0.005806334
