"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"VAT1L","Lymphocyte","ADHD","Wald ratio",1,-0.013,0.009,0.987,0.136,NA,NA,NA,0.014452713
"MCOLN2","Lymphocyte","ADHD","Wald ratio",1,0.018,0.012,1.018,0.136,NA,NA,NA,0.014294369
"RMDN2","Lymphocyte","ADHD","Wald ratio",1,0.022,0.015,1.022,0.139,NA,NA,NA,0.013479815
"RPS9","Lymphocyte","ADHD","Wald ratio",1,0.043,0.029,1.044,0.141,NA,NA,NA,0.010088152
"UBE2E3","Lymphocyte","ADHD","Wald ratio",1,0.019,0.013,1.019,0.144,NA,NA,NA,0.014850667
"YEATS4","Lymphocyte","ADHD","Wald ratio",1,0.027,0.018,1.027,0.148,NA,NA,NA,0.012868105
"ADCY3","Lymphocyte","ADHD","Wald ratio",1,-0.022,0.015,0.978,0.149,NA,NA,NA,0.011803723
"RALB","Lymphocyte","ADHD","Wald ratio",1,0.011,0.008,1.011,0.15,NA,NA,NA,0.006021887
"TLR6","Lymphocyte","ADHD","Wald ratio",1,-0.029,0.02,0.971,0.152,NA,NA,NA,0.009060693
"CTD-3094K11.1","Lymphocyte","ADHD","Wald ratio",1,-0.013,0.009,0.987,0.155,NA,NA,NA,0.003008008
"NCALD","Lymphocyte","ADHD","Wald ratio",1,-0.017,0.012,0.983,0.161,NA,NA,NA,0.002380254
"ZNF808","Lymphocyte","ADHD","Wald ratio",1,0.019,0.014,1.019,0.161,NA,NA,NA,0.000952518
"RP11-734K21.2","Lymphocyte","ADHD","Wald ratio",1,0.017,0.012,1.017,0.162,NA,NA,NA,0.000277726
"PYROXD2","Lymphocyte","ADHD","Wald ratio",1,0.027,0.02,1.028,0.163,NA,NA,NA,0.002029543
"CHST11","Lymphocyte","ADHD","Wald ratio",1,0.013,0.01,1.014,0.164,NA,NA,NA,0.012925772
"NOX3","Lymphocyte","ADHD","Wald ratio",1,-0.026,0.019,0.975,0.168,NA,NA,NA,0.002824027
"SERPINF1","Lymphocyte","ADHD","Wald ratio",1,0.014,0.01,1.014,0.171,NA,NA,NA,0.004784431
