"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"CLIC4","Stem-cell-iPSC","BP","Wald ratio",1," 0.027","0.031","1.028","3.77e-01",NA,NA,NA,0.001043403
"XPC","Stem-cell-iPSC","BP","Wald ratio",1," 0.018","0.021","1.019","3.83e-01",NA,NA,NA,0.001440658
"RHBDD3","Stem-cell-iPSC","BP","Wald ratio",1,"-0.013","0.015","0.987","3.85e-01",NA,NA,NA,0.000197958
"TBC1D15","Stem-cell-iPSC","BP","Wald ratio",1,"-0.028","0.033","0.972","3.85e-01",NA,NA,NA,0.0005688
"IFITM3","Stem-cell-iPSC","BP","Wald ratio",1," 0.013","0.014","1.013","3.87e-01",NA,NA,NA,0.007487628
"IAH1","Stem-cell-iPSC","BP","Wald ratio",1," 0.012","0.014","1.012","3.89e-01",NA,NA,NA,0.008121488
"DDAH1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.023","0.027","0.977","3.91e-01",NA,NA,NA,0.008073298
"CLN8","Stem-cell-iPSC","BP","Wald ratio",1,"-0.019","0.022","0.981","3.91e-01",NA,NA,NA,0.000637787
"KRI1","Stem-cell-iPSC","BP","Wald ratio",1," 0.015","0.018","1.015","3.93e-01",NA,NA,NA,0.007346224
"IQCB1","Stem-cell-iPSC","BP","Wald ratio",1," 0.011","0.013","1.011","3.93e-01",NA,NA,NA,0.007763358
"NSFL1C","Stem-cell-iPSC","BP","Wald ratio",1," 0.021","0.024","1.021","3.94e-01",NA,NA,NA,0.005561016
"SLC38A9","Stem-cell-iPSC","BP","Wald ratio",1," 0.018","0.021","1.018","3.95e-01",NA,NA,NA,0.003555529
"SYDE1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.017","0.020","0.983","4.02e-01",NA,NA,NA,0.000216053
"PTAR1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.025","0.029","0.976","4.03e-01",NA,NA,NA,0.000685329
