Psychiatric disorder,Category name,Risk factor,Source,Method,P-value,OR
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,VIM,eQTL_Brain Cortex SMR,Wald ratio,4.60E-05,1.113
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,C2orf82,eQTL_Meta 10 Brain Regions,Wald ratio,4.62E-05,0.947
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,TRAF3,eQTL_Brain Hypothalamus,Wald ratio,4.67E-05,0.9
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,IFT80,eQTL_Brain Cortex,Wald ratio,4.82E-05,1.237
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,SNORC,eQTL_Brain Frontal Cortex,Wald ratio,5.07E-05,1.063
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,GIGYF2,eQTL_Brain Frontal Cortex,Wald ratio,5.07E-05,0.848
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,LSM6,eQTL_Brain Cerebellum,Wald ratio,5.16E-05,0.897
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,REELD1,eQTL_Brain Cerebellum,Wald ratio,5.16E-05,0.957
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,CCDC200,eQTL_Brain Nucleus,Wald ratio,5.36E-05,1.144
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,NBR2,eQTL_Brain Nucleus,Wald ratio,5.36E-05,1.036
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,LSG1,eQTL_Brain Substantia,Wald ratio,5.72E-05,0.92
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,KIAA1671,eQTL_Brain Caudate,Wald ratio,5.85E-05,1.232
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,RP11-6L6.2,eQTL_Meta 10 Brain Regions,Wald ratio,5.85E-05,1.106
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,PDS5B,eQTL_Brain Cortex,Wald ratio,5.90E-05,0.78
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,CADM2-AS1,eQTL_Brain Putamen,Wald ratio,6.07E-05,1.046
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,SLC2A13,eQTL_Brain Cortex SMR,Wald ratio,6.14E-05,0.8
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,ERBB3,eQTL_Brain Cortex SMR,Wald ratio,6.34E-05,1.139
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,RAB5B,eQTL_Brain Cortex SMR,Wald ratio,6.34E-05,1.26
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,SUOX,eQTL_Brain Cortex SMR,Wald ratio,6.34E-05,1.096
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,RPS26,eQTL_Brain Cortex SMR,Wald ratio,6.34E-05,0.967
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,FAM110C,eQTL_Brain Cerebellum,Wald ratio,7.14E-05,1.108
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,CADM2-AS1,eQTL_Brain Cerebellum,Wald ratio,7.20E-05,0.948
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,CADM2-AS1,eQTL_Brain Hippocampus,Wald ratio,7.20E-05,0.949
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,SNORC,eQTL_Brain Cortex,Wald ratio,7.21E-05,1.067
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,LRRC27,eQTL_Brain Caudate,Wald ratio,7.54E-05,1.148
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,FURIN,eQTL_Brain Frontal Cortex,Wald ratio,7.57E-05,1.18
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,SNORC,eQTL_Brain Caudate,Wald ratio,7.91E-05,1.051
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,PRKN,eQTL_Brain Cerebellum,Wald ratio,7.99E-05,0.837
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,NAMA,eQTL_Brain Cortex SMR,Wald ratio,8.21E-05,1.256
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,TMEM161B-DT,eQTL_Brain Spinal,Inverse variance weighted,8.33E-05,1.056
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,CD40,eQTL_Brain Amygdala,Wald ratio,8.59E-05,1.111
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,SLC17A6,eQTL_Brain Frontal Cortex,Wald ratio,8.80E-05,0.838
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,VAT1,eQTL_Brain Cerebellum,Wald ratio,8.86E-05,1.126
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,ARL4D,eQTL_Brain Cerebellum,Wald ratio,8.86E-05,1.091
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,DHX8,eQTL_Brain Cerebellum,Wald ratio,8.86E-05,1.149
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,CAVIN1,eQTL_Brain Cerebellum,Wald ratio,8.86E-05,1.155
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,NBR2,eQTL_Brain Cerebellum,Wald ratio,8.86E-05,1.034
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,RND2,eQTL_Brain Cerebellum,Wald ratio,8.86E-05,0.891
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,LINC00910,eQTL_Brain Cerebellum,Wald ratio,8.86E-05,1.075
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,COASY,eQTL_Brain Cerebellum,Wald ratio,8.86E-05,1.206
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,CCDC200,eQTL_Brain Cerebellum,Wald ratio,8.86E-05,1.077
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,NBR1,eQTL_Brain Cerebellum,Wald ratio,8.86E-05,1.093
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,NBR2,eQTL_Brain Caudate,Wald ratio,9.21E-05,1.033
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,NBR2,eQTL_Brain Cortex,Wald ratio,9.21E-05,1.037
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,NBR2,eQTL_Brain Spinal,Wald ratio,9.21E-05,1.032
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,NBR1,eQTL_Brain Spinal,Wald ratio,9.21E-05,1.178
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,ABHD5,eQTL_Brain Hippocampus,Wald ratio,9.34E-05,1.161
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,NBR2,eQTL_Brain Amygdala,Wald ratio,9.62E-05,1.031
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,NBR2,eQTL_Brain Anterior cingulate cortex BA24,Wald ratio,9.62E-05,0.965
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,COG6,eQTL_Brain Cerebellar Hemisphere,Wald ratio,9.62E-05,1.223
