Psychiatric disorder,Category name,Risk factor,Source,Method,P-value,OR
Depression,Bulk-tissue biomarker,KNSTRN,sQTL_Brain Putamen basal ganglia,Wald ratio,8.74E-04,0.976
Depression,Bulk-tissue biomarker,PCNP,sQTL_Brain Putamen basal ganglia,Wald ratio,8.82E-04,1.03
Depression,Bulk-tissue biomarker,LINC01080,sQTL_Brain Putamen basal ganglia,Wald ratio,9.03E-04,0.965
Depression,Bulk-tissue biomarker,ZNF638,sQTL_Brain Putamen basal ganglia,Wald ratio,9.06E-04,0.97
Depression,Bulk-tissue biomarker,THUMPD3-AS1,sQTL_Brain Putamen basal ganglia,Wald ratio,9.06E-04,1.019
Depression,Bulk-tissue biomarker,SIRT5,sQTL_Brain Putamen basal ganglia,Wald ratio,9.87E-04,1.017
Depression,Bulk-tissue biomarker,BTN3A1,sQTL_Brain Spinal cord cervical,Wald ratio,5.76E-09,0.961
Depression,Bulk-tissue biomarker,GAS5,sQTL_Brain Spinal cord cervical,Wald ratio,4.58E-06,0.986
Depression,Bulk-tissue biomarker,ATP5MK,sQTL_Brain Spinal cord cervical,Wald ratio,1.02E-05,1.015
Depression,Bulk-tissue biomarker,KLC1,sQTL_Brain Spinal cord cervical,Wald ratio,3.09E-05,1.017
Depression,Bulk-tissue biomarker,COA8,sQTL_Brain Spinal cord cervical,Wald ratio,3.09E-05,1.017
Depression,Bulk-tissue biomarker,CFAP251,sQTL_Brain Spinal cord cervical,Wald ratio,2.65E-04,1.034
Depression,Bulk-tissue biomarker,UCKL1,sQTL_Brain Spinal cord cervical,Wald ratio,5.07E-04,1.019
Depression,Bulk-tissue biomarker,ZNF718,sQTL_Brain Spinal cord cervical,Wald ratio,5.27E-04,0.988
Depression,Bulk-tissue biomarker,LY75,sQTL_Brain Spinal cord cervical,Wald ratio,6.77E-04,0.983
Depression,Bulk-tissue biomarker,DPY19L2P2,sQTL_Brain Spinal cord cervical,Wald ratio,8.58E-04,1.016
Depression,Bulk-tissue biomarker,PRKCD,sQTL_Brain Spinal cord cervical,Wald ratio,8.58E-04,1.02
Depression,Bulk-tissue biomarker,GAS5,sQTL_Brain Substantia nigra,Wald ratio,4.58E-06,0.984
Depression,Bulk-tissue biomarker,IQSEC1,sQTL_Brain Substantia nigra,Wald ratio,7.49E-06,0.971
Depression,Bulk-tissue biomarker,ATP5MK,sQTL_Brain Substantia nigra,Wald ratio,8.33E-06,1.013
Depression,Bulk-tissue biomarker,ZNF79,sQTL_Brain Substantia nigra,Wald ratio,2.30E-05,1.031
Depression,Bulk-tissue biomarker,NEK4,sQTL_Brain Substantia nigra,Wald ratio,2.96E-05,0.972
Depression,Bulk-tissue biomarker,ZSCAN31,sQTL_Brain Substantia nigra,Wald ratio,1.48E-04,0.97
Depression,Bulk-tissue biomarker,CEP97,sQTL_Brain Substantia nigra,Wald ratio,2.99E-04,1.024
Depression,Bulk-tissue biomarker,KCTD8,sQTL_Brain Substantia nigra,Wald ratio,4.45E-04,1.024
Depression,Bulk-tissue biomarker,PCDH10-DT,sQTL_Brain Substantia nigra,Wald ratio,5.07E-04,1.02
Depression,Bulk-tissue biomarker,PIP4K2A,sQTL_Brain Substantia nigra,Wald ratio,5.40E-04,1.022
Depression,Bulk-tissue biomarker,LSM6,sQTL_Brain Substantia nigra,Wald ratio,6.00E-04,1.046
Depression,Bulk-tissue biomarker,MDFIC,sQTL_Brain Substantia nigra,Wald ratio,6.02E-04,0.972
Depression,Bulk-tissue biomarker,NSRP1,sQTL_Brain Substantia nigra,Wald ratio,8.70E-04,1.017
Depression,Bulk-tissue biomarker,EPB41L2,sQTL_Brain Substantia nigra,Wald ratio,9.83E-04,1.037
Eating Disorder,Bulk-tissue biomarker,CTNNB1,eQTL_Brain Amygdala,Wald ratio,1.39E-05,0.848
Eating Disorder,Bulk-tissue biomarker,RNF123,eQTL_Brain Amygdala,Wald ratio,5.94E-05,0.759
Eating Disorder,Bulk-tissue biomarker,RFPL1S,eQTL_Brain Amygdala,Wald ratio,1.82E-04,0.775
Eating Disorder,Bulk-tissue biomarker,ARHGAP1,eQTL_Brain Amygdala,Wald ratio,2.21E-04,1.234
Eating Disorder,Bulk-tissue biomarker,SNHG5,eQTL_Brain Amygdala,Wald ratio,2.86E-04,1.081
Eating Disorder,Bulk-tissue biomarker,PKMP3,eQTL_Brain Amygdala,Wald ratio,2.86E-04,1.131
Eating Disorder,Bulk-tissue biomarker,SLC43A1,eQTL_Brain Amygdala,Wald ratio,2.87E-04,0.837
Eating Disorder,Bulk-tissue biomarker,KNOP1,eQTL_Brain Amygdala,Wald ratio,3.34E-04,1.074
Eating Disorder,Bulk-tissue biomarker,DHFR2,eQTL_Brain Amygdala,Wald ratio,3.89E-04,1.177
Eating Disorder,Bulk-tissue biomarker,SLC12A8,eQTL_Brain Amygdala,Wald ratio,7.34E-04,0.893
Eating Disorder,Bulk-tissue biomarker,STAG3,eQTL_Brain Amygdala,Wald ratio,9.21E-04,1.145
Eating Disorder,Bulk-tissue biomarker,PVRIG,eQTL_Brain Amygdala,Wald ratio,9.21E-04,1.106
Eating Disorder,Bulk-tissue biomarker,ZNF281,eQTL_Brain Anterior cingulate cortex,Wald ratio,6.30E-07,0.817
Eating Disorder,Bulk-tissue biomarker,MGMT,eQTL_Brain Anterior cingulate cortex,Wald ratio,3.42E-05,0.909
Eating Disorder,Bulk-tissue biomarker,SLC25A12,eQTL_Brain Anterior cingulate cortex,Wald ratio,4.67E-05,1.35
Eating Disorder,Bulk-tissue biomarker,SNHG5,eQTL_Brain Anterior cingulate cortex,Wald ratio,2.86E-04,1.09
Eating Disorder,Bulk-tissue biomarker,PKMP3,eQTL_Brain Anterior cingulate cortex,Wald ratio,2.86E-04,1.145
Eating Disorder,Bulk-tissue biomarker,KNOP1,eQTL_Brain Anterior cingulate cortex,Wald ratio,4.16E-04,1.065
Eating Disorder,Bulk-tissue biomarker,ZNF195,eQTL_Brain Anterior cingulate cortex,Wald ratio,4.43E-04,0.905
Eating Disorder,Bulk-tissue biomarker,CBR3-AS1,eQTL_Brain Anterior cingulate cortex,Wald ratio,5.89E-04,0.904
Eating Disorder,Bulk-tissue biomarker,CBR3,eQTL_Brain Anterior cingulate cortex,Wald ratio,5.89E-04,0.889
Eating Disorder,Bulk-tissue biomarker,FAM131C2P,eQTL_Brain Anterior cingulate cortex,Wald ratio,6.74E-04,0.904
Eating Disorder,Bulk-tissue biomarker,GAS1RR,eQTL_Brain Anterior cingulate cortex,Wald ratio,6.95E-04,1.083
Eating Disorder,Bulk-tissue biomarker,PGPEP1L,eQTL_Brain Anterior cingulate cortex,Wald ratio,7.00E-04,1.084
Eating Disorder,Bulk-tissue biomarker,SLC12A8,eQTL_Brain Anterior cingulate cortex,Wald ratio,7.34E-04,0.887
Eating Disorder,Bulk-tissue biomarker,ALDH16A1,eQTL_Brain Anterior cingulate cortex,Wald ratio,8.65E-04,1.075
Eating Disorder,Bulk-tissue biomarker,AMT,eQTL_Brain Caudate basal ganglia,Wald ratio,1.53E-06,0.821
Eating Disorder,Bulk-tissue biomarker,GPX1,eQTL_Brain Caudate basal ganglia,Wald ratio,1.53E-06,1.424
Eating Disorder,Bulk-tissue biomarker,CCDC71,eQTL_Brain Caudate basal ganglia,Wald ratio,1.53E-06,1.313
Eating Disorder,Bulk-tissue biomarker,NCKIPSD,eQTL_Brain Caudate basal ganglia,Wald ratio,1.53E-06,0.852
Eating Disorder,Bulk-tissue biomarker,WDR6,eQTL_Brain Caudate basal ganglia,Wald ratio,1.53E-06,1.487
Eating Disorder,Bulk-tissue biomarker,MGMT,eQTL_Brain Caudate basal ganglia,Wald ratio,3.42E-05,0.905
Eating Disorder,Bulk-tissue biomarker,RBM6,eQTL_Brain Caudate basal ganglia,Wald ratio,8.40E-05,1.142
Eating Disorder,Bulk-tissue biomarker,MST1R,eQTL_Brain Caudate basal ganglia,Wald ratio,8.40E-05,0.863
Eating Disorder,Bulk-tissue biomarker,CNTLN,eQTL_Brain Caudate basal ganglia,Wald ratio,9.79E-05,1.183
Eating Disorder,Bulk-tissue biomarker,FGF14-AS2,eQTL_Brain Caudate basal ganglia,Wald ratio,1.02E-04,0.854
Eating Disorder,Bulk-tissue biomarker,SNHG5,eQTL_Brain Caudate basal ganglia,Wald ratio,2.86E-04,1.069
Eating Disorder,Bulk-tissue biomarker,PKMP3,eQTL_Brain Caudate basal ganglia,Wald ratio,2.86E-04,1.125
Eating Disorder,Bulk-tissue biomarker,VAMP2,eQTL_Brain Caudate basal ganglia,Wald ratio,2.86E-04,1.169
Eating Disorder,Bulk-tissue biomarker,ENPP5,eQTL_Brain Caudate basal ganglia,Wald ratio,4.53E-04,1.157
Eating Disorder,Bulk-tissue biomarker,ENPP4,eQTL_Brain Caudate basal ganglia,Wald ratio,4.53E-04,1.3
Eating Disorder,Bulk-tissue biomarker,ELP1,eQTL_Brain Caudate basal ganglia,Wald ratio,4.65E-04,0.769
Eating Disorder,Bulk-tissue biomarker,MIR181A2HG,eQTL_Brain Caudate basal ganglia,Wald ratio,5.64E-04,1.103
Eating Disorder,Bulk-tissue biomarker,SLC25A12,eQTL_Brain Caudate basal ganglia,Wald ratio,5.65E-04,1.304
Eating Disorder,Bulk-tissue biomarker,KNOP1,eQTL_Brain Caudate basal ganglia,Wald ratio,5.85E-04,1.049
Eating Disorder,Bulk-tissue biomarker,ASTN1,eQTL_Brain Caudate basal ganglia,Wald ratio,5.98E-04,1.231
Eating Disorder,Bulk-tissue biomarker,CDC20P1,eQTL_Brain Caudate basal ganglia,Wald ratio,6.95E-04,0.905
Eating Disorder,Bulk-tissue biomarker,ALDH16A1,eQTL_Brain Caudate basal ganglia,Wald ratio,7.13E-04,1.11
Eating Disorder,Bulk-tissue biomarker,SLC38A6,eQTL_Brain Caudate basal ganglia,Wald ratio,7.56E-04,0.823
Eating Disorder,Bulk-tissue biomarker,NEGR1,eQTL_Brain Caudate basal ganglia,Wald ratio,9.03E-04,1.409
Eating Disorder,Bulk-tissue biomarker,RNF123,eQTL_Brain Cerebellar Hemisphere,Wald ratio,2.09E-05,0.831
Eating Disorder,Bulk-tissue biomarker,GMPPB,eQTL_Brain Cerebellar Hemisphere,Wald ratio,2.09E-05,0.806
Eating Disorder,Bulk-tissue biomarker,MST1R,eQTL_Brain Cerebellar Hemisphere,Wald ratio,2.09E-05,0.881
Eating Disorder,Bulk-tissue biomarker,RBM6,eQTL_Brain Cerebellar Hemisphere,Wald ratio,2.09E-05,1.147
Eating Disorder,Bulk-tissue biomarker,INKA1,eQTL_Brain Cerebellar Hemisphere,Wald ratio,2.09E-05,0.904
Eating Disorder,Bulk-tissue biomarker,MGMT,eQTL_Brain Cerebellar Hemisphere,Wald ratio,3.42E-05,0.918
Eating Disorder,Bulk-tissue biomarker,TDRKH,eQTL_Brain Cerebellar Hemisphere,Wald ratio,1.21E-04,1.256
Eating Disorder,Bulk-tissue biomarker,SNX27,eQTL_Brain Cerebellar Hemisphere,Wald ratio,1.21E-04,1.132
Eating Disorder,Bulk-tissue biomarker,ZC3H8,eQTL_Brain Cerebellar Hemisphere,Wald ratio,1.51E-04,0.868
Eating Disorder,Bulk-tissue biomarker,RUNDC3B,eQTL_Brain Cerebellar Hemisphere,Wald ratio,1.92E-04,1.27
Eating Disorder,Bulk-tissue biomarker,VAMP2,eQTL_Brain Cerebellar Hemisphere,Wald ratio,2.13E-04,1.22
Eating Disorder,Bulk-tissue biomarker,PKMP3,eQTL_Brain Cerebellar Hemisphere,Wald ratio,2.86E-04,1.129
Eating Disorder,Bulk-tissue biomarker,SNHG5,eQTL_Brain Cerebellar Hemisphere,Wald ratio,2.86E-04,1.079
Eating Disorder,Bulk-tissue biomarker,SLFNL1,eQTL_Brain Cerebellar Hemisphere,Wald ratio,3.12E-04,0.827
Eating Disorder,Bulk-tissue biomarker,KDM4C,eQTL_Brain Cerebellar Hemisphere,Wald ratio,3.48E-04,1.146
Eating Disorder,Bulk-tissue biomarker,SECISBP2,eQTL_Brain Cerebellar Hemisphere,Wald ratio,5.13E-04,0.872
Eating Disorder,Bulk-tissue biomarker,ZBTB25,eQTL_Brain Cerebellar Hemisphere,Wald ratio,6.82E-04,0.847
Eating Disorder,Bulk-tissue biomarker,GAS1RR,eQTL_Brain Cerebellar Hemisphere,Wald ratio,7.71E-04,1.092
Eating Disorder,Bulk-tissue biomarker,CDC20P1,eQTL_Brain Cerebellar Hemisphere,Wald ratio,7.71E-04,0.943
Eating Disorder,Bulk-tissue biomarker,KNOP1,eQTL_Brain Cerebellar Hemisphere,Wald ratio,8.19E-04,1.066
Eating Disorder,Bulk-tissue biomarker,RPL31P12,eQTL_Brain Cerebellar Hemisphere,Wald ratio,8.37E-04,0.958
Eating Disorder,Bulk-tissue biomarker,ANKRD63,eQTL_Brain Cerebellar Hemisphere,Wald ratio,9.00E-04,1.107
Eating Disorder,Bulk-tissue biomarker,BUB1B,eQTL_Brain Cerebellar Hemisphere,Wald ratio,9.00E-04,1.081
Eating Disorder,Bulk-tissue biomarker,PAK6,eQTL_Brain Cerebellar Hemisphere,Wald ratio,9.00E-04,1.144
Eating Disorder,Bulk-tissue biomarker,NDUFS3,eQTL_Brain Cerebellar Hemisphere,Wald ratio,9.35E-04,0.724
Eating Disorder,Bulk-tissue biomarker,PIAS2,eQTL_Brain Cerebellar Hemisphere,Wald ratio,9.77E-04,1.218
Eating Disorder,Bulk-tissue biomarker,ST8SIA5-DT,eQTL_Brain Cerebellar Hemisphere,Wald ratio,9.77E-04,0.945
Eating Disorder,Bulk-tissue biomarker,GMPPB,eQTL_Brain Cerebellum,Wald ratio,2.56E-05,0.831
Eating Disorder,Bulk-tissue biomarker,RBM6,eQTL_Brain Cerebellum,Wald ratio,2.56E-05,1.09
Eating Disorder,Bulk-tissue biomarker,MST1R,eQTL_Brain Cerebellum,Wald ratio,2.56E-05,0.904
Eating Disorder,Bulk-tissue biomarker,RNF123,eQTL_Brain Cerebellum,Wald ratio,2.56E-05,0.841
Eating Disorder,Bulk-tissue biomarker,INKA1,eQTL_Brain Cerebellum,Wald ratio,2.56E-05,0.906
Eating Disorder,Bulk-tissue biomarker,EPHA3,eQTL_Brain Cerebellum,Wald ratio,1.17E-04,1.151
Eating Disorder,Bulk-tissue biomarker,ENTPD1,eQTL_Brain Cerebellum,Wald ratio,1.85E-04,0.792
Eating Disorder,Bulk-tissue biomarker,SLFNL1,eQTL_Brain Cerebellum,Wald ratio,2.50E-04,0.862
Eating Disorder,Bulk-tissue biomarker,PKMP3,eQTL_Brain Cerebellum,Wald ratio,2.86E-04,1.121
Eating Disorder,Bulk-tissue biomarker,SNHG5,eQTL_Brain Cerebellum,Wald ratio,2.86E-04,1.079
Eating Disorder,Bulk-tissue biomarker,GLDC,eQTL_Brain Cerebellum,Wald ratio,3.70E-04,1.123
Eating Disorder,Bulk-tissue biomarker,KNOP1,eQTL_Brain Cerebellum,Wald ratio,5.52E-04,1.053
Eating Disorder,Bulk-tissue biomarker,GPRC5B,eQTL_Brain Cerebellum,Wald ratio,5.52E-04,0.692
Eating Disorder,Bulk-tissue biomarker,MIR181A2HG,eQTL_Brain Cerebellum,Wald ratio,5.64E-04,1.118
Eating Disorder,Bulk-tissue biomarker,ENPP4,eQTL_Brain Cerebellum,Wald ratio,6.07E-04,0.759
Eating Disorder,Bulk-tissue biomarker,ENPP5,eQTL_Brain Cerebellum,Wald ratio,6.07E-04,1.146
Eating Disorder,Bulk-tissue biomarker,AKAP1,eQTL_Brain Cerebellum,Wald ratio,6.76E-04,0.865
Eating Disorder,Bulk-tissue biomarker,CDC20P1,eQTL_Brain Cerebellum,Wald ratio,8.07E-04,0.942
Eating Disorder,Bulk-tissue biomarker,LINC02893,eQTL_Brain Cerebellum,Wald ratio,8.07E-04,0.892
Eating Disorder,Bulk-tissue biomarker,GAS1RR,eQTL_Brain Cerebellum,Inverse variance weighted,8.37E-04,1.058
Eating Disorder,Bulk-tissue biomarker,PIH1D1,eQTL_Brain Cerebellum,Wald ratio,8.65E-04,0.849
Eating Disorder,Bulk-tissue biomarker,ALDH16A1,eQTL_Brain Cerebellum,Wald ratio,8.65E-04,1.061
Eating Disorder,Bulk-tissue biomarker,ST8SIA5-DT,eQTL_Brain Cerebellum,Wald ratio,9.77E-04,0.947
Eating Disorder,Bulk-tissue biomarker,MGMT,eQTL_Brain Cortex,Wald ratio,3.42E-05,0.924
Eating Disorder,Bulk-tissue biomarker,FGF14-AS2,eQTL_Brain Cortex,Wald ratio,1.02E-04,0.795
Eating Disorder,Bulk-tissue biomarker,VCL,eQTL_Brain Cortex,Wald ratio,2.19E-04,0.83
Eating Disorder,Bulk-tissue biomarker,RFPL1S,eQTL_Brain Cortex,Wald ratio,2.74E-04,0.826
Eating Disorder,Bulk-tissue biomarker,SNHG5,eQTL_Brain Cortex,Inverse variance weighted,2.83E-04,1.065
Eating Disorder,Bulk-tissue biomarker,PKMP3,eQTL_Brain Cortex,Wald ratio,2.86E-04,1.15
Eating Disorder,Bulk-tissue biomarker,KNOP1,eQTL_Brain Cortex,Wald ratio,3.42E-04,1.064
Eating Disorder,Bulk-tissue biomarker,R3HCC1L,eQTL_Brain Cortex,Wald ratio,4.60E-04,1.179
Eating Disorder,Bulk-tissue biomarker,TMEM51-AS1,eQTL_Brain Cortex,Wald ratio,4.75E-04,1.116
Eating Disorder,Bulk-tissue biomarker,FBXO27,eQTL_Brain Cortex,Wald ratio,5.90E-04,0.839
Eating Disorder,Bulk-tissue biomarker,ALDH16A1,eQTL_Brain Cortex,Wald ratio,7.60E-04,1.072
Eating Disorder,Bulk-tissue biomarker,CDC20P1,eQTL_Brain Cortex,Wald ratio,7.88E-04,0.923
Eating Disorder,Bulk-tissue biomarker,GAS1RR,eQTL_Brain Cortex,Wald ratio,7.88E-04,1.1
Eating Disorder,Bulk-tissue biomarker,CHPT1,eQTL_Brain Cortex,Wald ratio,8.01E-04,1.275
Eating Disorder,Bulk-tissue biomarker,AL355531.1,eQTL_Brain Cortex SMR,Wald ratio,9.11E-08,1.104
Eating Disorder,Bulk-tissue biomarker,AC090629.1,eQTL_Brain Cortex SMR,Wald ratio,6.65E-07,0.721
Eating Disorder,Bulk-tissue biomarker,CTNNB1,eQTL_Brain Cortex SMR,Wald ratio,5.50E-06,1.131
Eating Disorder,Bulk-tissue biomarker,ERBB3,eQTL_Brain Cortex SMR,Wald ratio,2.02E-05,1.219
Eating Disorder,Bulk-tissue biomarker,RAB5B,eQTL_Brain Cortex SMR,Wald ratio,2.02E-05,1.422
Eating Disorder,Bulk-tissue biomarker,SUOX,eQTL_Brain Cortex SMR,Wald ratio,2.02E-05,1.15
Eating Disorder,Bulk-tissue biomarker,RPS26,eQTL_Brain Cortex SMR,Wald ratio,2.02E-05,0.951
Eating Disorder,Bulk-tissue biomarker,METAP1D,eQTL_Brain Cortex SMR,Wald ratio,2.35E-05,1.402
Eating Disorder,Bulk-tissue biomarker,SLC25A12,eQTL_Brain Cortex SMR,Wald ratio,2.35E-05,0.879
Eating Disorder,Bulk-tissue biomarker,DYNC1I2,eQTL_Brain Cortex SMR,Wald ratio,2.35E-05,1.201
Eating Disorder,Bulk-tissue biomarker,ACP7,eQTL_Brain Cortex SMR,Inverse variance weighted,3.30E-05,1.116
Eating Disorder,Bulk-tissue biomarker,PRKCSH,eQTL_Brain Cortex SMR,Wald ratio,8.81E-05,0.77
Eating Disorder,Bulk-tissue biomarker,CBR1,eQTL_Brain Cortex SMR,Inverse variance weighted,9.09E-05,1.144
Eating Disorder,Bulk-tissue biomarker,AC063950.1,eQTL_Brain Cortex SMR,Wald ratio,1.52E-04,1.224
Eating Disorder,Bulk-tissue biomarker,CTBP2,eQTL_Brain Cortex SMR,Wald ratio,1.63E-04,1.239
Eating Disorder,Bulk-tissue biomarker,AL731571.1,eQTL_Brain Cortex SMR,Wald ratio,1.63E-04,1.318
Eating Disorder,Bulk-tissue biomarker,RFPL1S,eQTL_Brain Cortex SMR,Wald ratio,2.01E-04,1.055
Eating Disorder,Bulk-tissue biomarker,AP000974.1,eQTL_Brain Cortex SMR,Wald ratio,2.35E-04,0.932
Eating Disorder,Bulk-tissue biomarker,ZC3H8,eQTL_Brain Cortex SMR,Wald ratio,2.40E-04,1.206
Eating Disorder,Bulk-tissue biomarker,RGPD8,eQTL_Brain Cortex SMR,Wald ratio,2.40E-04,0.95
Eating Disorder,Bulk-tissue biomarker,AC092645.1,eQTL_Brain Cortex SMR,Wald ratio,2.40E-04,1.253
Eating Disorder,Bulk-tissue biomarker,AL133166.1,eQTL_Brain Cortex SMR,Wald ratio,2.72E-04,0.811
Eating Disorder,Bulk-tissue biomarker,SNHG5,eQTL_Brain Cortex SMR,Wald ratio,3.15E-04,0.953
Eating Disorder,Bulk-tissue biomarker,ZMAT4,eQTL_Brain Cortex SMR,Wald ratio,3.23E-04,1.304
Eating Disorder,Bulk-tissue biomarker,AC010857.1,eQTL_Brain Cortex SMR,Wald ratio,3.23E-04,1.148
Eating Disorder,Bulk-tissue biomarker,ZCCHC2,eQTL_Brain Cortex SMR,Wald ratio,3.36E-04,1.187
Eating Disorder,Bulk-tissue biomarker,KCNK2,eQTL_Brain Cortex SMR,Wald ratio,3.65E-04,1.328
Eating Disorder,Bulk-tissue biomarker,ENPP4,eQTL_Brain Cortex SMR,Wald ratio,4.08E-04,0.927
Eating Disorder,Bulk-tissue biomarker,ENPP5,eQTL_Brain Cortex SMR,Wald ratio,4.08E-04,0.866
Eating Disorder,Bulk-tissue biomarker,AL035701.1,eQTL_Brain Cortex SMR,Wald ratio,4.08E-04,0.943
Eating Disorder,Bulk-tissue biomarker,CD247,eQTL_Brain Cortex SMR,Inverse variance weighted,4.47E-04,0.894
Eating Disorder,Bulk-tissue biomarker,FGF14-AS2,eQTL_Brain Cortex SMR,Wald ratio,4.66E-04,1.148
Eating Disorder,Bulk-tissue biomarker,NIN,eQTL_Brain Cortex SMR,Wald ratio,5.86E-04,1.213
Eating Disorder,Bulk-tissue biomarker,FBXO27,eQTL_Brain Cortex SMR,Wald ratio,5.91E-04,1.17
Eating Disorder,Bulk-tissue biomarker,AC084757.3,eQTL_Brain Cortex SMR,Wald ratio,6.01E-04,0.863
Eating Disorder,Bulk-tissue biomarker,SP5,eQTL_Brain Cortex SMR,Inverse variance weighted,6.53E-04,0.823
Eating Disorder,Bulk-tissue biomarker,MEMO1P1,eQTL_Brain Cortex SMR,Wald ratio,6.63E-04,1.302
Eating Disorder,Bulk-tissue biomarker,CBR3-AS1,eQTL_Brain Cortex SMR,Wald ratio,6.63E-04,1.086
Eating Disorder,Bulk-tissue biomarker,CBR3,eQTL_Brain Cortex SMR,Wald ratio,6.63E-04,1.081
Eating Disorder,Bulk-tissue biomarker,DOP1B,eQTL_Brain Cortex SMR,Wald ratio,6.63E-04,1.16
Eating Disorder,Bulk-tissue biomarker,SLC43A3,eQTL_Brain Cortex SMR,Wald ratio,6.66E-04,0.684
Eating Disorder,Bulk-tissue biomarker,AC114971.1,eQTL_Brain Cortex SMR,Wald ratio,6.77E-04,0.91
Eating Disorder,Bulk-tissue biomarker,AC091826.2,eQTL_Brain Cortex SMR,Wald ratio,6.77E-04,0.771
Eating Disorder,Bulk-tissue biomarker,AC020930.1,eQTL_Brain Cortex SMR,Wald ratio,6.77E-04,0.806
Eating Disorder,Bulk-tissue biomarker,LINC02144,eQTL_Brain Cortex SMR,Wald ratio,6.77E-04,0.89
Eating Disorder,Bulk-tissue biomarker,LINC02458,eQTL_Brain Cortex SMR,Wald ratio,7.80E-04,0.856
Eating Disorder,Bulk-tissue biomarker,PTCH1,eQTL_Brain Cortex SMR,Wald ratio,8.44E-04,0.796
Eating Disorder,Bulk-tissue biomarker,LINC02796,eQTL_Brain Cortex SMR,Wald ratio,9.03E-04,0.849
Eating Disorder,Bulk-tissue biomarker,RPL31P12,eQTL_Brain Cortex SMR,Wald ratio,9.03E-04,1.043
Eating Disorder,Bulk-tissue biomarker,AL513166.1,eQTL_Brain Cortex SMR,Wald ratio,9.03E-04,0.946
Eating Disorder,Bulk-tissue biomarker,AL583808.1,eQTL_Brain Cortex SMR,Wald ratio,9.03E-04,0.891
Eating Disorder,Bulk-tissue biomarker,NEGR1,eQTL_Brain Cortex SMR,Wald ratio,9.03E-04,0.85
Eating Disorder,Bulk-tissue biomarker,AC007405.3,eQTL_Brain Cortex SMR,Inverse variance weighted,9.73E-04,0.915
Eating Disorder,Bulk-tissue biomarker,CTNNB1,eQTL_Brain Frontal Cortex,Wald ratio,6.32E-06,0.782
Eating Disorder,Bulk-tissue biomarker,VCL,eQTL_Brain Frontal Cortex,Wald ratio,9.73E-06,0.819
Eating Disorder,Bulk-tissue biomarker,SPINT2,eQTL_Brain Frontal Cortex,Wald ratio,8.94E-05,1.385
Eating Disorder,Bulk-tissue biomarker,CNTLN,eQTL_Brain Frontal Cortex,Wald ratio,9.79E-05,1.24
Eating Disorder,Bulk-tissue biomarker,TRIM32,eQTL_Brain Frontal Cortex,Wald ratio,2.64E-04,0.866
Eating Disorder,Bulk-tissue biomarker,RFPL1S,eQTL_Brain Frontal Cortex,Wald ratio,2.79E-04,0.843
Eating Disorder,Bulk-tissue biomarker,SNHG5,eQTL_Brain Frontal Cortex,Wald ratio,2.86E-04,1.084
Eating Disorder,Bulk-tissue biomarker,ENPP5,eQTL_Brain Frontal Cortex,Wald ratio,4.08E-04,1.135
Eating Disorder,Bulk-tissue biomarker,ENPP4,eQTL_Brain Frontal Cortex,Wald ratio,4.08E-04,1.284
Eating Disorder,Bulk-tissue biomarker,FURIN,eQTL_Brain Frontal Cortex,Wald ratio,4.28E-04,0.81
Eating Disorder,Bulk-tissue biomarker,KNOP1,eQTL_Brain Frontal Cortex,Wald ratio,4.90E-04,1.065
Eating Disorder,Bulk-tissue biomarker,GPM6A-DT,eQTL_Brain Frontal Cortex,Inverse variance weighted,5.59E-04,0.923
Eating Disorder,Bulk-tissue biomarker,CBR3,eQTL_Brain Frontal Cortex,Wald ratio,5.59E-04,0.897
Eating Disorder,Bulk-tissue biomarker,TMEM51-AS1,eQTL_Brain Frontal Cortex,Wald ratio,5.63E-04,1.112
Eating Disorder,Bulk-tissue biomarker,ASTN1,eQTL_Brain Frontal Cortex,Wald ratio,5.76E-04,1.328
Eating Disorder,Bulk-tissue biomarker,SLC25A12,eQTL_Brain Frontal Cortex,Wald ratio,7.40E-04,1.261
Eating Disorder,Bulk-tissue biomarker,GAS1RR,eQTL_Brain Frontal Cortex,Wald ratio,8.07E-04,1.098
Eating Disorder,Bulk-tissue biomarker,CDC20P1,eQTL_Brain Frontal Cortex,Wald ratio,8.07E-04,0.909
Eating Disorder,Bulk-tissue biomarker,ALDH16A1,eQTL_Brain Frontal Cortex,Wald ratio,8.14E-04,1.079
Eating Disorder,Bulk-tissue biomarker,SLC12A8,eQTL_Brain Frontal Cortex,Wald ratio,8.95E-04,0.89
Eating Disorder,Bulk-tissue biomarker,CTNNB1,eQTL_Brain Hippocampus,Wald ratio,1.43E-05,0.826
Eating Disorder,Bulk-tissue biomarker,ACP7,eQTL_Brain Hippocampus,Wald ratio,3.41E-05,0.791
Eating Disorder,Bulk-tissue biomarker,MGMT,eQTL_Brain Hippocampus,Wald ratio,3.42E-05,0.918
Eating Disorder,Bulk-tissue biomarker,CNTLN,eQTL_Brain Hippocampus,Wald ratio,7.43E-05,1.198
Eating Disorder,Bulk-tissue biomarker,SNHG5,eQTL_Brain Hippocampus,Wald ratio,2.86E-04,1.072
Eating Disorder,Bulk-tissue biomarker,ENPP5,eQTL_Brain Hippocampus,Wald ratio,4.08E-04,1.195
Eating Disorder,Bulk-tissue biomarker,ENPP4,eQTL_Brain Hippocampus,Wald ratio,4.08E-04,1.342
