Psychiatric disorder,Risk phenotype,Method,Beta,Standard error,P-value,OR,OR_lci95,OR_uci95,Q Pvalue(MREgger),Q Pvalue(IVW),Intercept PValue
BP,Educational attainment,Inverse variance weighted,-0.189314569,0.038880206,1.12E-06,8.28E-01,7.67E-01,8.93E-01,4.18E-02,4.05E-02,0.177159832
DEP,Qualifications: College or University degree ,Weighted median,-0.38043029,0.078656091,1.32E-06,6.84E-01,5.86E-01,7.98E-01,2.99E-01,3.11E-01,0.634434752
SCZ,Primary sclerosing cholangitis ,Weighted mode,-0.139203801,0.01872074,2.09E-06,8.70E-01,8.39E-01,9.03E-01,5.23E-04,1.42E-04,0.183882486
BP,Qualifications: College or University degree ,Weighted median,0.79445717,0.168095556,2.29E-06,2.21E+00,1.59E+00,3.08E+00,2.99E-01,3.11E-01,0.634434752
DEP,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties ",Weighted median,2.743730084,0.580862374,2.32E-06,1.55E+01,4.98E+00,4.85E+01,3.55E-01,4.44E-01,0.731465866
ASD,Intelligence ,Inverse variance weighted,0.425276887,0.090101274,2.36E-06,1.53E+00,1.28E+00,1.83E+00,4.32E-01,4.45E-01,0.508952987
BP,Qualifications: College or University degree ,Inverse variance weighted,0.758831637,0.161134708,2.49E-06,2.14E+00,1.56E+00,2.93E+00,2.99E-01,3.11E-01,0.634434752
DEP,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties ",Weighted median,2.743730084,0.593663349,3.81E-06,1.55E+01,4.86E+00,4.98E+01,3.55E-01,4.44E-01,0.731465866
DEP,Body mass index (BMI) ,Weighted median,0.121844326,0.026898372,5.90E-06,1.13E+00,1.07E+00,1.19E+00,2.57E-14,3.16E-14,0.736769716
BP,Neuroticism score ,Weighted median,0.143180459,0.031838045,6.89E-06,1.15E+00,1.08E+00,1.23E+00,1.16E-01,8.85E-02,0.078855935
SCZ,smoking initiation ,Weighted median,0.355981868,0.079645447,7.84E-06,1.43E+00,1.22E+00,1.67E+00,2.26E-27,4.38E-27,0.991805771
DEP,Neuroticism score ,Weighted mode,0.259455103,0.055372212,8.11E-06,1.30E+00,1.16E+00,1.44E+00,1.55E-10,6.41E-11,0.134958317
ADHD,Unable to work because of sickness or disability,MR Egger,-2.37637544,0.537835141,1.06E-05,9.29E-02,3.24E-02,2.67E-01,4.62E-43,5.56E-43,0.728913603
PTSD,Age at first birth ,Inverse variance weighted,-0.162746127,0.037111418,1.16E-05,8.50E-01,7.90E-01,9.14E-01,3.09E-13,1.34E-13,0.278809734
PTSD,Unable to work because of sickness or disability,MR Egger,-2.872639073,0.65827211,1.34E-05,5.65E-02,1.56E-02,2.05E-01,2.55E-04,2.53E-04,0.299104165
ADHD,smoking initiation ,Simple mode,0.928661275,0.200669873,1.39E-05,2.53E+00,1.71E+00,3.75E+00,3.61E-20,6.44E-21,0.153206716
DEP,Sleeplessness / insomnia ,Weighted median,0.565936082,0.130223806,1.39E-05,1.76E+00,1.36E+00,2.27E+00,1.65E-10,2.97E-10,0.924188828
SCZ,smoking initiation ,Inverse variance weighted,0.415380607,0.097867466,2.19E-05,1.51E+00,1.25E+00,1.84E+00,2.26E-27,4.38E-27,0.991805771
DEP,Iron intake,Inverse variance weighted,-1.635453517,0.386599382,2.33E-05,1.95E-01,9.13E-02,4.16E-01,4.26E-01,4.23E-01,0.225977787
ADHD,Qualifications: College or University degree ,Simple mode,-2.558755681,0.596663533,2.61E-05,7.74E-02,2.40E-02,2.49E-01,1.18E-25,1.37E-25,0.526042364
BP,Primary sclerosing cholangitis ,Weighted median,-0.073463254,0.017474018,2.62E-05,9.29E-01,8.98E-01,9.62E-01,3.17E-01,3.92E-01,0.843794435
PTSD,Educational attainment,Inverse variance weighted,0.195990546,0.047306441,3.43E-05,1.22E+00,1.11E+00,1.33E+00,2.71E-14,1.31E-14,0.011722259
ASD,Educational attainment,Weighted median,-0.300713301,0.073012346,3.81E-05,7.40E-01,6.42E-01,8.54E-01,7.40E-79,6.12E-79,0.267199899
ADHD,Current employment status: Retired,Inverse variance weighted,0.39211432,0.095399301,3.95E-05,1.48E+00,1.23E+00,1.78E+00,6.63E-12,6.82E-12,0.41326421
ED,Intelligence ,Inverse variance weighted,-0.402500943,0.098057776,4.05E-05,6.69E-01,5.52E-01,8.10E-01,1.44E-11,1.54E-11,0.454530892
OCD,Educational attainment,Inverse variance weighted,0.382120301,0.093955449,4.76E-05,1.47E+00,1.22E+00,1.76E+00,2.71E-14,1.31E-14,0.011722259
ADHD,Trauma exposure ,Inverse variance weighted,0.455230734,0.113245705,5.82E-05,1.58E+00,1.26E+00,1.97E+00,4.00E-01,7.40E-03,0.045065228
ED,Qualifications: College or University degree ,Weighted median,-0.958032824,0.238306789,5.82E-05,3.84E-01,2.40E-01,6.12E-01,7.01E-11,6.87E-12,0.008009552
ASD,Qualifications: College or University degree ,MR Egger,2.927654413,0.728752346,7.85E-05,1.87E+01,4.48E+00,7.79E+01,2.99E-01,3.11E-01,0.634434752
DEP,Trauma exposure ,Inverse variance weighted,0.146453647,0.037102779,7.91E-05,1.16E+00,1.08E+00,1.25E+00,7.16E-01,7.78E-01,0.565530554
PTSD,Unable to work because of sickness or disability,Weighted median,-1.868480078,0.476082048,8.68E-05,1.54E-01,6.07E-02,3.92E-01,2.55E-04,2.53E-04,0.299104165
ED,Body mass index (BMI) ,Weighted median,0.312045284,0.079906604,9.42E-05,1.37E+00,1.17E+00,1.60E+00,2.57E-14,3.16E-14,0.736769716
BP,Primary sclerosing cholangitis ,Weighted mode,-0.084725192,0.016103707,9.59E-05,9.19E-01,8.90E-01,9.48E-01,3.17E-01,3.92E-01,0.843794435
BP,smoking initiation ,Inverse variance weighted,0.325981402,0.083892349,1.02E-04,1.39E+00,1.18E+00,1.63E+00,4.01E-01,4.31E-01,0.98282675
DEP,Qualifications: College or University degree ,Inverse variance weighted,-0.318563457,0.08217244,1.06E-04,7.27E-01,6.19E-01,8.54E-01,2.99E-01,3.11E-01,0.634434752
OCD,Qualifications: College or University degree ,Inverse variance weighted,-1.283519719,0.332493572,1.13E-04,2.77E-01,1.44E-01,5.32E-01,7.01E-11,6.87E-12,0.008009552
PTSD,Body mass index (BMI) ,Weighted median,0.304560915,0.079283405,1.22E-04,1.36E+00,1.16E+00,1.58E+00,6.63E-60,1.01E-59,0.813425492
ANX,Educational attainment,Inverse variance weighted,0.350313768,0.09133663,1.25E-04,1.42E+00,1.19E+00,1.70E+00,7.40E-79,6.12E-79,0.267199899
ADHD,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties ",Weighted median,5.301686096,1.382947516,1.26E-04,2.01E+02,1.33E+01,3.02E+03,7.31E-04,7.84E-04,0.543584028
ADHD,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties ",Weighted median,5.301686096,1.384372681,1.28E-04,2.01E+02,1.33E+01,3.03E+03,7.31E-04,7.84E-04,0.543584028
