Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
RAPGEF5,Lymphocyte,ANX,Wald ratio,1,1.03,3.25E-01,NA,NA,NA,3.08E-05
STK33,Lymphocyte,ANX,Wald ratio,1,1.035,3.29E-01,NA,NA,NA,0.000144629
KLK1,Lymphocyte,ANX,Wald ratio,1,0.936,3.29E-01,NA,NA,NA,4.38E-06
LPIN2,Lymphocyte,ANX,Wald ratio,1,1.033,3.30E-01,NA,NA,NA,0.019198403
MLPH,Lymphocyte,ANX,Wald ratio,1,0.967,3.33E-01,NA,NA,NA,0.019285437
SLC1A1,Lymphocyte,ANX,Wald ratio,1,0.964,3.34E-01,NA,NA,NA,0.023109679
NT5E,Lymphocyte,ANX,Wald ratio,1,1.019,3.37E-01,NA,NA,NA,2.18E-05
UCK2,Lymphocyte,ANX,Wald ratio,1,1.029,3.41E-01,NA,NA,NA,0.020821354
CTTNBP2NL,Lymphocyte,ANX,Wald ratio,1,1.022,3.42E-01,NA,NA,NA,0.002444703
SLC18B1,Lymphocyte,ANX,Wald ratio,1,1.047,3.44E-01,NA,NA,NA,0.000350419
RERE,Lymphocyte,ANX,Wald ratio,1,1.035,3.48E-01,NA,NA,NA,0.001447497
