Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
RHCE,Sert_D52,ASD,Wald ratio,1,0.935,3.25E-03,NA,NA,NA,0.343471604
RHCE,Sert_D30,ASD,Wald ratio,1,0.855,3.25E-03,NA,NA,NA,0.267129802
RHCE,Epen1_D52,ASD,Wald ratio,1,0.905,3.25E-03,NA,NA,NA,0.341970199
NCALD,OPCs / COPs,ASD,Wald ratio,1,0.904,3.35E-03,NA,NA,NA,0.028836041
SNRPD1,Sert_D52_ROT,ASD,Wald ratio,1,1.125,3.41E-03,NA,NA,NA,0.281471002
MTOR,Astrocytes,ASD,Wald ratio,1,0.852,3.42E-03,NA,NA,NA,0.000104637
FAM241A,Oligodendrocytes,ASD,Wald ratio,1,1.205,3.42E-03,NA,NA,NA,0.000106454
PXDNL,Microglia,ASD,Wald ratio,1,1.145,3.47E-03,NA,NA,NA,8.03E-05
SHISAL2B,Inhibitory neurons,ASD,Wald ratio,1,1.101,3.47E-03,NA,NA,NA,0.000385485
BCL10,Excitatory neurons,ASD,Wald ratio,1,0.794,3.49E-03,NA,NA,NA,0.00010849
C1orf226,Excitatory neurons,ASD,Wald ratio,1,0.852,3.55E-03,NA,NA,NA,7.19E-05
ATF6,Inhibitory neurons,ASD,Wald ratio,1,0.854,3.55E-03,NA,NA,NA,0.000121465
ASNS,Excitatory neurons,ASD,Wald ratio,1,0.759,3.57E-03,NA,NA,NA,7.60E-05
USP7,FPP_D30,ASD,Wald ratio,1,0.811,3.58E-03,NA,NA,NA,0.335431119
ZDHHC22,OPCs / COPs,ASD,Wald ratio,1,1.28,3.59E-03,NA,NA,NA,0.000103635
ZFAND1,Endothelial cells,ASD,Wald ratio,1,1.122,3.66E-03,NA,NA,NA,9.32E-05
MDFIC2,Microglia,ASD,Wald ratio,1,0.875,3.69E-03,NA,NA,NA,6.27E-05
TPRA1,Excitatory neurons,ASD,Wald ratio,1,1.201,3.70E-03,NA,NA,NA,0.00011931
HELB,Excitatory neurons,ASD,Wald ratio,1,0.943,3.74E-03,NA,NA,NA,0.312502988
CNTN3,Excitatory neurons,ASD,Wald ratio,1,0.793,3.75E-03,NA,NA,NA,5.27E-05
DLG5,Inhibitory neurons,ASD,Wald ratio,1,0.83,3.84E-03,NA,NA,NA,5.11E-05
SIAE,FPP_D11,ASD,Wald ratio,1,1.185,3.87E-03,NA,NA,NA,0.163221811
PKIG,Endothelial cells,ASD,Wald ratio,1,0.856,3.91E-03,NA,NA,NA,5.47E-05
DIPK1A,Excitatory neurons,ASD,Wald ratio,1,0.825,3.94E-03,NA,NA,NA,0.018049055
RNF146,DA_D30,ASD,Wald ratio,1,0.723,3.95E-03,NA,NA,NA,0.173442773
GABRA5,Sert_D52,ASD,Wald ratio,1,0.887,3.97E-03,NA,NA,NA,0.287019418
GAB1,Excitatory neurons,ASD,Wald ratio,1,0.797,4.10E-03,NA,NA,NA,0.011369761
ELP2,Oligodendrocytes,ASD,Wald ratio,1,0.829,4.38E-03,NA,NA,NA,0.00010898
MOCOS,Microglia,ASD,Wald ratio,1,1.089,4.38E-03,NA,NA,NA,0.03062529
TMEM50B,Oligodendrocytes,ASD,Wald ratio,1,0.922,4.38E-03,NA,NA,NA,0.282033295
UBE2Q1,Endothelial cells,ASD,Wald ratio,1,1.129,4.39E-03,NA,NA,NA,5.84E-05
PPARGC1A,Excitatory neurons,ASD,Wald ratio,1,0.774,4.62E-03,NA,NA,NA,5.83E-05
MPP7,Astrocytes,ASD,Wald ratio,1,0.922,4.65E-03,NA,NA,NA,0.000993749
RAB3C,Excitatory neurons,ASD,Wald ratio,1,1.165,4.69E-03,NA,NA,NA,0.189591612
