Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
EEF1AKMT3,Brain Hippocampus,SCZ,Wald ratio,1,1.091,1.45E-07,NA,NA,NA,0.963573912
OLA1,Brain Cortex,SCZ,Wald ratio,1,0.448,1.46E-07,NA,NA,NA,0.999787781
RBM26,Brain Cortex,SCZ,Wald ratio,1,1.176,1.50E-07,NA,NA,NA,0.999759085
KITLG,Brain Substantia nigra,SCZ,Wald ratio,1,0.92,1.52E-07,NA,NA,NA,0.642232901
AKT3,Brain Nucleus accumbens basal ganglia,SCZ,Wald ratio,1,0.89,1.94E-07,NA,NA,NA,0.983096175
DARS2,Brain Cortex,SCZ,Wald ratio,1,0.851,2.58E-07,NA,NA,NA,0.99972276
RC3H1,Brain Cortex,SCZ,Wald ratio,1,0.421,2.58E-07,NA,NA,NA,0.99972271
CRELD2,Brain Hippocampus,SCZ,Wald ratio,1,0.946,2.75E-07,NA,NA,NA,0.999514374
XPNPEP3,Brain Hypothalamus,SCZ,Wald ratio,1,1.055,3.34E-07,NA,NA,NA,0.999478995
EPN2,Brain Nucleus accumbens basal ganglia,SCZ,Wald ratio,1,1.146,3.38E-07,NA,NA,NA,0.870117024
PRKD3,Brain Cortex,SCZ,Wald ratio,1,0.38,3.49E-07,NA,NA,NA,0.99948977
NDUFAF7,Brain Cortex,SCZ,Wald ratio,1,0.717,3.49E-07,NA,NA,NA,0.999498803
CEBPZOS,Brain Cortex,SCZ,Wald ratio,1,0.594,3.49E-07,NA,NA,NA,0.999498803
PTPA,Brain Cortex,SCZ,Wald ratio,1,1.761,3.97E-07,NA,NA,NA,0.999682539
ZDHHC12,Brain Cortex,SCZ,Wald ratio,1,1.202,3.97E-07,NA,NA,NA,0.999682539
ZDHHC12,Brain Spinal cord cervical,SCZ,Wald ratio,1,1.05,3.97E-07,NA,NA,NA,0.999671454
GAS6,Brain Substantia nigra,SCZ,Wald ratio,1,0.917,4.00E-07,NA,NA,NA,0.839358985
PRICKLE2,Brain Cortex,SCZ,Wald ratio,1,1.896,5.18E-07,NA,NA,NA,0.999333092
CCDC92,Brain Hypothalamus,SCZ,Wald ratio,1,0.962,5.43E-07,NA,NA,NA,0.999210349
