"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"DDX11-AS1","Brain","BP","Wald ratio",1," 0.009","0.013","1.009","4.87e-01",NA,NA,NA,0.005999368
"COX7A2","Brain","BP","Wald ratio",1," 0.029","0.042","1.029","4.88e-01",NA,NA,NA,0.007617091
"ASAP3","Brain","BP","Wald ratio",1,"-0.019","0.027","0.981","4.89e-01",NA,NA,NA,0.006553485
"TRIM5","Brain","BP","Wald ratio",1,"-0.023","0.033","0.978","4.91e-01",NA,NA,NA,0.005848341
"DMBT1L1","Brain","BP","Wald ratio",1," 0.062","0.091","1.064","4.96e-01",NA,NA,NA,0.020851841
"VAX2","Brain","BP","Wald ratio",1,"-0.021","0.031","0.979","4.99e-01",NA,NA,NA,0.00654018
"H2AC25","Brain","BP","Wald ratio",1,"-0.019","0.028","0.981","5.00e-01",NA,NA,NA,0.00591523
"MVK","Brain","BP","Wald ratio",1," 0.013","0.019","1.013","5.02e-01",NA,NA,NA,0.007566099
"BTRC","Brain","BP","Wald ratio",1,"-0.024","0.035","0.977","5.03e-01",NA,NA,NA,0.005839084
"CREB5","Brain","BP","Wald ratio",1,"-0.020","0.030","0.980","5.03e-01",NA,NA,NA,0.006023535
"HDAC4","Brain","BP","MR Egger",3,"-0.060","0.060","0.942","5.03e-01",0.294265022,0.405597448,0.570274593,0.007263882
"LTBR","Brain","BP","Wald ratio",1,"-0.021","0.031","0.980","5.05e-01",NA,NA,NA,0.006133757
"ENSG00000237356","Brain","BP","Wald ratio",1,"-0.017","0.025","0.983","5.07e-01",NA,NA,NA,0.006611738
"MOV10L1","Brain","BP","Wald ratio",1," 0.020","0.030","1.020","5.07e-01",NA,NA,NA,0.006792085
"NOL4L","Brain","BP","Wald ratio",1," 0.024","0.036","1.024","5.09e-01",NA,NA,NA,0.005982606
"CNMD","Brain","BP","Wald ratio",1,"-0.041","0.062","0.960","5.12e-01",NA,NA,NA,0.015273383
"CROCC","Brain","BP","Wald ratio",1," 0.028","0.043","1.029","5.13e-01",NA,NA,NA,0.007780015
"ENSG00000285579","Brain","BP","Wald ratio",1,"-0.013","0.020","0.987","5.16e-01",NA,NA,NA,0.005759616
"LINC02457","Brain","BP","Wald ratio",1,"-0.011","0.017","0.989","5.18e-01",NA,NA,NA,0.005869088
"SLC41A3","Brain","BP","Wald ratio",1,"-0.021","0.033","0.979","5.19e-01",NA,NA,NA,0.00634741
"PDCD6","Brain","BP","Wald ratio",1,"-0.026","0.040","0.975","5.21e-01",NA,NA,NA,0.008795954
"RPS9","Brain","BP","Wald ratio",1," 0.032","0.050","1.033","5.23e-01",NA,NA,NA,0.008063246
"AHNAK","Brain","BP","Wald ratio",1," 0.019","0.030","1.020","5.24e-01",NA,NA,NA,0.007518085
"KIF5C","Brain","BP","Wald ratio",1," 0.039","0.061","1.040","5.26e-01",NA,NA,NA,0.009878277
"PPM1H","Brain","BP","Wald ratio",1," 0.033","0.052","1.034","5.27e-01",NA,NA,NA,0.009990644
"CAMK4","Brain","BP","Wald ratio",1,"-0.014","0.023","0.986","5.27e-01",NA,NA,NA,0.006418654
"ENSG00000226824","Brain","BP","Wald ratio",1," 0.019","0.031","1.020","5.28e-01",NA,NA,NA,0.006233543
"ENSG00000234698","Brain","BP","Wald ratio",1,"-0.022","0.035","0.978","5.29e-01",NA,NA,NA,0.006050137
"PICK1","Brain","BP","Wald ratio",1," 0.008","0.013","1.008","5.29e-01",NA,NA,NA,0.005866625
"FAM21EP","Brain","BP","Wald ratio",1,"-0.013","0.020","0.987","5.30e-01",NA,NA,NA,0.008427731
"CPB2","Brain","BP","Wald ratio",1,"-0.023","0.037","0.977","5.30e-01",NA,NA,NA,0.006343213
"CPEB4","Brain","BP","Wald ratio",1,"-0.022","0.035","0.978","5.30e-01",NA,NA,NA,0.005682698
"DNAJB11","Brain","BP","Wald ratio",1,"-0.024","0.039","0.976","5.32e-01",NA,NA,NA,0.008464615
"SBNO2","Brain","BP","Wald ratio",1," 0.049","0.079","1.050","5.34e-01",NA,NA,NA,0.012425765
"SERINC5","Brain","BP","Wald ratio",1,"-0.020","0.033","0.980","5.35e-01",NA,NA,NA,0.008500763
"BTBD7","Brain","BP","Wald ratio",1,"-0.022","0.036","0.978","5.36e-01",NA,NA,NA,0.007075448
"LPCAT2","Brain","BP","Wald ratio",1," 0.021","0.035","1.022","5.37e-01",NA,NA,NA,0.005643391
"CYP4V2","Brain","BP","Wald ratio",1," 0.021","0.035","1.021","5.42e-01",NA,NA,NA,0.005976653
"ENSG00000230960","Brain","BP","Wald ratio",1,"-0.019","0.032","0.981","5.44e-01",NA,NA,NA,0.006675242
"PSMF1","Brain","BP","Wald ratio",1,"-0.022","0.036","0.979","5.45e-01",NA,NA,NA,0.008135238
"CD6","Brain","BP","Wald ratio",1," 0.016","0.027","1.016","5.47e-01",NA,NA,NA,0.005830699
"CDSN","Brain","BP","Wald ratio",1," 0.030","0.049","1.030","5.47e-01",NA,NA,NA,0.010095809
"ENSG00000285847","Brain","BP","Wald ratio",1,"-0.016","0.027","0.984","5.47e-01",NA,NA,NA,0.005828856
"YTHDF2","Brain","BP","Wald ratio",1," 0.021","0.034","1.021","5.48e-01",NA,NA,NA,0.006710337
"ZNF316","Brain","BP","Wald ratio",1," 0.016","0.027","1.017","5.50e-01",NA,NA,NA,0.006344848
"LINC00672","Brain","BP","Wald ratio",1," 0.021","0.036","1.021","5.51e-01",NA,NA,NA,0.008030277
"PCSK6","Brain","BP","Wald ratio",1,"-0.035","0.059","0.966","5.58e-01",NA,NA,NA,0.010859091
"MYO15A","Brain","BP","Wald ratio",1," 0.020","0.033","1.020","5.59e-01",NA,NA,NA,0.005536657
"EXOC6","Brain","BP","Wald ratio",1,"-0.014","0.024","0.986","5.60e-01",NA,NA,NA,0.005647902
"ZNF775","Brain","BP","Wald ratio",1,"-0.028","0.049","0.972","5.61e-01",NA,NA,NA,0.008251373
"PRKN","Brain","BP","Wald ratio",1,"-0.017","0.029","0.983","5.61e-01",NA,NA,NA,0.008652466
