"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"LZTS2","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.044,0.048,0.957,0.367,NA,NA,NA,4.36e-05
"ILRUN","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.061,0.068,1.063,0.368,NA,NA,NA,0.005391743
"TCP10L","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.018,0.02,1.019,0.369,NA,NA,NA,0.008802313
"PDCD6IP","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.015,0.017,1.016,0.369,NA,NA,NA,0.007919757
"EYA3","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.015,0.017,0.985,0.37,NA,NA,NA,0.007840588
"SMPDL3B","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.036,0.041,1.037,0.37,NA,NA,NA,0.000245062
"C9orf72","Brain Cerebellar Hemisphere","ADHD","Inverse variance weighted",2,-0.02,0.022,0.98,0.37,NA,0.652663052,NA,0.002059318
"PINK1-AS","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.013,0.014,1.013,0.37,NA,NA,NA,0.007105998
"PNPT1","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.027,0.03,1.027,0.37,NA,NA,NA,0.00026431
"IGDCC3","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.02,0.022,0.98,0.371,NA,NA,NA,0.00710203
"RASGRF1","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.031,0.035,0.969,0.371,NA,NA,NA,0.01143814
"DNAJC27-AS1","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.023,0.026,1.024,0.371,NA,NA,NA,0.006851639
"BMP8A","Brain Cerebellar Hemisphere","ADHD","Inverse variance weighted",2,0.014,0.016,1.014,0.371,NA,0.890666064,NA,6.61e-05
"SUMF2","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.022,0.025,1.022,0.371,NA,NA,NA,0.008329157
"CHCHD2","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.057,0.064,0.944,0.371,NA,NA,NA,0.000590411
"CGGBP1","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.049,0.054,1.05,0.372,NA,NA,NA,0.004044135
"LARP6","Brain Cerebellar Hemisphere","ADHD","Inverse variance weighted",2,0.013,0.014,1.013,0.372,NA,0.880215683,NA,4.78e-05
"FAM131B-AS1","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.036,0.04,0.965,0.372,NA,NA,NA,0.000454694
"SMIM18","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.029,0.032,0.971,0.373,NA,NA,NA,0.00119672
