"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"CAPN11","Brain Prefrontal cortex","ED","Wald ratio",1," 0.001","0.026","1.001","9.71e-01",NA,NA,NA,0.008208977
"MCF2L","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.001","0.018","0.999","9.72e-01",NA,NA,NA,0.008403478
"CHAF1A","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.001","0.030","0.999","9.72e-01",NA,NA,NA,0.007033928
"SNPH","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.001","0.020","0.999","9.73e-01",NA,NA,NA,0.007281041
"GFPT2","Brain Prefrontal cortex","ED","Inverse variance weighted",2," 0.000","0.012","1.000","9.82e-01",NA,0.715382184,NA,0.007093129
"ARHGAP32","Brain Prefrontal cortex","ED","Wald ratio",1," 0.001","0.029","1.001","9.83e-01",NA,NA,NA,0.009019491
"FAM43A","Brain Prefrontal cortex","ED","Wald ratio",1,"-0.001","0.034","0.999","9.83e-01",NA,NA,NA,0.006493697
"THAP4","Brain Prefrontal cortex","ED","Wald ratio",1," 0.000","0.021","1.000","9.84e-01",NA,NA,NA,0.009709361
"CAMK1D","Brain Prefrontal cortex","ED","Wald ratio",1," 0.000","0.030","1.000","9.89e-01",NA,NA,NA,0.006692166
"HSF1","Brain Prefrontal cortex","ED","Wald ratio",1," 0.000","0.038","1.000","9.90e-01",NA,NA,NA,0.007959979
"SEC14L5","Brain Prefrontal cortex","ED","Wald ratio",1," 0.000","0.029","1.000","9.94e-01",NA,NA,NA,0.006689804
"SV2B","Brain Prefrontal cortex","ED","Wald ratio",1," 0.000","0.026","1.000","9.94e-01",NA,NA,NA,0.006736429
"KALRN","Brain Prefrontal cortex","ED","Wald ratio",1," 0.000","0.033","1.000","9.94e-01",NA,NA,NA,0.006836731
"RIN2","Brain Prefrontal cortex","ED","Wald ratio",1," 0.000","0.016","1.000","1.00e+00",NA,NA,NA,0.007325759
