Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
ENSG00000259072,Brain Cortex,OCD,Wald ratio,1,-0.037,0.055,0.964,0.502,NA,NA,NA,0.017349493
KLHL29,Brain Cortex,OCD,Wald ratio,1,-0.022,0.033,0.979,0.505,NA,NA,NA,0.014907462
DENND2B,Brain Cortex,OCD,Wald ratio,1,-0.069,0.104,0.933,0.508,NA,NA,NA,0.017993644
HAPSTR1,Brain Cortex,OCD,Wald ratio,1,0.198,0.3,1.219,0.51,NA,NA,NA,0.052450878
LRP1B,Brain Cortex,OCD,Wald ratio,1,-0.101,0.153,0.904,0.511,NA,NA,NA,0.030685125
CYRIA,Brain Cortex,OCD,Wald ratio,1,0.031,0.047,1.031,0.513,NA,NA,NA,0.080359151
PPP4R4,Brain Cortex,OCD,Wald ratio,1,-0.038,0.059,0.962,0.515,NA,NA,NA,0.015866178
SORBS2,Brain Cortex,OCD,Inverse variance weighted,2,0.058,0.089,1.059,0.516,NA,0.892945203,NA,0.031133612
ANKFN1,Brain Cortex,OCD,Wald ratio,1,-0.026,0.041,0.974,0.516,NA,NA,NA,0.018357474
SERPINA5,Brain Cortex,OCD,Wald ratio,1,0.048,0.074,1.049,0.52,NA,NA,NA,0.018455425
CNGB1,Brain Cortex,OCD,Wald ratio,1,-0.141,0.219,0.869,0.521,NA,NA,NA,0.033367056
SLC6A1,Brain Cortex,OCD,Wald ratio,1,-0.064,0.1,0.938,0.524,NA,NA,NA,0.012928314
SH3RF3,Brain Cortex,OCD,Wald ratio,1,0.056,0.089,1.058,0.526,NA,NA,NA,0.025246974
ABTB3,Brain Cortex,OCD,Wald ratio,1,0.02,0.032,1.02,0.526,NA,NA,NA,0.05768248
ANO1,Brain Cortex,OCD,Inverse variance weighted,2,0.046,0.073,1.047,0.53,NA,0.453644907,NA,0.065361495
GALNT9,Brain Cortex,OCD,Wald ratio,1,-0.102,0.163,0.903,0.53,NA,NA,NA,0.033956741
ENSG00000291171,Brain Cortex,OCD,Wald ratio,1,0.25,0.401,1.285,0.532,NA,NA,NA,0.05190584
ENSG00000196566,Brain Cortex,OCD,Wald ratio,1,0.093,0.148,1.097,0.532,NA,NA,NA,0.028462021
RRM2,Brain Cortex,OCD,Wald ratio,1,0.028,0.044,1.028,0.533,NA,NA,NA,0.018069299
CACNG7,Brain Cortex,OCD,Wald ratio,1,-0.067,0.108,0.935,0.534,NA,NA,NA,0.01755214
DCDC2C,Brain Cortex,OCD,Wald ratio,1,-0.039,0.062,0.962,0.535,NA,NA,NA,0.051262566
RAB3IP,Brain Cortex,OCD,Wald ratio,1,-0.071,0.114,0.932,0.536,NA,NA,NA,0.028737621
ZC3H14,Brain Cortex,OCD,Wald ratio,1,0.049,0.079,1.05,0.536,NA,NA,NA,0.016790712
SCARB1,Brain Cortex,OCD,Wald ratio,1,-0.027,0.043,0.974,0.536,NA,NA,NA,0.016167526
CDYL2,Brain Cortex,OCD,Wald ratio,1,-0.042,0.068,0.959,0.538,NA,NA,NA,0.015748336
KLHL26,Brain Cortex,OCD,Wald ratio,1,0.021,0.034,1.021,0.539,NA,NA,NA,0.015397531
LINC02882,Brain Cortex,OCD,Wald ratio,1,0.033,0.054,1.034,0.54,NA,NA,NA,0.01532768
CDH13,Brain Cortex,OCD,Wald ratio,1,-0.04,0.066,0.961,0.542,NA,NA,NA,0.01484172
CNDP2,Brain Cortex,OCD,Wald ratio,1,-0.058,0.096,0.943,0.543,NA,NA,NA,0.017414254
KYAT1,Brain Cortex,OCD,Wald ratio,1,0.059,0.097,1.06,0.545,NA,NA,NA,0.017275696
PGR,Brain Cortex,OCD,Wald ratio,1,0.07,0.116,1.072,0.546,NA,NA,NA,0.022522067
EHD4,Brain Cortex,OCD,Wald ratio,1,0.034,0.056,1.034,0.547,NA,NA,NA,0.015504604
SYNE2,Brain Cortex,OCD,Wald ratio,1,-0.08,0.132,0.923,0.548,NA,NA,NA,0.020176083
SLC7A7,Brain Cortex,OCD,Inverse variance weighted,2,-0.037,0.061,0.964,0.549,NA,0.27231627,NA,0.264816487
CDON,Brain Cortex,OCD,Wald ratio,1,0.115,0.193,1.122,0.551,NA,NA,NA,0.016834584
ENSG00000259124,Brain Cortex,OCD,Wald ratio,1,-0.072,0.121,0.931,0.552,NA,NA,NA,0.02130147
MSANTD4,Brain Cortex,OCD,Wald ratio,1,0.042,0.07,1.043,0.552,NA,NA,NA,0.017108922
SLC35F4,Brain Cortex,OCD,Wald ratio,1,-0.04,0.067,0.961,0.552,NA,NA,NA,0.028753883
GLT8D2,Brain Cortex,OCD,Wald ratio,1,-0.057,0.096,0.945,0.554,NA,NA,NA,0.056652659
DNAJC17,Brain Cortex,OCD,Wald ratio,1,-0.048,0.081,0.953,0.554,NA,NA,NA,0.015579523
SLCO3A1,Brain Cortex,OCD,Wald ratio,1,-0.045,0.077,0.956,0.559,NA,NA,NA,0.015125894
MGAT4C,Brain Cortex,OCD,Wald ratio,1,-0.04,0.068,0.961,0.561,NA,NA,NA,0.02022705
MX2,Brain Cortex,OCD,Wald ratio,1,0.093,0.162,1.098,0.565,NA,NA,NA,0.039361098
ABLIM1,Brain Cortex,OCD,Wald ratio,1,-0.049,0.086,0.952,0.565,NA,NA,NA,0.016704721
SECISBP2,Brain Cortex,OCD,Wald ratio,1,0.091,0.159,1.095,0.567,NA,NA,NA,0.041839606
CECR2,Brain Cortex,OCD,Wald ratio,1,-0.077,0.134,0.926,0.568,NA,NA,NA,0.045195513
ZMIZ1,Brain Cortex,OCD,Wald ratio,1,0.127,0.224,1.136,0.569,NA,NA,NA,0.013607595
DNHD1,Brain Cortex,OCD,Wald ratio,1,0.048,0.086,1.05,0.572,NA,NA,NA,0.015737988
SAMD4A,Brain Cortex,OCD,Wald ratio,1,-0.032,0.057,0.969,0.573,NA,NA,NA,0.01605557
MROH8,Brain Cortex,OCD,Wald ratio,1,0.103,0.184,1.109,0.575,NA,NA,NA,0.04298054
LINC00539,Brain Cortex,OCD,Wald ratio,1,0.019,0.034,1.02,0.575,NA,NA,NA,0.032866681
FBRSL1,Brain Cortex,OCD,Wald ratio,1,0.098,0.174,1.103,0.575,NA,NA,NA,0.05655512
SLFN11,Brain Cortex,OCD,Wald ratio,1,0.038,0.068,1.039,0.575,NA,NA,NA,0.015042376
ENSG00000289541,Brain Cortex,OCD,Wald ratio,1,0.077,0.137,1.08,0.575,NA,NA,NA,0.051783266
ENSG00000259345,Brain Cortex,OCD,Wald ratio,1,-0.085,0.155,0.918,0.581,NA,NA,NA,0.015264914
GULP1,Brain Cortex,OCD,Wald ratio,1,-0.055,0.1,0.946,0.581,NA,NA,NA,0.018047001
LRRC4B,Brain Cortex,OCD,Wald ratio,1,0.045,0.081,1.046,0.582,NA,NA,NA,0.015509205
TACC2,Brain Cortex,OCD,Wald ratio,1,0.051,0.093,1.052,0.582,NA,NA,NA,0.013099023
DPP10,Brain Cortex,OCD,Wald ratio,1,0.049,0.09,1.051,0.584,NA,NA,NA,0.014860625
LINC02641,Brain Cortex,OCD,Wald ratio,1,-0.041,0.075,0.96,0.585,NA,NA,NA,0.021931687
PWWP2B,Brain Cortex,OCD,Wald ratio,1,0.08,0.148,1.084,0.586,NA,NA,NA,0.034886064
USP30,Brain Cortex,OCD,Wald ratio,1,-0.024,0.045,0.976,0.59,NA,NA,NA,0.015844023
CMKLR1,Brain Cortex,OCD,Wald ratio,1,0.035,0.065,1.035,0.594,NA,NA,NA,0.015151089
