"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"KNTC1","Brain","ED","Wald ratio",1," 0.014","0.025","1.014","5.76e-01",NA,NA,NA,0.008885784
"RNF32-DT","Brain","ED","Wald ratio",1," 0.076","0.136","1.079","5.77e-01",NA,NA,NA,0.026872082
"LINC02306","Brain","ED","Wald ratio",1,"-0.028","0.050","0.973","5.77e-01",NA,NA,NA,0.008993887
"COBL","Brain","ED","Wald ratio",1," 0.046","0.084","1.048","5.78e-01",NA,NA,NA,0.013633419
"KIRREL3","Brain","ED","Wald ratio",1," 0.012","0.023","1.013","5.84e-01",NA,NA,NA,0.007759533
"YEATS4","Brain","ED","Wald ratio",1,"-0.018","0.033","0.982","5.86e-01",NA,NA,NA,0.007690665
"AHNAK","Brain","ED","Wald ratio",1,"-0.023","0.043","0.977","5.87e-01",NA,NA,NA,0.009989976
"GRID2","Brain","ED","Wald ratio",1," 0.010","0.018","1.010","5.89e-01",NA,NA,NA,0.007950908
"ELL","Brain","ED","Wald ratio",1,"-0.031","0.057","0.970","5.90e-01",NA,NA,NA,0.010247227
"ATP23","Brain","ED","Wald ratio",1," 0.020","0.037","1.020","5.91e-01",NA,NA,NA,0.008281346
"ENSG00000233569","Brain","ED","Wald ratio",1,"-0.017","0.032","0.983","5.91e-01",NA,NA,NA,0.010682863
"SCARB2","Brain","ED","Wald ratio",1,"-0.037","0.070","0.963","5.92e-01",NA,NA,NA,0.010900983
"ENSG00000285771","Brain","ED","Wald ratio",1," 0.023","0.042","1.023","5.92e-01",NA,NA,NA,0.007989793
"XCR1","Brain","ED","Wald ratio",1," 0.035","0.066","1.036","5.93e-01",NA,NA,NA,0.010721791
"RPL3L","Brain","ED","Wald ratio",1," 0.033","0.062","1.033","5.98e-01",NA,NA,NA,0.009460612
"VLDLR","Brain","ED","Wald ratio",1," 0.014","0.027","1.014","5.99e-01",NA,NA,NA,0.007778743
"ZNF569","Brain","ED","Wald ratio",1," 0.019","0.036","1.019","6.01e-01",NA,NA,NA,0.008551914
"PTPRM","Brain","ED","Wald ratio",1," 0.019","0.037","1.020","6.02e-01",NA,NA,NA,0.007931995
"KIF25","Brain","ED","Wald ratio",1," 0.024","0.046","1.024","6.02e-01",NA,NA,NA,0.013115009
"SEC14L5","Brain","ED","Wald ratio",1,"-0.021","0.039","0.980","6.02e-01",NA,NA,NA,0.007819343
"HDAC4","Brain","ED","MR Egger",3,"-0.069","0.096","0.933","6.04e-01",0.246102058,0.458470629,0.758183817,0.00911066
"KIF6","Brain","ED","Wald ratio",1,"-0.054","0.105","0.947","6.06e-01",NA,NA,NA,0.017144902
"ENSG00000283914","Brain","ED","Wald ratio",1,"-0.013","0.026","0.987","6.07e-01",NA,NA,NA,0.00940201
"TMC2","Brain","ED","Wald ratio",1," 0.010","0.019","1.010","6.09e-01",NA,NA,NA,0.00772333
"DGKI","Brain","ED","Wald ratio",1,"-0.025","0.049","0.975","6.10e-01",NA,NA,NA,0.008054467
