"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"ELMOD1","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.015,0.01,0.985,0.114,NA,NA,NA,9.31e-06
"ZNF16","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.015,0.009,1.015,0.115,NA,NA,NA,5.6e-05
"MICAL3","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.017,0.011,1.017,0.115,NA,NA,NA,0.005403678
"PPP1R14B-AS1","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.018,0.011,0.982,0.115,NA,NA,NA,5.07e-06
"ITGB2","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.005,0.003,1.005,0.115,NA,NA,NA,0.010099187
"DCLK3","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.011,0.007,1.011,0.115,NA,NA,NA,5.69e-06
"CHI3L2","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.015,0.009,0.985,0.115,NA,NA,NA,6.31e-06
"BTG3","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.011,0.007,0.989,0.116,NA,NA,NA,4.87e-06
"GUF1","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.012,0.007,1.012,0.116,NA,NA,NA,0.010096034
"EDEM1","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.015,0.009,1.015,0.116,NA,NA,NA,9.32e-06
"GAP43","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.017,0.011,0.983,0.116,NA,NA,NA,1e-05
"MAT2B","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.015,0.01,0.985,0.116,NA,NA,NA,5.07e-05
"PCDH18","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.016,0.01,0.984,0.116,NA,NA,NA,6.4e-06
"TMEM163","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.011,0.007,1.011,0.117,NA,NA,NA,5.38e-06
"HERC5","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.012,0.008,0.988,0.117,NA,NA,NA,3.03e-05
"MHENCR","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.018,0.011,1.018,0.117,NA,NA,NA,2.01e-05
"CKS1B","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.015,0.01,1.015,0.117,NA,NA,NA,1.09e-05
"TPRA1","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.011,0.007,1.011,0.117,NA,NA,NA,1.61e-05
"TMEM54","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.02,0.012,0.981,0.117,NA,NA,NA,1.17e-05
"UBR4","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.014,0.009,0.986,0.118,NA,NA,NA,0.01937904
"FKBP14","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.018,0.012,1.019,0.118,NA,NA,NA,5.33e-06
"DNM1L","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.014,0.009,0.986,0.119,NA,NA,NA,6.58e-05
"PTPRE","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.015,0.01,1.015,0.119,NA,NA,NA,2.87e-05
"LINC02634","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.024,0.015,1.024,0.119,NA,NA,NA,7.14e-06
"SH3BGR","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.009,0.005,0.992,0.12,NA,NA,NA,0.007481489
"SLC47A1","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.012,0.008,0.988,0.12,NA,NA,NA,4.48e-06
"HS2ST1","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.017,0.011,1.017,0.12,NA,NA,NA,1.96e-05
"EPS15","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.014,0.009,1.014,0.12,NA,NA,NA,8.9e-06
"CPNE8","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.013,0.009,1.013,0.121,NA,NA,NA,5.83e-06
"ACTA2","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.016,0.01,1.016,0.121,NA,NA,NA,1.17e-05
"C19orf53","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.011,0.007,1.011,0.121,NA,NA,NA,0.007503877
"GALNT10","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.016,0.01,1.016,0.122,NA,NA,NA,1.4e-05
"DYNLT1","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.014,0.009,1.014,0.122,NA,NA,NA,1.43e-05
"CHMP1A","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.016,0.01,1.016,0.122,NA,NA,NA,1.23e-05
"SF3A3","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.013,0.009,0.987,0.122,NA,NA,NA,0.000131443
"TMEM109","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.01,0.006,1.01,0.122,NA,NA,NA,0.005263306
"YIF1B","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.013,0.009,1.013,0.123,NA,NA,NA,1.22e-05
"ACTN4","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.019,0.012,1.019,0.123,NA,NA,NA,1.29e-05
"HEY2","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.01,0.006,0.99,0.123,NA,NA,NA,2.94e-06
"SYNE1","Brain Putamen basal ganglia","DEP","Wald ratio",1,0.019,0.013,1.02,0.123,NA,NA,NA,0.005229407
"ALG5","Brain Putamen basal ganglia","DEP","Wald ratio",1,-0.013,0.009,0.987,0.123,NA,NA,NA,1.16e-05
