"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"SLC38A10","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.019","0.041","0.982","6.48e-01",NA,NA,NA,0.008715287
"FAM120B","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.011","0.024","0.989","6.52e-01",NA,NA,NA,0.008477553
"MS4A15","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.014","0.031","1.014","6.52e-01",NA,NA,NA,0.008161643
"CCNY","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.010","0.022","1.010","6.53e-01",NA,NA,NA,0.008742433
"SETBP1","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.013","0.029","1.013","6.53e-01",NA,NA,NA,0.001452995
"RPTOR","Brain Prefrontal cortex","PTSD","Inverse variance weighted",3," 0.009","0.019","1.009","6.53e-01",0.853767845,0.547331496,0.474843907,0.007475632
"WDR62","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.014","0.030","0.987","6.56e-01",NA,NA,NA,0.00808063
"RPH3AL","Brain Prefrontal cortex","PTSD","MR Egger",4," 0.092","0.178","1.096","6.58e-01",0.011938732,0.013985381,0.592688638,0.085228893
"CNTN1","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.007","0.016","0.993","6.59e-01",NA,NA,NA,0.009242412
"SBF2","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.013","0.029","0.987","6.64e-01",NA,NA,NA,0.008709015
"PRKAG2","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.014","0.033","1.014","6.66e-01",NA,NA,NA,0.006973361
"E2F7","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.010","0.022","1.010","6.69e-01",NA,NA,NA,0.008603545
"PDE1B","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.017","0.039","0.984","6.72e-01",NA,NA,NA,0.008799095
"SMYD3","Brain Prefrontal cortex","PTSD","MR Egger",4," 0.090","0.186","1.095","6.75e-01",0.961235857,0.96206462,0.691720977,0.002518047
"HSPA12A","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.012","0.030","1.013","6.77e-01",NA,NA,NA,0.010428781
"HPR","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.012","0.030","0.988","6.79e-01",NA,NA,NA,0.009946381
"MMP11","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.014","0.034","0.986","6.79e-01",NA,NA,NA,0.00779729
"POLR3K","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.012","0.028","0.988","6.81e-01",NA,NA,NA,0.01001184
"UBAC2","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.011","0.027","0.989","6.82e-01",NA,NA,NA,0.008350803
"SLC2A9","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.007","0.018","1.007","6.84e-01",NA,NA,NA,0.013177007
"THSD4","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.013","0.033","0.987","6.85e-01",NA,NA,NA,0.008844688
"SMYD3","Brain Prefrontal cortex","PTSD","Inverse variance weighted",4," 0.005","0.013","1.005","6.85e-01",0.961235857,0.96206462,0.691720977,0.002518047
"CEP104","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.015","0.037","1.015","6.89e-01",NA,NA,NA,0.008704214
"FAM174B","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.010","0.024","0.990","6.89e-01",NA,NA,NA,0.014215773
"NADSYN1","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.010","0.026","0.990","6.95e-01",NA,NA,NA,0.009109775
"KALRN","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.014","0.035","1.014","6.97e-01",NA,NA,NA,0.007947758
"CSMD2","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.016","0.040","1.016","6.99e-01",NA,NA,NA,0.008274446
"ADARB2","Brain Prefrontal cortex","PTSD","Inverse variance weighted",5," 0.004","0.011","1.004","7.00e-01",0.857302684,0.839719402,0.476491534,0.008456071
"CTNNA2","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.012","0.031","0.988","7.00e-01",NA,NA,NA,0.011423408
"BRD3","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.011","0.029","1.011","7.03e-01",NA,NA,NA,0.009177441
"NWD2","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.011","0.028","1.011","7.03e-01",NA,NA,NA,0.007817165
"KDM5B","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.017","0.045","0.983","7.03e-01",NA,NA,NA,0.008464054
"HEATR4","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.008","0.021","0.992","7.04e-01",NA,NA,NA,0.007971689
"CARMIL1","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.013","0.033","1.013","7.04e-01",NA,NA,NA,0.009570278
"DCC","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.008","0.022","0.992","7.10e-01",NA,NA,NA,0.008831805
"KIF26B","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.009","0.023","0.991","7.11e-01",NA,NA,NA,0.011922438
