"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"ZCCHC14","Brain Caudate basal ganglia","BP","Inverse variance weighted",2,-0.046,0.028,0.955,0.107,NA,0.65584183,NA,0.000958272
"FAM149A","Brain Caudate basal ganglia","BP","Inverse variance weighted",2,0.023,0.015,1.024,0.107,NA,0.308186672,NA,0.006962168
"OSGEPL1","Brain Caudate basal ganglia","BP","Wald ratio",1,0.044,0.027,1.045,0.107,NA,NA,NA,2.29e-05
"SNX4","Brain Caudate basal ganglia","BP","Wald ratio",1,0.062,0.038,1.064,0.107,NA,NA,NA,0.028054043
"UCHL3","Brain Caudate basal ganglia","BP","Weighted median",3,-0.046,0.028,0.955,0.107,0.935324816,0.910491943,0.743951615,0.008555562
"RCBTB1","Brain Caudate basal ganglia","BP","Wald ratio",1,0.072,0.045,1.074,0.108,NA,NA,NA,0.042077675
"NIPBL","Brain Caudate basal ganglia","BP","Wald ratio",1,0.075,0.047,1.078,0.108,NA,NA,NA,0.01076053
"ATP5PO","Brain Caudate basal ganglia","BP","Inverse variance weighted",2,0.083,0.051,1.086,0.108,NA,0.112029988,NA,0.008913656
"CARD19","Brain Caudate basal ganglia","BP","Wald ratio",1,0.095,0.059,1.099,0.108,NA,NA,NA,0.010977615
"ABHD17B","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.099,0.062,0.906,0.108,NA,NA,NA,0.001022561
"CLDN4","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.029,0.018,0.971,0.109,NA,NA,NA,0.018730928
"METTL27","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.017,0.01,0.983,0.109,NA,NA,NA,0.018737474
"ALDH7A1","Brain Caudate basal ganglia","BP","Inverse variance weighted",2,0.065,0.041,1.067,0.109,NA,0.236144331,NA,0.126112365
"NRIP1","Brain Caudate basal ganglia","BP","Wald ratio",1,0.063,0.04,1.065,0.109,NA,NA,NA,0.008691526
"CASP7","Brain Caudate basal ganglia","BP","Inverse variance weighted",2,-0.032,0.02,0.968,0.109,NA,0.983778219,NA,0.011500984
"TMEM245","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.079,0.05,0.924,0.11,NA,NA,NA,0.018042627
"IFI27L2","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.062,0.039,0.94,0.11,NA,NA,NA,0.02044081
"RNF182","Brain Caudate basal ganglia","BP","Wald ratio",1,0.045,0.028,1.047,0.11,NA,NA,NA,0.016373812
"MAPT-AS1","Brain Caudate basal ganglia","BP","Simple mode",3,0.066,0.024,1.069,0.11,0.17333706,0.375425731,0.850885813,0.026711247
"ACTR3B","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.16,0.1,0.852,0.11,NA,NA,NA,0.006278185
"CTNNA2","Brain Caudate basal ganglia","BP","Wald ratio",1,0.036,0.022,1.036,0.11,NA,NA,NA,0.003649866
"RRN3P1","Brain Caudate basal ganglia","BP","Wald ratio",1,0.06,0.038,1.062,0.111,NA,NA,NA,0.000622573
"CPNE1","Brain Caudate basal ganglia","BP","Wald ratio",1,0.023,0.014,1.023,0.111,NA,NA,NA,0.026282444
"ERGIC3","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.08,0.05,0.923,0.111,NA,NA,NA,0.001524203
"RPL36P4","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.03,0.019,0.971,0.111,NA,NA,NA,0.016646292
"CAVIN3","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.036,0.023,0.965,0.111,NA,NA,NA,0.025448801
"NKAIN4","Brain Caudate basal ganglia","BP","Wald ratio",1,0.042,0.026,1.043,0.111,NA,NA,NA,0.029033357
"MC1R","Brain Caudate basal ganglia","BP","Wald ratio",1,0.09,0.056,1.094,0.112,NA,NA,NA,0.001449078
"ARSJ","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.059,0.037,0.942,0.112,NA,NA,NA,0.004653688
"OSBPL3","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.051,0.032,0.95,0.112,NA,NA,NA,0.000287493
"IVD","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.05,0.031,0.952,0.113,NA,NA,NA,0.022025678
"KNSTRN","Brain Caudate basal ganglia","BP","Wald ratio",1,0.015,0.01,1.015,0.113,NA,NA,NA,0.023823238
"TBL1XR1","Brain Caudate basal ganglia","BP","Wald ratio",1,0.059,0.037,1.061,0.113,NA,NA,NA,0.002251012
"KLHL1","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.041,0.026,0.96,0.114,NA,NA,NA,0.008492949
"CAPS2","Brain Caudate basal ganglia","BP","Wald ratio",1,0.068,0.043,1.07,0.114,NA,NA,NA,0.006360594
"UMPS","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.052,0.033,0.949,0.114,NA,NA,NA,0.000773263
"ZNF470-DT","Brain Caudate basal ganglia","BP","Wald ratio",1,0.022,0.014,1.022,0.114,NA,NA,NA,0.021018612
"GSTT3P","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.018,0.011,0.982,0.116,NA,NA,NA,0.016214049
"MIF-AS1","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.016,0.01,0.984,0.116,NA,NA,NA,0.016214049
"GSTT2","Brain Caudate basal ganglia","BP","Wald ratio",1,0.022,0.014,1.023,0.116,NA,NA,NA,0.016212383
"MIF","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.047,0.03,0.954,0.116,NA,NA,NA,0.003467807
"DDT","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.066,0.042,0.936,0.116,NA,NA,NA,0.003255568
"GSTT2B","Brain Caudate basal ganglia","BP","Wald ratio",1,0.016,0.01,1.016,0.116,NA,NA,NA,0.016214049
"RPP14","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.052,0.033,0.949,0.116,NA,NA,NA,0.014217244
"DHRS4L2","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.046,0.029,0.955,0.116,NA,NA,NA,0.03829886
"CSGALNACT2","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.02,0.013,0.98,0.118,NA,NA,NA,0.020505494
"ZFAND1","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.055,0.035,0.947,0.118,NA,NA,NA,0.015214067
"DUS3L","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.03,0.019,0.971,0.118,NA,NA,NA,0.019956481
"CCDC162P","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.067,0.043,0.935,0.118,NA,NA,NA,0.003391639
"UBE3D","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.029,0.019,0.971,0.119,NA,NA,NA,0.022515409
"TRAPPC12-AS1","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.05,0.032,0.951,0.12,NA,NA,NA,0.009487497
"ANAPC1P2","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.018,0.011,0.983,0.12,NA,NA,NA,0.016542589
"KSR1","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.064,0.042,0.938,0.12,NA,NA,NA,0.001061849
"LY6K","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.032,0.021,0.969,0.12,NA,NA,NA,0.012840485
"LNCOC1","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.023,0.015,0.978,0.12,NA,NA,NA,0.015408892
"THEM6","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.034,0.022,0.967,0.12,NA,NA,NA,0.015408892
"MICA","Brain Caudate basal ganglia","BP","Wald ratio",1,0.021,0.013,1.021,0.121,NA,NA,NA,0.017420451
"NIPSNAP1","Brain Caudate basal ganglia","BP","Wald ratio",1,0.078,0.05,1.081,0.121,NA,NA,NA,0.015125214
"SND1","Brain Caudate basal ganglia","BP","Wald ratio",1,0.055,0.036,1.057,0.122,NA,NA,NA,0.014343898
"LINC01168","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.028,0.018,0.972,0.122,NA,NA,NA,0.015427727
"HMGXB3","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.069,0.045,0.933,0.122,NA,NA,NA,0.009911778
"DAP3","Brain Caudate basal ganglia","BP","Wald ratio",1,0.061,0.04,1.063,0.124,NA,NA,NA,0.011063519
"GPR135","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.065,0.042,0.937,0.124,NA,NA,NA,0.000655926
"RIT2","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.087,0.057,0.917,0.125,NA,NA,NA,0.018081139
"MICU3","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.095,0.062,0.909,0.125,NA,NA,NA,0.006343162
"COL11A2","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.074,0.048,0.928,0.125,NA,NA,NA,0.007523642
"GAS1RR","Brain Caudate basal ganglia","BP","Inverse variance weighted",2,0.023,0.015,1.023,0.125,NA,0.997555278,NA,0.002406158
"RPS8","Brain Caudate basal ganglia","BP","Wald ratio",1,0.089,0.058,1.093,0.125,NA,NA,NA,0.003566921
"ZNF18","Brain Caudate basal ganglia","BP","Wald ratio",1,0.046,0.03,1.047,0.125,NA,NA,NA,0.019811046
"OR2T8","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.032,0.021,0.969,0.126,NA,NA,NA,0.017105712
"SNAP47","Brain Caudate basal ganglia","BP","Wald ratio",1,0.077,0.05,1.08,0.126,NA,NA,NA,0.015160336
"MAPK12","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.048,0.031,0.953,0.126,NA,NA,NA,0.010746715
"NDUFS8","Brain Caudate basal ganglia","BP","Wald ratio",1,0.07,0.046,1.073,0.126,NA,NA,NA,0.019567191
"KCTD1","Brain Caudate basal ganglia","BP","Wald ratio",1,0.152,0.1,1.164,0.127,NA,NA,NA,0.014076169
"SNORD89","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.019,0.013,0.981,0.128,NA,NA,NA,0.01468064
"RNF149","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.04,0.027,0.96,0.128,NA,NA,NA,0.014680712
"UTRN","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.044,0.029,0.957,0.128,NA,NA,NA,0.008366308
"TSPAN14","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.051,0.033,0.95,0.128,NA,NA,NA,0.013445224
"KCNK3","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.049,0.032,0.952,0.128,NA,NA,NA,0.008044673
"FAM86JP","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.013,0.009,0.987,0.129,NA,NA,NA,0.020497482
"PEBP4","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.037,0.025,0.963,0.129,NA,NA,NA,0.018502245
"HERPUD2-AS1","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.023,0.015,0.977,0.13,NA,NA,NA,0.014410268
"SCRN2","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.043,0.028,0.958,0.131,NA,NA,NA,0.019682795
"RIF1","Brain Caudate basal ganglia","BP","Wald ratio",1,0.04,0.027,1.041,0.131,NA,NA,NA,0.014752255
"CCDC74B","Brain Caudate basal ganglia","BP","Wald ratio",1,0.072,0.048,1.074,0.131,NA,NA,NA,0.000231466
"ZSCAN29","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.068,0.045,0.934,0.131,NA,NA,NA,7.43e-05
"IL25","Brain Caudate basal ganglia","BP","Wald ratio",1,0.04,0.026,1.041,0.132,NA,NA,NA,0.000976955
"SNHG1","Brain Caudate basal ganglia","BP","Wald ratio",1,0.056,0.037,1.057,0.132,NA,NA,NA,0.027689709
"STX7","Brain Caudate basal ganglia","BP","Wald ratio",1,0.08,0.053,1.084,0.132,NA,NA,NA,0.000335028
"FECH","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.044,0.029,0.957,0.132,NA,NA,NA,0.000311132
"NOC3L","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.043,0.029,0.958,0.135,NA,NA,NA,0.01856381
"GPIHBP1","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.035,0.023,0.966,0.135,NA,NA,NA,0.014551286
"FLCN","Brain Caudate basal ganglia","BP","Wald ratio",1,0.032,0.021,1.033,0.136,NA,NA,NA,0.014002731
"THSD4","Brain Caudate basal ganglia","BP","Wald ratio",1,-0.047,0.031,0.954,0.136,NA,NA,NA,0.00712275
