Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
RPR1A,BannerBBDP,ASD,Inverse variance weighted,2,22.92,8.804,8999772000,0.00923,NA,0.336610363,NA,2.87E-06
SRS12,BannerBBDP,ASD,Wald ratio,1,-1.078,0.415,0.34,0.00946,NA,NA,NA,7.23E-07
PDIA6,BannerBBDP,ASD,Inverse variance weighted,3,1.58,0.617,4.856,0.0104,0.696001324,0.411641122,0.423711017,5.21E-08
SNX5,BannerBBDP,ASD,Inverse variance weighted,4,2.333,0.913,10.313,0.0106,0.216140537,0.381760506,0.981728794,0.000321245
MCLN1,BannerBBDP,ASD,Inverse variance weighted,4,0.757,0.296,2.131,0.0107,0.824974973,0.912924465,0.742373746,2.58E-07
GPC5B,BannerBBDP,ASD,Inverse variance weighted,2,1.043,0.409,2.837,0.0107,NA,0.456330479,NA,1.06E-06
SPF45,BannerBBDP,ASD,Simple mode,7,4.958,1.361,142.369,0.0108,0.171019217,0.091716611,0.213037151,3.65E-07
ECHD1,BannerBBDP,ASD,Wald ratio,1,-2.352,0.928,0.095,0.0113,NA,NA,NA,3.03E-07
RN146,BannerBBDP,ASD,Wald ratio,1,-15.873,6.263,0,0.0113,NA,NA,NA,9.82E-08
MET16,BannerBBDP,ASD,Inverse variance weighted,2,0.788,0.312,2.198,0.0115,NA,0.108416166,NA,1.20E-07
AP4E1,BannerBBDP,ASD,Wald ratio,1,-1.797,0.713,0.166,0.0117,NA,NA,NA,0.000225277
TP8L3,BannerBBDP,ASD,Wald ratio,1,-1.763,0.699,0.171,0.0117,NA,NA,NA,7.81E-08
RB27B,BannerBBDP,ASD,Inverse variance weighted,3,0.333,0.132,1.395,0.0118,0.987423838,0.854118751,0.674355791,0.071325429
DCE2,BannerBBDP,ASD,Inverse variance weighted,2,-2.114,0.84,0.121,0.0118,NA,0.31706724,NA,0.000107759
AKA7G,BannerBBDP,ASD,Inverse variance weighted,2,-1.037,0.414,0.354,0.0122,NA,0.923741589,NA,8.28E-05
PUR1,BannerBBDP,ASD,Inverse variance weighted,2,-2.422,0.97,0.089,0.0125,NA,0.408078265,NA,5.63E-08
SHC3,BannerBBDP,ASD,Inverse variance weighted,3,2.364,0.948,10.632,0.0127,0.582788846,0.501179757,0.487778855,1.14E-05
STT3B,BannerBBDP,ASD,Inverse variance weighted,2,3.604,1.447,36.744,0.0128,NA,0.630761138,NA,9.72E-08
KAPCB,BannerBBDP,ASD,Inverse variance weighted,2,2.583,1.04,13.238,0.013,NA,0.743128039,NA,5.67E-06
PRP39,BannerBBDP,ASD,Wald ratio,1,1.155,0.467,3.175,0.0134,NA,NA,NA,3.13E-07
FKBP3,BannerBBDP,ASD,Wald ratio,1,12.194,4.931,197597.8,0.0134,NA,NA,NA,1.13E-06
PEX19,BannerBBDP,ASD,Inverse variance weighted,2,1.948,0.789,7.011,0.0135,NA,0.827849007,NA,8.22E-07
SDHA,BannerBBDP,ASD,Inverse variance weighted,2,3.469,1.412,32.108,0.014,NA,0.517048746,NA,1.51E-06
SND1,BannerBBDP,ASD,Inverse variance weighted,2,2.499,1.018,12.174,0.014,NA,0.802182386,NA,0.000762447
ERCC3,BannerBBDP,ASD,Wald ratio,1,-3.753,1.529,0.023,0.0141,NA,NA,NA,1.28E-06
VTI1B,BannerBBDP,ASD,Inverse variance weighted,2,3.484,1.423,32.586,0.0144,NA,0.899581205,NA,4.96E-08
EXOSX,BannerBBDP,ASD,Wald ratio,1,7.966,3.26,2881.381,0.0145,NA,NA,NA,1.30E-07
MTOR,BannerBBDP,ASD,Wald ratio,1,4.329,1.772,75.857,0.0145,NA,NA,NA,3.19E-08
SPEE,BannerBBDP,ASD,Wald ratio,1,-8.426,3.448,0,0.0145,NA,NA,NA,1.16E-07
SAT2,BannerBBDP,ASD,Inverse variance weighted,3,-0.189,0.077,0.828,0.0146,0.33150782,0.487548193,0.610063951,0.177422839
5MP1,BannerBBDP,ASD,Inverse variance weighted,8,-2.069,0.848,0.126,0.0147,0.953148598,0.976244247,0.802894309,3.61E-08
MTMRA,BannerBBDP,ASD,Inverse variance weighted,3,1.402,0.575,4.063,0.0147,0.98194219,0.642599649,0.519619287,3.17E-07
DNJB6,BannerBBDP,ASD,Inverse variance weighted,5,-1.458,0.598,0.233,0.0148,0.803127926,0.765872831,0.426043408,1.68E-07
2ABD,BannerBBDP,ASD,Inverse variance weighted,3,-2.531,1.039,0.08,0.0149,0.646505283,0.894941832,0.93152649,1.20E-05
CCD32,BannerBBDP,ASD,Wald ratio,1,2.588,1.063,13.299,0.015,NA,NA,NA,6.15E-06
IF4A1,BannerBBDP,ASD,Inverse variance weighted,2,4.66,1.922,105.638,0.0153,NA,0.302809766,NA,1.80E-06
AGRB1,BannerBBDP,ASD,Inverse variance weighted,4,2.877,1.187,17.761,0.0154,0.419753145,0.495283843,0.503313802,1.41E-07
ESS2,BannerBBDP,ASD,Inverse variance weighted,6,-0.9,0.374,0.406,0.016,0.856407064,0.924144424,0.801221031,3.07E-06
IFT74,BannerBBDP,ASD,Inverse variance weighted,2,-0.382,0.159,0.682,0.016,NA,0.455962183,NA,3.74E-07
PELP1,BannerBBDP,ASD,Inverse variance weighted,5,-2.498,1.04,0.082,0.0163,0.23788016,0.323707364,0.617398094,1.13E-05
MTX3,BannerBBDP,ASD,Inverse variance weighted,3,0.893,0.372,2.443,0.0163,0.215599617,0.220145504,0.504197077,5.54E-08
XPR1,BannerBBDP,ASD,Inverse variance weighted,4,0.657,0.275,1.93,0.0167,0.796842387,0.778969605,0.508231512,1.01E-07
NUCKS,BannerBBDP,ASD,Inverse variance weighted,2,-1.885,0.788,0.152,0.0168,NA,0.581677192,NA,3.63E-07
KBL,BannerBBDP,ASD,Wald ratio,1,-0.12,0.05,0.887,0.0169,NA,NA,NA,0.106002273
TARA,BannerBBDP,ASD,Wald ratio,1,3.507,1.468,33.355,0.0169,NA,NA,NA,7.83E-08
ANR54,BannerBBDP,ASD,Wald ratio,1,2.513,1.052,12.345,0.0169,NA,NA,NA,1.10E-06
H10,BannerBBDP,ASD,Wald ratio,1,-1.26,0.527,0.284,0.0169,NA,NA,NA,0.000322561
EIF3L,BannerBBDP,ASD,Wald ratio,1,-26.187,10.963,0,0.0169,NA,NA,NA,2.56E-07
EPHA4,BannerBBDP,ASD,Inverse variance weighted,4,2.406,1.01,11.086,0.0173,0.742713023,0.565252833,0.353039063,2.37E-05
CUL3,BannerBBDP,ASD,Inverse variance weighted,3,3.549,1.492,34.793,0.0173,0.224314257,0.41873947,0.745128571,2.35E-07
PABP1,BannerBBDP,ASD,Inverse variance weighted,3,2.199,0.924,9.014,0.0174,0.489731997,0.658536604,0.656600958,3.45E-08
EGLN1,BannerBBDP,ASD,Wald ratio,1,5.917,2.491,371.169,0.0176,NA,NA,NA,0.000183881
EXOC8,BannerBBDP,ASD,Wald ratio,1,2.78,1.17,16.112,0.0176,NA,NA,NA,6.22E-06
VP26A,BannerBBDP,ASD,Inverse variance weighted,3,-4.487,1.891,0.011,0.0177,0.974860053,0.822168503,0.644383998,1.17E-07
CF120,BannerBBDP,ASD,Inverse variance weighted,3,-0.605,0.255,0.546,0.0177,0.695987026,0.310756561,0.378665563,3.36E-07
NDUF6,BannerBBDP,ASD,Inverse variance weighted,2,2.105,0.891,8.207,0.0182,NA,0.564939024,NA,1.96E-05
MFAP1,BannerBBDP,ASD,Wald ratio,1,1.151,0.491,3.163,0.0189,NA,NA,NA,6.79E-08
KCRU,BannerBBDP,ASD,Wald ratio,1,1.927,0.821,6.868,0.0189,NA,NA,NA,5.43E-08
HYPK,BannerBBDP,ASD,Wald ratio,1,-1.447,0.617,0.235,0.0189,NA,NA,NA,9.53E-08
PDIA3,BannerBBDP,ASD,Wald ratio,1,-14.506,6.18,0,0.0189,NA,NA,NA,0.004082207
ELL3,BannerBBDP,ASD,Wald ratio,1,3.301,1.406,27.136,0.0189,NA,NA,NA,2.53E-07
PROF2,BannerBBDP,ASD,Inverse variance weighted,3,-0.86,0.366,0.423,0.0189,0.944041737,0.969202072,0.850000333,6.57E-06
SYNJ2,BannerBBDP,ASD,Inverse variance weighted,3,-0.686,0.293,0.503,0.0191,0.240159501,0.490685099,0.887186411,2.68E-05
ABTB3,BannerBBDP,ASD,Inverse variance weighted,5,0.841,0.359,2.319,0.0191,0.14852429,0.246046644,0.837528223,6.25E-07
SF3A1,BannerBBDP,ASD,Wald ratio,1,8.313,3.548,4074.803,0.0191,NA,NA,NA,3.36E-08
CKAP4,BannerBBDP,ASD,Inverse variance weighted,3,-0.94,0.402,0.391,0.0195,0.833542081,0.944604241,0.835551962,7.42E-07
GLRX1,BannerBBDP,ASD,Inverse variance weighted,4,0.853,0.366,2.346,0.0198,0.684222304,0.666886407,0.463555085,4.20E-08
PLPL9,BannerBBDP,ASD,Wald ratio,1,3.553,1.527,34.921,0.02,NA,NA,NA,2.87E-07
PICK1,BannerBBDP,ASD,Wald ratio,1,6.025,2.59,413.775,0.02,NA,NA,NA,1.36E-06
RIMB2,BannerBBDP,ASD,Inverse variance weighted,10,1.523,0.655,4.587,0.0201,0.887098068,0.932702834,0.967453714,4.67E-07
AFF4,BannerBBDP,ASD,Wald ratio,1,-625.399,270.035,0,0.0206,NA,NA,NA,9.69E-08
HSP74,BannerBBDP,ASD,Wald ratio,1,-3.837,1.657,0.022,0.0206,NA,NA,NA,1.02E-06
BCAR1,BannerBBDP,ASD,Wald ratio,1,-2.005,0.868,0.135,0.0209,NA,NA,NA,6.64E-08
IF122,BannerBBDP,ASD,Wald ratio,1,-1.968,0.853,0.14,0.021,NA,NA,NA,1.80E-07
TAB1,BannerBBDP,ASD,Wald ratio,1,1.683,0.73,5.381,0.0211,NA,NA,NA,3.88E-08
RN141,BannerBBDP,ASD,Inverse variance weighted,2,-0.569,0.248,0.566,0.0216,NA,0.406607659,NA,0.112748642
MYADM,BannerBBDP,ASD,Inverse variance weighted,4,1.365,0.595,3.917,0.0218,0.962478888,0.450110899,0.250354653,9.13E-08
AT2L2,BannerBBDP,ASD,Simple mode,6,-0.807,0.246,0.446,0.0219,0.581424036,0.720101251,0.92935541,1.90E-07
CSMD2,BannerBBDP,ASD,MR Egger,11,2.279,0.826,9.764,0.0221,0.89588275,0.126008903,0.009112955,1.44E-07
SNUT1,BannerBBDP,ASD,Wald ratio,1,-8.088,3.535,0,0.0221,NA,NA,NA,5.59E-07
UBP31,BannerBBDP,ASD,Inverse variance weighted,2,-1.342,0.588,0.261,0.0225,NA,0.322393376,NA,6.01E-07
RM18,BannerBBDP,ASD,Inverse variance weighted,3,1.947,0.853,7.006,0.0225,0.899613931,0.824894904,0.652448103,2.54E-07
GBRA5,BannerBBDP,ASD,Inverse variance weighted,6,-0.568,0.249,0.567,0.0225,0.753745754,0.742749606,0.416434239,3.03E-07
TSN33,BannerBBDP,ASD,Inverse variance weighted,3,-0.65,0.285,0.522,0.0227,0.839436436,0.634301681,0.522254319,1.68E-07
S17A5,BannerBBDP,ASD,Inverse variance weighted,2,-0.472,0.208,0.623,0.0228,NA,0.489771449,NA,8.09E-07
PGTB1,BannerBBDP,ASD,Inverse variance weighted,3,-1.519,0.668,0.219,0.0231,0.994457683,0.420357924,0.413548015,2.79E-05
NUD19,BannerBBDP,ASD,Wald ratio,1,-0.239,0.105,0.787,0.0233,NA,NA,NA,2.36E-07
FBLN3,BannerBBDP,ASD,Inverse variance weighted,2,0.357,0.157,1.429,0.0234,NA,0.352077345,NA,1.63E-06
F136A,BannerBBDP,ASD,Inverse variance weighted,2,1.424,0.629,4.153,0.0235,NA,0.555715946,NA,2.75E-07
SPTB2,BannerBBDP,ASD,Inverse variance weighted,2,11.577,5.125,106637,0.0239,NA,0.823736618,NA,1.44E-07
PAPS2,BannerBBDP,ASD,Inverse variance weighted,4,0.66,0.292,1.935,0.024,0.732884076,0.773382148,0.555028779,2.60E-07
PSB4,BannerBBDP,ASD,Inverse variance weighted,2,-0.398,0.177,0.671,0.0243,NA,0.717616609,NA,0.105313403
