"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"HIVEP3","Brain Prefrontal cortex","BP","Wald ratio",1," 0.055","0.029","1.057","5.71e-02",NA,NA,NA,0.032360027
"CHRM5","Brain Prefrontal cortex","BP","Wald ratio",1," 0.024","0.013","1.024","5.79e-02",NA,NA,NA,0.028321787
"ACYP2","Brain Prefrontal cortex","BP","Wald ratio",1," 0.030","0.016","1.031","5.83e-02",NA,NA,NA,0.027307958
"CAB39L","Brain Prefrontal cortex","BP","Wald ratio",1," 0.042","0.023","1.043","6.14e-02",NA,NA,NA,0.025933775
"RIMS2","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.046","0.025","0.955","6.26e-02",NA,NA,NA,0.033342715
"ZNF827","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.028","0.015","0.972","6.37e-02",NA,NA,NA,0.027762379
"CCDC77","Brain Prefrontal cortex","BP","Wald ratio",1," 0.016","0.009","1.016","6.54e-02",NA,NA,NA,0.025149626
"BRD3","Brain Prefrontal cortex","BP","Wald ratio",1," 0.035","0.019","1.035","6.56e-02",NA,NA,NA,0.029634734
"EEF2K","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.034","0.018","0.967","6.64e-02",NA,NA,NA,0.030114608
"PDE2A","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.031","0.017","0.969","6.73e-02",NA,NA,NA,0.024347179
"PLEKHG7","Brain Prefrontal cortex","BP","Wald ratio",1," 0.046","0.025","1.047","6.73e-02",NA,NA,NA,0.024327739
"PIP5K1C","Brain Prefrontal cortex","BP","Wald ratio",1," 0.028","0.015","1.028","6.82e-02",NA,NA,NA,0.047544964
"ST7L","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.028","0.015","0.972","6.92e-02",NA,NA,NA,0.028911377
"PDIA5","Brain Prefrontal cortex","BP","Wald ratio",1," 0.021","0.012","1.021","7.27e-02",NA,NA,NA,0.02825303
"MS4A15","Brain Prefrontal cortex","BP","Wald ratio",1," 0.036","0.020","1.037","7.48e-02",NA,NA,NA,0.023399671
"NRXN1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.050","0.028","1.052","7.60e-02",NA,NA,NA,0.021854952
