"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"ZFP37","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.007","0.024","1.007","7.75e-01",NA,NA,NA,0.009700794
"CEP72","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.009","0.032","0.991","7.84e-01",NA,NA,NA,0.00654152
"C19orf12","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.012","0.044","1.012","7.85e-01",NA,NA,NA,0.008810989
"S100A16","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.007","0.027","1.007","7.85e-01",NA,NA,NA,0.007699971
"PPP1R14C","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.005","0.018","1.005","7.86e-01",NA,NA,NA,0.008305292
"RPH3AL","Brain Prefrontal cortex","ASD","Inverse variance weighted",3,"-0.004","0.016","0.996","7.86e-01",0.503260879,0.351035919,0.421523656,0.01662251
"AMDHD1","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.010","0.036","1.010","7.86e-01",NA,NA,NA,0.007321699
"SLC6A3","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.005","0.019","1.005","7.87e-01",NA,NA,NA,0.008906639
"ADCY2","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.008","0.030","0.992","7.89e-01",NA,NA,NA,0.006301839
"PI4KA","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.009","0.036","0.991","7.93e-01",NA,NA,NA,0.007057649
"SLC2A9","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.004","0.016","1.004","7.95e-01",NA,NA,NA,0.01172277
"PSMD5","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.007","0.027","1.007","7.97e-01",NA,NA,NA,0.007165223
"RIN2","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.004","0.015","0.996","7.97e-01",NA,NA,NA,0.007366902
"PNLDC1","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.005","0.018","1.005","7.97e-01",NA,NA,NA,0.007164307
"SNX24","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.006","0.023","0.994","7.98e-01",NA,NA,NA,0.007768218
"RUNX1","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.010","0.038","1.010","7.99e-01",NA,NA,NA,0.007824038
"CARMIL3","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.005","0.020","0.995","8.02e-01",NA,NA,NA,0.007354142
"PAM","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.008","0.031","0.992","8.05e-01",NA,NA,NA,0.006549693
"EIF2AK4","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.012","0.048","1.012","8.06e-01",NA,NA,NA,0.012327376
"WDR37","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.007","0.029","1.007","8.06e-01",NA,NA,NA,0.010656043
"CSGALNACT1","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.007","0.028","0.993","8.12e-01",NA,NA,NA,0.007064026
"DYSF","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.010","0.040","0.991","8.13e-01",NA,NA,NA,0.008181099
"PPP4R4","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.007","0.028","0.994","8.15e-01",NA,NA,NA,0.010566228
"SORCS2","Brain Prefrontal cortex","ASD","Simple mode",3,"-0.009","0.035","0.991","8.15e-01",0.118075243,0.285293423,0.896431943,0.01516363
"SLC5A10","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.010","0.045","1.010","8.17e-01",NA,NA,NA,0.008956742
"DPP6","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.007","0.029","0.993","8.17e-01",NA,NA,NA,0.007920749
"FAM124A","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.008","0.034","1.008","8.19e-01",NA,NA,NA,0.006975435
"CACNA1C","Brain Prefrontal cortex","ASD","Weighted median",3,"-0.004","0.017","0.996","8.23e-01",0.272278557,0.478372717,0.718798584,0.016967226
"GABRR2","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.010","0.044","0.990","8.23e-01",NA,NA,NA,0.008073172
"GRID2","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.006","0.028","1.006","8.28e-01",NA,NA,NA,0.00724703
"DCC","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.005","0.021","1.005","8.28e-01",NA,NA,NA,0.007947251
"STAB2","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.003","0.015","1.003","8.29e-01",NA,NA,NA,0.007046349
"ROBO2","Brain Prefrontal cortex","ASD","Inverse variance weighted",2,"-0.003","0.013","0.997","8.30e-01",NA,0.641362638,NA,0.007750198
"PJA2","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.003","0.016","1.003","8.31e-01",NA,NA,NA,0.007093129
"DSC1","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.006","0.027","0.994","8.32e-01",NA,NA,NA,0.007391196
"BCL11A","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.006","0.027","1.006","8.34e-01",NA,NA,NA,0.008184817
"CERS6","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.006","0.029","0.994","8.34e-01",NA,NA,NA,0.006975497
"RERG","Brain Prefrontal cortex","ASD","Wald ratio",1," 0.006","0.029","1.006","8.36e-01",NA,NA,NA,0.006993577
"TRPS1","Brain Prefrontal cortex","ASD","Wald ratio",1,"-0.006","0.029","0.994","8.36e-01",NA,NA,NA,0.007082208
