"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"SMG5","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.095","0.056","1.100","9.04e-02",NA,NA,NA,0.050329593
"PTDSS1","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.068","0.040","0.934","9.14e-02",NA,NA,NA,0.050254329
"CACNG8","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.185","0.110","1.203","9.22e-02",NA,NA,NA,0.074941492
"FOXP1","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.099","0.059","1.104","9.25e-02",NA,NA,NA,0.058306878
"ADAM12","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.079","0.047","0.924","9.78e-02",NA,NA,NA,0.049374609
"BIN1","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.197","0.119","1.218","9.85e-02",NA,NA,NA,0.062550025
"PDIA5","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.059","0.036","0.942","1.02e-01",NA,NA,NA,0.060598321
"FAM20C","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.232","0.143","1.262","1.03e-01",NA,NA,NA,0.106475476
"RPH3AL","Brain Prefrontal cortex","ANX","Simple mode",4,"-0.125","0.054","0.882","1.04e-01",0.096089318,0.187467842,0.848754843,0.113713873
"FLACC1","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.132","0.082","0.876","1.06e-01",NA,NA,NA,0.043375537
"DISP3","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.088","0.055","1.092","1.06e-01",NA,NA,NA,0.063681716
"DSCAM","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.086","0.053","1.090","1.06e-01",NA,NA,NA,0.047401009
"CAMK1D","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.096","0.061","1.101","1.12e-01",NA,NA,NA,0.043884562
"DSC1","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.080","0.051","0.923","1.18e-01",NA,NA,NA,0.043513099
"HELZ2","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.158","0.102","1.171","1.20e-01",NA,NA,NA,0.062751832
"VWA5B2","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.063","0.040","1.065","1.20e-01",NA,NA,NA,0.047743199
"HSF1","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.115","0.074","1.122","1.22e-01",NA,NA,NA,0.04803195
"PRKCZ","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.090","0.059","1.094","1.25e-01",NA,NA,NA,0.056054558
"WDR62","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.086","0.056","0.918","1.26e-01",NA,NA,NA,0.041011508
"SLC5A10","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.180","0.118","0.836","1.28e-01",NA,NA,NA,0.063567441
"RAB2A","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.090","0.059","0.914","1.29e-01",NA,NA,NA,0.040608703
"RERG","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.087","0.058","1.091","1.31e-01",NA,NA,NA,0.039720633
"ANXA11","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.078","0.052","0.925","1.31e-01",NA,NA,NA,0.041741698
"JAG2","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.053","0.035","1.055","1.32e-01",NA,NA,NA,0.049471189
"PTPN13","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.053","0.036","1.055","1.37e-01",NA,NA,NA,0.059088871
"TC2N","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.090","0.061","0.914","1.39e-01",NA,NA,NA,0.036791889
"DLGAP2","Brain Prefrontal cortex","ANX","MR Egger",6,"-0.196","0.106","0.822","1.40e-01",0.410737606,0.157380093,0.115650192,0.01881633
"GSE1","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.120","0.081","1.128","1.40e-01",NA,NA,NA,0.058224505
"E2F7","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.058","0.040","1.060","1.41e-01",NA,NA,NA,0.038768912
"FRMPD2","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.056","0.038","0.946","1.44e-01",NA,NA,NA,0.044493343
"ABR","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.057","0.039","1.059","1.45e-01",NA,NA,NA,0.036531231
"AK3","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.079","0.055","1.083","1.45e-01",NA,NA,NA,0.042500914
"FMN2","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.043","0.029","1.043","1.46e-01",NA,NA,NA,0.041600545
"PTPRN2","Brain Prefrontal cortex","ANX","Weighted mode",4,"-0.053","0.028","0.948","1.51e-01",0.950089998,0.871317481,0.517892839,0.018274468
"PIAS4","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.064","0.045","0.938","1.54e-01",NA,NA,NA,0.038370897
"ST6GAL1","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.116","0.082","0.890","1.56e-01",NA,NA,NA,0.035255574
"SLC2A9","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.047","0.034","0.954","1.60e-01",NA,NA,NA,0.055496085
"PNLDC1","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.054","0.039","0.948","1.66e-01",NA,NA,NA,0.036594934
"SLX9","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.093","0.067","1.097","1.67e-01",NA,NA,NA,0.061783382
"WDR35","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.064","0.047","0.938","1.67e-01",NA,NA,NA,0.032761676
"MYT1L","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.089","0.064","1.093","1.68e-01",NA,NA,NA,0.032149901
"GNAI1","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.080","0.059","1.084","1.70e-01",NA,NA,NA,0.034459547
"TRIO","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.047","0.034","1.048","1.70e-01",NA,NA,NA,0.034216277
