"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"SLC7A7","Brain","ANX","Wald ratio",1,"-0.247","0.203","0.781","2.24e-01",NA,NA,NA,0.049441825
"RCAN2","Brain","ANX","Inverse variance weighted",2,"-0.082","0.067","0.921","2.24e-01",NA,0.660452482,NA,0.045383082
"KHDC1","Brain","ANX","Wald ratio",1,"-0.107","0.088","0.899","2.25e-01",NA,NA,NA,0.037002848
"RLF","Brain","ANX","Wald ratio",1," 0.099","0.082","1.104","2.26e-01",NA,NA,NA,0.032839579
"SLC27A1","Brain","ANX","Wald ratio",1," 0.106","0.088","1.112","2.29e-01",NA,NA,NA,0.033052188
"XYLT1","Brain","ANX","Wald ratio",1," 0.155","0.130","1.168","2.34e-01",NA,NA,NA,0.033311059
"ENSG00000258982","Brain","ANX","Wald ratio",1," 0.102","0.086","1.107","2.35e-01",NA,NA,NA,0.02622224
"AFG3L1P","Brain","ANX","Wald ratio",1,"-0.256","0.217","0.774","2.37e-01",NA,NA,NA,0.05121023
"ENSG00000285535","Brain","ANX","Wald ratio",1," 0.100","0.085","1.105","2.42e-01",NA,NA,NA,0.027499524
"MOV10L1","Brain","ANX","Wald ratio",1,"-0.103","0.088","0.902","2.43e-01",NA,NA,NA,0.029593944
"THEM7P","Brain","ANX","Wald ratio",1,"-0.177","0.153","0.837","2.45e-01",NA,NA,NA,0.039737103
"ABCA5","Brain","ANX","Wald ratio",1,"-0.167","0.144","0.846","2.45e-01",NA,NA,NA,0.042068472
"ALG1L9P","Brain","ANX","Wald ratio",1," 0.092","0.079","1.096","2.46e-01",NA,NA,NA,0.047745946
"PIDD1","Brain","ANX","Wald ratio",1,"-0.126","0.109","0.882","2.46e-01",NA,NA,NA,0.03676817
"PIP4P2","Brain","ANX","Wald ratio",1,"-0.145","0.126","0.865","2.48e-01",NA,NA,NA,0.038868428
"ENSG00000230490","Brain","ANX","Wald ratio",1," 0.153","0.133","1.166","2.49e-01",NA,NA,NA,0.036098284
"ALS2","Brain","ANX","Wald ratio",1," 0.142","0.125","1.153","2.57e-01",NA,NA,NA,0.031310748
"NMNAT2","Brain","ANX","Wald ratio",1," 0.123","0.108","1.131","2.58e-01",NA,NA,NA,0.026596622
"ETV6","Brain","ANX","Wald ratio",1,"-0.119","0.106","0.888","2.59e-01",NA,NA,NA,0.028334864
"CD6","Brain","ANX","Wald ratio",1,"-0.085","0.075","0.919","2.62e-01",NA,NA,NA,0.024830072
"PTCH1","Brain","ANX","Wald ratio",1," 0.153","0.136","1.165","2.64e-01",NA,NA,NA,0.038973547
"ENSG00000225096","Brain","ANX","Inverse variance weighted",2," 0.135","0.121","1.144","2.66e-01",NA,0.574607095,NA,0.027762041
"SEPTIN7P14","Brain","ANX","Wald ratio",1,"-0.046","0.041","0.955","2.68e-01",NA,NA,NA,0.028983218
"ENSG00000289592","Brain","ANX","Wald ratio",1," 0.113","0.102","1.120","2.68e-01",NA,NA,NA,0.024666628
"PER2","Brain","ANX","Wald ratio",1," 0.118","0.106","1.125","2.69e-01",NA,NA,NA,0.031661311
"ENSG00000286126","Brain","ANX","Wald ratio",1," 0.119","0.108","1.126","2.70e-01",NA,NA,NA,0.027213693
"RIN2","Brain","ANX","Wald ratio",1,"-0.251","0.228","0.778","2.71e-01",NA,NA,NA,0.050296503
"KCNH3","Brain","ANX","Wald ratio",1,"-0.204","0.185","0.815","2.71e-01",NA,NA,NA,0.045119407
"GSE1","Brain","ANX","Wald ratio",1," 0.165","0.151","1.180","2.73e-01",NA,NA,NA,0.035151223
"RFX8","Brain","ANX","Wald ratio",1," 0.167","0.153","1.182","2.74e-01",NA,NA,NA,0.039089001
"DENND6B","Brain","ANX","Wald ratio",1,"-0.247","0.226","0.781","2.74e-01",NA,NA,NA,0.063595073
"ANKRD28","Brain","ANX","Wald ratio",1,"-0.151","0.138","0.860","2.75e-01",NA,NA,NA,0.031988275
"CRACD","Brain","ANX","Wald ratio",1," 0.113","0.104","1.120","2.75e-01",NA,NA,NA,0.025330895
"CAPZB","Brain","ANX","Wald ratio",1,"-0.082","0.075","0.921","2.76e-01",NA,NA,NA,0.023990116
"DNAJB11","Brain","ANX","Wald ratio",1,"-0.130","0.120","0.878","2.76e-01",NA,NA,NA,0.036045602
