Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
LINC00511,Brain Cortex,SCZ,Wald ratio,1,0.072,0.049,1.074,0.145,NA,NA,NA,0.00503292
SDK2,Brain Cortex,SCZ,Wald ratio,1,-0.04,0.028,0.96,0.145,NA,NA,NA,0.005154767
SECISBP2,Brain Cortex,SCZ,Wald ratio,1,0.081,0.056,1.085,0.145,NA,NA,NA,0.014393721
ITGA3,Brain Cortex,SCZ,Wald ratio,1,-0.039,0.027,0.962,0.146,NA,NA,NA,0.018235733
ENSG00000258077,Brain Cortex,SCZ,Wald ratio,1,0.044,0.031,1.045,0.147,NA,NA,NA,0.016188323
ENSG00000230490,Brain Cortex,SCZ,Wald ratio,1,0.042,0.029,1.043,0.149,NA,NA,NA,0.012562993
LINC02464,Brain Cortex,SCZ,Wald ratio,1,0.058,0.04,1.06,0.149,NA,NA,NA,0.010755559
MROH8,Brain Cortex,SCZ,Wald ratio,1,0.089,0.062,1.093,0.149,NA,NA,NA,0.037869067
ACCS,Brain Cortex,SCZ,Wald ratio,1,0.035,0.025,1.036,0.15,NA,NA,NA,0.006126733
PRMT8,Brain Cortex,SCZ,Wald ratio,1,0.049,0.034,1.051,0.151,NA,NA,NA,0.00578218
CCDC144NL-AS1,Brain Cortex,SCZ,Wald ratio,1,-0.028,0.02,0.972,0.151,NA,NA,NA,0.012968661
SLC1A2,Brain Cortex,SCZ,Wald ratio,1,-0.031,0.022,0.969,0.151,NA,NA,NA,0.004853322
TMEM266,Brain Cortex,SCZ,Wald ratio,1,-0.023,0.016,0.977,0.151,NA,NA,NA,0.011740567
NTNG2,Brain Cortex,SCZ,Wald ratio,1,0.035,0.025,1.036,0.152,NA,NA,NA,0.012381605
HPSE2,Brain Cortex,SCZ,Wald ratio,1,-0.04,0.028,0.961,0.152,NA,NA,NA,0.009361254
LINC00923,Brain Cortex,SCZ,Wald ratio,1,-0.034,0.023,0.967,0.153,NA,NA,NA,0.012718807
ANAPC2,Brain Cortex,SCZ,Wald ratio,1,0.093,0.065,1.097,0.153,NA,NA,NA,0.005644882
SCARB1,Brain Cortex,SCZ,Wald ratio,1,-0.072,0.05,0.931,0.153,NA,NA,NA,0.020732993
HK1,Brain Cortex,SCZ,Wald ratio,1,0.133,0.093,1.142,0.154,NA,NA,NA,0.036987156
CFAP46,Brain Cortex,SCZ,Wald ratio,1,-0.068,0.048,0.934,0.157,NA,NA,NA,0.019116246
FCAR,Brain Cortex,SCZ,Wald ratio,1,0.044,0.031,1.045,0.157,NA,NA,NA,0.011940157
ICAM5,Brain Cortex,SCZ,Wald ratio,1,0.044,0.031,1.045,0.158,NA,NA,NA,0.011638011
ENSG00000259543,Brain Cortex,SCZ,Wald ratio,1,0.016,0.012,1.017,0.159,NA,NA,NA,0.011695074
BAD,Brain Cortex,SCZ,Wald ratio,1,-0.081,0.058,0.922,0.16,NA,NA,NA,0.041419413
VAC14,Brain Cortex,SCZ,Wald ratio,1,-0.071,0.05,0.932,0.16,NA,NA,NA,0.023051003
FAM107B,Brain Cortex,SCZ,Wald ratio,1,0.038,0.027,1.039,0.161,NA,NA,NA,0.01145383
COLEC11,Brain Cortex,SCZ,Wald ratio,1,-0.06,0.043,0.941,0.161,NA,NA,NA,0.01593448
COL13A1,Brain Cortex,SCZ,Wald ratio,1,-0.035,0.025,0.966,0.161,NA,NA,NA,0.014143556
LINC02689,Brain Cortex,SCZ,Wald ratio,1,0.049,0.035,1.05,0.165,NA,NA,NA,0.012281332
TNS2,Brain Cortex,SCZ,Wald ratio,1,-0.08,0.058,0.923,0.165,NA,NA,NA,0.02033373
PRSS23,Brain Cortex,SCZ,Wald ratio,1,0.04,0.029,1.041,0.166,NA,NA,NA,0.011978984
FLT3,Brain Cortex,SCZ,Wald ratio,1,-0.049,0.035,0.953,0.166,NA,NA,NA,0.016261702
ST14,Brain Cortex,SCZ,Wald ratio,1,-0.035,0.025,0.966,0.167,NA,NA,NA,0.020438804
PAUPAR,Brain Cortex,SCZ,Wald ratio,1,0.043,0.031,1.044,0.167,NA,NA,NA,0.013035112
CLIP4,Brain Cortex,SCZ,Wald ratio,1,-0.071,0.052,0.931,0.167,NA,NA,NA,0.00684985
PCDH8P1,Brain Cortex,SCZ,Wald ratio,1,-0.035,0.025,0.966,0.168,NA,NA,NA,0.011109332
PRKCA,Brain Cortex,SCZ,Wald ratio,1,-0.02,0.015,0.98,0.168,NA,NA,NA,0.011452787
SLC35F4,Brain Cortex,SCZ,Wald ratio,1,-0.031,0.023,0.969,0.169,NA,NA,NA,0.014507685
IGF1R,Brain Cortex,SCZ,Wald ratio,1,0.052,0.038,1.053,0.169,NA,NA,NA,0.020407658
