Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
ANKRD40,Brain Cortex,BP,Wald ratio,1,-0.191,0.052,0.826,0.000204,NA,NA,NA,0.835884019
LUC7L3,Brain Cortex,BP,Wald ratio,1,-0.184,0.05,0.832,0.000204,NA,NA,NA,0.835884583
NDUFAF7,Brain Cortex,BP,Wald ratio,1,-0.262,0.071,0.769,0.000208,NA,NA,NA,0.83053713
CEBPZOS,Brain Cortex,BP,Wald ratio,1,-0.411,0.111,0.663,0.000208,NA,NA,NA,0.83053713
PRKD3,Brain Cortex,BP,Wald ratio,1,-0.764,0.206,0.466,0.000208,NA,NA,NA,0.829686246
CYB5R3,Brain Cortex,BP,Weighted median,3,-0.234,0.063,0.791,0.000224,0.077924434,0.069862561,0.553652875,0.998623838
ZSCAN23,Brain Cortex,BP,Inverse variance weighted,3,0.209,0.057,1.232,0.000261,0.146993168,0.046282609,0.397797078,0.999655303
CCDC173,Brain Cortex,BP,Inverse variance weighted,3,0.117,0.032,1.124,0.000275,0.870976172,0.880052554,0.715765447,0.089146575
OLFM1,Brain Cortex,BP,Wald ratio,1,-0.198,0.054,0.821,0.000276,NA,NA,NA,0.826477714
NRXN3,Brain Cortex,BP,Weighted median,3,0.194,0.053,1.214,0.000277,0.048641736,0.000231535,0.320098315,0.397303386
DNPH1,Brain Cortex,BP,Wald ratio,1,-0.511,0.141,0.6,0.00028,NA,NA,NA,0.820355586
KIF1A,Brain Cortex,BP,Wald ratio,1,0.588,0.163,1.801,0.000311,NA,NA,NA,0.763981921
MAP2K5,Brain Cortex,BP,Wald ratio,1,-0.131,0.036,0.878,0.000323,NA,NA,NA,0.74858036
PPP4R2,Brain Cortex,BP,Wald ratio,1,-0.32,0.089,0.726,0.000336,NA,NA,NA,0.751178705
ITPRIPL1,Brain Cortex,BP,Wald ratio,1,0.149,0.042,1.161,0.000339,NA,NA,NA,0.740600359
FAHD2CP,Brain Cortex,BP,Wald ratio,1,0.048,0.013,1.049,0.000339,NA,NA,NA,0.743763485
LYZ,Brain Cortex,BP,Wald ratio,1,-0.658,0.184,0.518,0.000346,NA,NA,NA,0.738090141
CPSF6,Brain Cortex,BP,Wald ratio,1,-0.545,0.152,0.58,0.000346,NA,NA,NA,0.738387286
YEATS4,Brain Cortex,BP,Wald ratio,1,-0.342,0.096,0.71,0.000346,NA,NA,NA,0.738387344
SLC7A6OS,Brain Cortex,BP,Inverse variance weighted,2,0.598,0.167,1.819,0.000351,NA,0.252549807,NA,0.886676215
