Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
WRB,Lymphocyte,ALZ,Wald ratio,1,1.051,6.83E-04,NA,NA,NA,0.624705977
CDGAP,Lymphocyte,ALZ,Wald ratio,1,1.036,7.42E-04,NA,NA,NA,0.590866885
DOCK10,Lymphocyte,ALZ,Wald ratio,1,1.039,9.21E-04,NA,NA,NA,0.54892577
C1orf177,Lymphocyte,ALZ,Wald ratio,1,0.964,1.08E-03,NA,NA,NA,0.525792987
FCRL3,Lymphocyte,ALZ,Wald ratio,1,1.045,1.41E-03,NA,NA,NA,0.443278036
SNCA,Lymphocyte,ALZ,Wald ratio,1,0.962,1.51E-03,NA,NA,NA,0.426455789
TTC39A,Lymphocyte,ALZ,Wald ratio,1,0.778,1.72E-03,NA,NA,NA,0.53795241
DGKE,Lymphocyte,ALZ,Wald ratio,1,1.059,1.73E-03,NA,NA,NA,0.496443551
LOC151174,Lymphocyte,ALZ,Wald ratio,1,1.181,1.90E-03,NA,NA,NA,0.390698234
HES6,Lymphocyte,ALZ,Wald ratio,1,1.116,1.90E-03,NA,NA,NA,0.390698234
COL22A1,Lymphocyte,ALZ,Wald ratio,1,1.439,2.03E-03,NA,NA,NA,0.480254927
ZNF642,Lymphocyte,ALZ,Wald ratio,1,0.357,2.25E-03,NA,NA,NA,0.399637581
ITGA1,Lymphocyte,ALZ,Wald ratio,1,1.04,2.28E-03,NA,NA,NA,0.375034503
LRIG3,Lymphocyte,ALZ,Wald ratio,1,1.068,2.70E-03,NA,NA,NA,0.47335063
PTK2B,Lymphocyte,ALZ,Wald ratio,1,0.952,2.98E-03,NA,NA,NA,0.291206891
HNRNPD,Lymphocyte,ALZ,Wald ratio,1,0.743,3.02E-03,NA,NA,NA,0.316647427
CLEC1A,Lymphocyte,ALZ,Wald ratio,1,1.039,3.17E-03,NA,NA,NA,0.279286757
LMBR1,Lymphocyte,ALZ,Wald ratio,1,0.342,3.40E-03,NA,NA,NA,0.263142347
FOSB,Lymphocyte,ALZ,Wald ratio,1,1.074,3.47E-03,NA,NA,NA,0.266711531
ARSJ,Lymphocyte,ALZ,Wald ratio,1,0.753,3.67E-03,NA,NA,NA,0.279748053
C8orf40,Lymphocyte,ALZ,Wald ratio,1,1.03,3.73E-03,NA,NA,NA,0.248794482
TRPM7,Lymphocyte,ALZ,Wald ratio,1,0.967,4.10E-03,NA,NA,NA,0.233011097
RFX4,Lymphocyte,ALZ,Wald ratio,1,0.944,4.24E-03,NA,NA,NA,0.239669292
SFXN1,Lymphocyte,ALZ,Wald ratio,1,4.35,4.61E-03,NA,NA,NA,0.33774838
MTERFD2,Lymphocyte,ALZ,Wald ratio,1,1.039,4.72E-03,NA,NA,NA,0.259662836
PASK,Lymphocyte,ALZ,Wald ratio,1,1.045,4.72E-03,NA,NA,NA,0.259662845
LMX1A,Lymphocyte,ALZ,Wald ratio,1,0.727,4.87E-03,NA,NA,NA,0.211325877
HRG,Lymphocyte,ALZ,Wald ratio,1,1.038,5.14E-03,NA,NA,NA,0.197053387
CABYR,Lymphocyte,ALZ,Wald ratio,1,1.067,5.20E-03,NA,NA,NA,0.199984119
CD27,Lymphocyte,ALZ,Wald ratio,1,0.88,5.26E-03,NA,NA,NA,0.202906553
CAPZB,Lymphocyte,ALZ,Wald ratio,1,0.954,5.41E-03,NA,NA,NA,0.206372666
DOCK9,Lymphocyte,ALZ,Wald ratio,1,1.056,5.48E-03,NA,NA,NA,0.275848225
CLDN7,Lymphocyte,ALZ,Wald ratio,1,0.928,5.49E-03,NA,NA,NA,0.193839612
DULLARD,Lymphocyte,ALZ,Wald ratio,1,0.968,5.49E-03,NA,NA,NA,0.192963911
DLG4,Lymphocyte,ALZ,Wald ratio,1,0.946,5.49E-03,NA,NA,NA,0.193839612
ZFP42,Lymphocyte,ALZ,Wald ratio,1,1.208,5.57E-03,NA,NA,NA,0.207583236
GTF2H3,Lymphocyte,ALZ,Wald ratio,1,0.972,5.78E-03,NA,NA,NA,0.181890592
ATP6V0A2,Lymphocyte,ALZ,Wald ratio,1,0.971,5.78E-03,NA,NA,NA,0.182386143
SIRPB2,Lymphocyte,ALZ,Wald ratio,1,1.097,5.86E-03,NA,NA,NA,0.237431803
OR9Q1,Lymphocyte,ALZ,Wald ratio,1,0.95,6.02E-03,NA,NA,NA,0.23191692
SNX19,Lymphocyte,ALZ,Wald ratio,1,1.047,6.05E-03,NA,NA,NA,0.173430051
PIK3C2B,Lymphocyte,ALZ,Wald ratio,1,0.952,6.12E-03,NA,NA,NA,0.191303544
ZEB2,Lymphocyte,ALZ,Wald ratio,1,0.899,6.16E-03,NA,NA,NA,0.194481315
SLC2A2,Lymphocyte,ALZ,Wald ratio,1,0.868,6.31E-03,NA,NA,NA,0.228003522
MIR548N,Lymphocyte,ALZ,Wald ratio,1,0.961,6.45E-03,NA,NA,NA,0.189455365
LOC100188949,Lymphocyte,ALZ,Wald ratio,1,0.797,6.79E-03,NA,NA,NA,0.160510922
EGF,Lymphocyte,ALZ,Wald ratio,1,0.967,7.02E-03,NA,NA,NA,0.160458213
SOX9,Lymphocyte,ALZ,Wald ratio,1,0.802,7.23E-03,NA,NA,NA,0.198603526
TIFAB,Lymphocyte,ALZ,Wald ratio,1,0.903,7.35E-03,NA,NA,NA,0.148542782
AOAH,Lymphocyte,ALZ,Inverse variance weighted,2,1.024,8.06E-03,NA,0.844527322,NA,0.047344198
TMEM117,Lymphocyte,ALZ,Wald ratio,1,0.963,8.17E-03,NA,NA,NA,0.182819287
PALM2,Lymphocyte,ALZ,Wald ratio,1,1.031,8.24E-03,NA,NA,NA,0.107705919
MGC2752,Lymphocyte,ALZ,Wald ratio,1,0.878,8.28E-03,NA,NA,NA,0.170583102
UBE2M,Lymphocyte,ALZ,Wald ratio,1,0.964,8.28E-03,NA,NA,NA,0.170615248
CEBPE,Lymphocyte,ALZ,Wald ratio,1,0.959,8.29E-03,NA,NA,NA,0.139019687
C15orf41,Lymphocyte,ALZ,Wald ratio,1,0.954,8.36E-03,NA,NA,NA,0.187838007
DNAJC13,Lymphocyte,ALZ,Wald ratio,1,1.044,8.51E-03,NA,NA,NA,0.199123823
LUZP2,Lymphocyte,ALZ,Inverse variance weighted,2,0.975,8.60E-03,NA,0.928983767,NA,0.019870864
SOSTDC1,Lymphocyte,ALZ,Wald ratio,1,0.973,8.85E-03,NA,NA,NA,0.134392902
CA6,Lymphocyte,ALZ,Wald ratio,1,0.915,9.32E-03,NA,NA,NA,0.126972699
C4orf22,Lymphocyte,ALZ,Wald ratio,1,0.957,9.53E-03,NA,NA,NA,0.13333179
CYP4F3,Lymphocyte,ALZ,Wald ratio,1,1.107,9.55E-03,NA,NA,NA,0.122501122
MAP3K12,Lymphocyte,ALZ,Wald ratio,1,0.85,9.57E-03,NA,NA,NA,0.156961638
LMCD1,Lymphocyte,ALZ,Wald ratio,1,0.957,1.00E-02,NA,NA,NA,0.119157148
PLEC1,Lymphocyte,ALZ,Wald ratio,1,0.944,1.05E-02,NA,NA,NA,0.117687058
MIR661,Lymphocyte,ALZ,Wald ratio,1,0.973,1.05E-02,NA,NA,NA,0.117687068
SYNPO2L,Lymphocyte,ALZ,Wald ratio,1,1.052,1.06E-02,NA,NA,NA,0.170078128
CLN6,Lymphocyte,ALZ,Wald ratio,1,0.807,1.08E-02,NA,NA,NA,0.113404913
DNTTIP2,Lymphocyte,ALZ,Wald ratio,1,1.052,1.10E-02,NA,NA,NA,0.19298081
FLYWCH1,Lymphocyte,ALZ,Wald ratio,1,0.156,1.12E-02,NA,NA,NA,0.119450095
PHOSPHO1,Lymphocyte,ALZ,Wald ratio,1,1.052,1.13E-02,NA,NA,NA,0.112241521
SMYD2,Lymphocyte,ALZ,Wald ratio,1,0.96,1.13E-02,NA,NA,NA,0.113968063
KCNH3,Lymphocyte,ALZ,Wald ratio,1,0.944,1.14E-02,NA,NA,NA,0.165744722
FMNL3,Lymphocyte,ALZ,Wald ratio,1,0.882,1.14E-02,NA,NA,NA,0.165746643
ZNF266,Lymphocyte,ALZ,Wald ratio,1,0.941,1.14E-02,NA,NA,NA,0.171509209
MRPL28,Lymphocyte,ALZ,Wald ratio,1,0.968,1.16E-02,NA,NA,NA,0.109824362
TMEM8A,Lymphocyte,ALZ,Wald ratio,1,0.773,1.16E-02,NA,NA,NA,0.109824362
LOC100134368,Lymphocyte,ALZ,Wald ratio,1,0.947,1.16E-02,NA,NA,NA,0.109824362
C19orf40,Lymphocyte,ALZ,Wald ratio,1,0.74,1.16E-02,NA,NA,NA,0.128807155
GPR176,Lymphocyte,ALZ,Wald ratio,1,1.028,1.19E-02,NA,NA,NA,0.098558479
TG,Lymphocyte,ALZ,Wald ratio,1,1.053,1.21E-02,NA,NA,NA,0.144042143
ANKFN1,Lymphocyte,ALZ,Wald ratio,1,1.039,1.22E-02,NA,NA,NA,0.140628401
AGT,Lymphocyte,ALZ,Wald ratio,1,1.087,1.23E-02,NA,NA,NA,0.115611538
CCNY,Lymphocyte,ALZ,Wald ratio,1,0.971,1.24E-02,NA,NA,NA,0.103130001
LOC100292680,Lymphocyte,ALZ,Wald ratio,1,0.96,1.28E-02,NA,NA,NA,0.099101626
GIT1,Lymphocyte,ALZ,Wald ratio,1,1.101,1.28E-02,NA,NA,NA,0.097299107
ANKRD13B,Lymphocyte,ALZ,Wald ratio,1,1.045,1.28E-02,NA,NA,NA,0.097299107
RRAGD,Lymphocyte,ALZ,Wald ratio,1,0.974,1.31E-02,NA,NA,NA,0.098709545
ARFGEF1,Lymphocyte,ALZ,Wald ratio,1,0.948,1.32E-02,NA,NA,NA,0.103884972
JOSD1,Lymphocyte,ALZ,Wald ratio,1,1.027,1.33E-02,NA,NA,NA,0.098538091
ATP10A,Lymphocyte,ALZ,Inverse variance weighted,2,1.029,1.34E-02,NA,0.526627204,NA,0.02141878
CPM,Lymphocyte,ALZ,Wald ratio,1,1.037,1.34E-02,NA,NA,NA,0.081610381
UTP23,Lymphocyte,ALZ,Wald ratio,1,0.201,1.35E-02,NA,NA,NA,0.098377835
GTF3C6,Lymphocyte,ALZ,Wald ratio,1,0.83,1.35E-02,NA,NA,NA,0.122313453
TSEN34,Lymphocyte,ALZ,Wald ratio,1,0.896,1.37E-02,NA,NA,NA,0.094626999
RPS9,Lymphocyte,ALZ,Wald ratio,1,0.945,1.37E-02,NA,NA,NA,0.094626999
SV2B,Lymphocyte,ALZ,Wald ratio,1,1.042,1.37E-02,NA,NA,NA,0.092811977
KIAA1609,Lymphocyte,ALZ,Wald ratio,1,0.858,1.43E-02,NA,NA,NA,0.104727141
CASS4,Lymphocyte,ALZ,Wald ratio,1,1.06,1.43E-02,NA,NA,NA,0.118231131
DRG2,Lymphocyte,ALZ,Wald ratio,1,1.033,1.44E-02,NA,NA,NA,0.094172783
MYO15A,Lymphocyte,ALZ,Wald ratio,1,1.028,1.44E-02,NA,NA,NA,0.094172783
