Psychiatric disorder,Risk phenotype,Method,Beta,Standard error,P-value,OR,OR_lci95,OR_uci95,Q Pvalue(MREgger),Q Pvalue(IVW),Intercept PValue
SCZ,"Diagnoses - secondary ICD10: M06.99 Rheumatoid arthritis, unspecified (Site unspecified) ",Weighted median,15.78586545,4.67163508,0.000727268,7173221.756,757.0737655,67965781810,0.148868629,0.061775565,0.419052098
SCZ,Unable to work because of sickness or disability,Weighted median,-0.935252256,0.276932496,0.000732318,0.392486846,0.228084308,0.675390279,0.000254644,0.000252594,0.299104165
DEP,Maternal smoking around birth ,Weighted median,0.888924548,0.263464909,0.000740906,2.432512194,1.451406848,4.076813872,0.001256999,0.00210072,0.872675286
PTSD,Current employment status: Unemployed,Inverse variance weighted,-1.725595509,0.511473781,0.00074146,0.17806698,0.065344362,0.485242313,0.001184416,0.00121597,0.485133606
PTSD,Current employment status: Unemployed,Inverse variance weighted,-1.725595509,0.511473781,0.00074146,0.17806698,0.065344362,0.485242313,0.001184416,0.00121597,0.485133606
OCD,Educational attainment,Weighted median,0.489780537,0.145389146,0.000755083,1.631958026,1.227301444,2.170034928,2.71E-14,1.31E-14,0.011722259
ED,Primary sclerosing cholangitis ,Weighted median,0.060815838,0.018177017,0.00082059,1.062703187,1.025508805,1.101246578,0.436436994,0.344160678,0.145430993
BP,"Diagnoses - main ICD10: J45.9 Asthma, unspecified ",Inverse variance weighted,-38.70521538,11.58196496,0.000832214,1.55E-17,2.15E-27,1.12E-07,NA,NA,NA
DEP,Neuroticism score ,MR Egger,0.257509114,0.075206139,0.000872943,1.293703602,1.116395377,1.499172286,1.55E-10,6.41E-11,0.134958317
SCZ,Primary sclerosing cholangitis ,MR Egger,-0.13365005,0.031793181,0.000884104,0.874896181,0.822041265,0.931149518,0.000522623,0.000142129,0.183882486
DEP,smoking initiation ,Simple mode,0.284206423,0.082346361,0.000884288,1.328707178,1.130666809,1.561435032,0.000800078,0.000740461,0.310689123
ADHD,Body mass index (BMI) ,Weighted mode,0.376187024,0.113393538,0.000987402,1.45671955,1.166415872,1.819275525,9.30E-35,1.63E-37,0.000585481
SCZ,Intelligence ,Inverse variance weighted,-0.331396232,0.101814075,0.00113426,0.71792065,0.588044991,0.876480656,6.21E-49,1.56E-49,0.232036593
