Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
FGF14-AS2,Brain Caudate basal ganglia,ED,Wald ratio,1,0.854,1.02E-04,NA,NA,NA,0.939513882
FGF14-AS2,Brain Cortex,ED,Wald ratio,1,0.795,1.02E-04,NA,NA,NA,0.93143739
FGF14-AS2,Brain Substantia nigra,ED,Wald ratio,1,0.889,1.02E-04,NA,NA,NA,0.939495579
EPHA3,Brain Cerebellum,ED,Wald ratio,1,1.151,1.17E-04,NA,NA,NA,0.924130919
STX19,Brain Spinal cord cervical,ED,Wald ratio,1,0.918,1.20E-04,NA,NA,NA,0.882498784
TDRKH,Brain Cerebellar Hemisphere,ED,Wald ratio,1,1.256,1.21E-04,NA,NA,NA,0.918723181
SNX27,Brain Cerebellar Hemisphere,ED,Wald ratio,1,1.132,1.21E-04,NA,NA,NA,0.919085417
FGF14-AS2,Brain Spinal cord cervical,ED,Wald ratio,1,0.905,1.24E-04,NA,NA,NA,0.926521123
STX19,Brain Substantia nigra,ED,Wald ratio,1,0.926,1.45E-04,NA,NA,NA,0.694026747
ZC3H8,Brain Cerebellar Hemisphere,ED,Wald ratio,1,0.868,1.51E-04,NA,NA,NA,0.896192869
RGPD8,Brain Substantia nigra,ED,Wald ratio,1,1.064,1.51E-04,NA,NA,NA,0.92097987
AC063950.1,Brain Cortex SMR,ED,Wald ratio,1,1.224,1.52E-04,NA,NA,NA,0.896248705
CTBP2,Brain Cortex SMR,ED,Wald ratio,1,1.239,1.63E-04,NA,NA,NA,0.903441283
AL731571.1,Brain Cortex SMR,ED,Wald ratio,1,1.318,1.63E-04,NA,NA,NA,0.903441226
FGF14-AS2,Meta 10 Brain Regions,ED,Wald ratio,1,1.112,1.71E-04,NA,NA,NA,0.905763439
RFPL1S,Brain Hypothalamus,ED,Wald ratio,1,0.741,1.74E-04,NA,NA,NA,0.902837988
STX19,Brain Nucleus accumbens basal ganglia,ED,Wald ratio,1,0.926,1.79E-04,NA,NA,NA,0.889669089
RFPL1S,Meta 10 Brain Regions,ED,Wald ratio,1,1.11,1.79E-04,NA,NA,NA,0.89846368
RFPL1S,Brain Amygdala,ED,Wald ratio,1,0.775,1.82E-04,NA,NA,NA,0.899097148
ENTPD1,Brain Cerebellum,ED,Wald ratio,1,0.792,1.85E-04,NA,NA,NA,0.22254974
CTNNB1,Brain Hypothalamus,ED,Wald ratio,1,0.858,1.85E-04,NA,NA,NA,0.796659157
RUNDC3B,Brain Cerebellar Hemisphere,ED,Wald ratio,1,1.27,1.92E-04,NA,NA,NA,0.866293069
ZC3H8,Brain Nucleus accumbens basal ganglia,ED,Wald ratio,1,0.802,1.93E-04,NA,NA,NA,0.736788294
RGPD8,Brain Nucleus accumbens basal ganglia,ED,Wald ratio,1,1.074,1.93E-04,NA,NA,NA,0.901143872
RPL31P12,Meta 10 Brain Regions,ED,Wald ratio,1,1.055,1.96E-04,NA,NA,NA,0.872650539
RFPL1S,Brain Cortex SMR,ED,Wald ratio,1,1.055,2.01E-04,NA,NA,NA,0.88978999
KNOP1,Brain Nucleus accumbens basal ganglia,ED,Inverse variance weighted,2,1.054,2.07E-04,NA,0.86677139,NA,3.81E-05
VAMP2,Brain Cerebellar Hemisphere,ED,Wald ratio,1,1.22,2.13E-04,NA,NA,NA,0.868640938
VCL,Brain Cortex,ED,Wald ratio,1,0.83,2.19E-04,NA,NA,NA,0.8590411
ARHGAP1,Brain Amygdala,ED,Wald ratio,1,1.234,2.21E-04,NA,NA,NA,0.763048016
TMEM225B,Brain Spinal cord cervical,ED,Wald ratio,1,0.854,2.29E-04,NA,NA,NA,0.153757867
AP000974.1,Brain Cortex SMR,ED,Wald ratio,1,0.932,2.35E-04,NA,NA,NA,0.877067005
MIR181A2HG,Brain Putamen basal ganglia,ED,Wald ratio,1,1.121,2.37E-04,NA,NA,NA,0.547385929
SLFNL1,Meta 10 Brain Regions,ED,Wald ratio,1,1.108,2.37E-04,NA,NA,NA,0.825653262
ZC3H8,Brain Cortex SMR,ED,Wald ratio,1,1.206,2.40E-04,NA,NA,NA,0.881084255
RGPD8,Brain Cortex SMR,ED,Wald ratio,1,0.95,2.40E-04,NA,NA,NA,0.881084256
AC092645.1,Brain Cortex SMR,ED,Wald ratio,1,1.253,2.40E-04,NA,NA,NA,0.880919806
ASTN1,Brain Putamen basal ganglia,ED,Wald ratio,1,1.29,2.43E-04,NA,NA,NA,0.903364403
SLFNL1,Brain Cerebellum,ED,Wald ratio,1,0.862,2.50E-04,NA,NA,NA,0.913682036
SLC44A2,Brain Spinal cord cervical,ED,Wald ratio,1,1.18,2.54E-04,NA,NA,NA,0.066377761
VAMP2,Brain Putamen basal ganglia,ED,Wald ratio,1,1.114,2.57E-04,NA,NA,NA,0.847592483
TRIM32,Brain Frontal Cortex,ED,Wald ratio,1,0.866,2.64E-04,NA,NA,NA,0.028625562
CLCNKA,Brain Substantia nigra,ED,Wald ratio,1,0.947,2.67E-04,NA,NA,NA,0.842225903
AL133166.1,Brain Cortex SMR,ED,Wald ratio,1,0.811,2.72E-04,NA,NA,NA,0.918754205
RFPL1S,Brain Cortex,ED,Wald ratio,1,0.826,2.74E-04,NA,NA,NA,0.864454397
RFPL1S,Brain Frontal Cortex,ED,Wald ratio,1,0.843,2.79E-04,NA,NA,NA,0.859529081
SNHG5,Brain Cortex,ED,Inverse variance weighted,2,1.065,2.83E-04,NA,0.505964868,NA,0.000228041
SNHG5,Brain Amygdala,ED,Wald ratio,1,1.081,2.86E-04,NA,NA,NA,0.827069544
PKMP3,Brain Amygdala,ED,Wald ratio,1,1.131,2.86E-04,NA,NA,NA,0.483123668
SNHG5,Brain Anterior cingulate cortex,ED,Wald ratio,1,1.09,2.86E-04,NA,NA,NA,0.827069544
PKMP3,Brain Anterior cingulate cortex,ED,Wald ratio,1,1.145,2.86E-04,NA,NA,NA,0.333545317
SNHG5,Brain Caudate basal ganglia,ED,Wald ratio,1,1.069,2.86E-04,NA,NA,NA,0.827069544
PKMP3,Brain Caudate basal ganglia,ED,Wald ratio,1,1.125,2.86E-04,NA,NA,NA,0.826994969
VAMP2,Brain Caudate basal ganglia,ED,Wald ratio,1,1.169,2.86E-04,NA,NA,NA,0.834210284
PKMP3,Brain Cerebellar Hemisphere,ED,Wald ratio,1,1.129,2.86E-04,NA,NA,NA,0.820424863
SNHG5,Brain Cerebellar Hemisphere,ED,Wald ratio,1,1.079,2.86E-04,NA,NA,NA,0.827069544
PKMP3,Brain Cerebellum,ED,Wald ratio,1,1.121,2.86E-04,NA,NA,NA,0.82661063
SNHG5,Brain Cerebellum,ED,Wald ratio,1,1.079,2.86E-04,NA,NA,NA,0.827069544
PKMP3,Brain Cortex,ED,Wald ratio,1,1.15,2.86E-04,NA,NA,NA,0.825595014
SNHG5,Brain Frontal Cortex,ED,Wald ratio,1,1.084,2.86E-04,NA,NA,NA,0.827069544
SNHG5,Brain Hippocampus,ED,Wald ratio,1,1.072,2.86E-04,NA,NA,NA,0.827069544
SNHG5,Brain Hypothalamus,ED,Wald ratio,1,1.085,2.86E-04,NA,NA,NA,0.827069544
PKMP3,Brain Nucleus accumbens basal ganglia,ED,Wald ratio,1,1.174,2.86E-04,NA,NA,NA,0.827056655
SNHG5,Brain Nucleus accumbens basal ganglia,ED,Wald ratio,1,1.07,2.86E-04,NA,NA,NA,0.827069544
