Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
ROM1,Oligodendrocytes,DEP,Wald ratio,1,1.039,5.24E-04,NA,NA,NA,0.119718525
KIAA1143,FPP_D11,DEP,Wald ratio,1,1.031,5.30E-04,NA,NA,NA,0.464615018
TSHZ2,Epen1_D30,DEP,Wald ratio,1,0.967,5.41E-04,NA,NA,NA,0.304337848
SSRP1,P_FPP_D11,DEP,Wald ratio,1,1.078,5.45E-04,NA,NA,NA,0.086711114
AC091826.2,Excitatory neurons,DEP,Wald ratio,1,1.059,5.59E-04,NA,NA,NA,0.128418178
SPEF1,Epen1_D52_ROT,DEP,Wald ratio,1,1.06,5.63E-04,NA,NA,NA,0.483027958
ANKRD36,Oligodendrocytes,DEP,Wald ratio,1,0.971,5.93E-04,NA,NA,NA,0.455278918
ANKRD36B,Inhibitory neurons,DEP,Wald ratio,1,1.022,5.93E-04,NA,NA,NA,0.455278918
ANKRD36B,Excitatory neurons,DEP,Wald ratio,1,1.022,5.93E-04,NA,NA,NA,0.455278918
C11orf83,FPP_D11,DEP,Wald ratio,1,0.926,6.14E-04,NA,NA,NA,0.45270726
ZNF501,Excitatory neurons,DEP,Wald ratio,1,0.976,6.38E-04,NA,NA,NA,0.473401622
ZNF501,Pericytes,DEP,Wald ratio,1,0.963,6.38E-04,NA,NA,NA,8.89E-05
ZNF502,Excitatory neurons,DEP,Wald ratio,1,0.975,6.38E-04,NA,NA,NA,0.473473373
IDO1,Inhibitory neurons,DEP,Wald ratio,1,1.055,6.54E-04,NA,NA,NA,0.00024897
RPRM,Inhibitory neurons,DEP,Wald ratio,1,1.06,6.63E-04,NA,NA,NA,0.00046155
AL359643.2,Excitatory neurons,DEP,Wald ratio,1,1.062,6.93E-04,NA,NA,NA,0.000435385
STYXL1,Astrocytes,DEP,Wald ratio,1,1.059,6.96E-04,NA,NA,NA,0.000345268
P2RX4,Excitatory neurons,DEP,Wald ratio,1,0.947,7.27E-04,NA,NA,NA,0.107247386
TIPIN,Epen1_D52,DEP,Wald ratio,1,1.021,7.30E-04,NA,NA,NA,0.549443794
TIPIN,Sert_D52,DEP,Wald ratio,1,1.027,7.30E-04,NA,NA,NA,0.549443795
COQ8A,Excitatory neurons,DEP,Wald ratio,1,0.95,7.31E-04,NA,NA,NA,0.003523989
TBC1D16,Astrocytes,DEP,Wald ratio,1,0.961,7.38E-04,NA,NA,NA,0.121737153
AC026167.1,Inhibitory neurons,DEP,Wald ratio,1,1.049,7.38E-04,NA,NA,NA,7.17E-05
CARD14,Endothelial cells,DEP,Wald ratio,1,0.961,7.38E-04,NA,NA,NA,7.09E-05
GTPBP4,OPCs / COPs,DEP,Wald ratio,1,1.05,8.82E-04,NA,NA,NA,8.06E-05
CNTN4,Inhibitory neurons,DEP,Wald ratio,1,1.087,9.08E-04,NA,NA,NA,0.000120901
MAP3K7,Oligodendrocytes,DEP,Wald ratio,1,1.09,9.52E-04,NA,NA,NA,5.66E-05
OTX2-AS1,FPP_D11,DEP,Wald ratio,1,0.941,9.52E-04,NA,NA,NA,0.08006756
UTP14C,Endothelial cells,DEP,Wald ratio,1,1.087,9.55E-04,NA,NA,NA,0.000136133
BDNF-AS,DA_D52,DEP,Wald ratio,1,1.045,9.60E-04,NA,NA,NA,0.380773496
AL162725.2,Astrocytes,DEP,Wald ratio,1,1.045,9.84E-04,NA,NA,NA,0.004896709
PEX16,Excitatory neurons,DEP,Wald ratio,1,0.896,1.01E-03,NA,NA,NA,0.000226716
SYT13,Excitatory neurons,DEP,Wald ratio,1,0.889,1.01E-03,NA,NA,NA,5.75E-05
C1QTNF7,Oligodendrocytes,DEP,Wald ratio,1,0.969,1.03E-03,NA,NA,NA,0.333920609
MPHOSPH9,Sert_D30,DEP,Wald ratio,1,0.962,1.08E-03,NA,NA,NA,0.367428172
CIAO1,FPP_D11,DEP,Wald ratio,1,0.965,1.09E-03,NA,NA,NA,0.317730256
MGST2,Endothelial cells,DEP,Wald ratio,1,0.957,1.13E-03,NA,NA,NA,7.39E-05
PIF1,Astrocytes,DEP,Wald ratio,1,1.029,1.15E-03,NA,NA,NA,0.291800826
EFCAB11,Microglia,DEP,Wald ratio,1,0.945,1.19E-03,NA,NA,NA,6.69E-05
CLEC14A,OPCs / COPs,DEP,Wald ratio,1,1.033,1.22E-03,NA,NA,NA,0.004824606
AC093689.1,Astrocytes,DEP,Wald ratio,1,1.083,1.23E-03,NA,NA,NA,4.74E-05
AC016687.3,Inhibitory neurons,DEP,Wald ratio,1,0.942,1.23E-03,NA,NA,NA,4.65E-05
VWA5B2,Excitatory neurons,DEP,Wald ratio,1,0.923,1.26E-03,NA,NA,NA,0.006354673
KLF7,OPCs / COPs,DEP,Wald ratio,1,1.044,1.27E-03,NA,NA,NA,0.000114106
FAM134A,Epen1_D52_ROT,DEP,Wald ratio,1,0.953,1.27E-03,NA,NA,NA,0.287337853
FAM134A,FPP_D11,DEP,Wald ratio,1,0.934,1.27E-03,NA,NA,NA,0.109439893
ZDHHC21,FPP_D11,DEP,Wald ratio,1,1.095,1.28E-03,NA,NA,NA,0.301781557
KNSTRN,Excitatory neurons,DEP,Wald ratio,1,0.979,1.29E-03,NA,NA,NA,0.361181188
KNSTRN,Inhibitory neurons,DEP,Wald ratio,1,0.978,1.29E-03,NA,NA,NA,0.092581882
AC016717.2,Inhibitory neurons,DEP,Wald ratio,1,0.932,1.33E-03,NA,NA,NA,7.72E-05
MRPL48,Excitatory neurons,DEP,Wald ratio,1,1.03,1.42E-03,NA,NA,NA,0.006248941
CSGALNACT1,Excitatory neurons,DEP,Wald ratio,1,1.098,1.44E-03,NA,NA,NA,3.60E-05
LACTB,Endothelial cells,DEP,Wald ratio,1,0.958,1.44E-03,NA,NA,NA,5.10E-05
LINC01068,Oligodendrocytes,DEP,Wald ratio,1,0.978,1.44E-03,NA,NA,NA,0.255513901
SHISA9,OPCs / COPs,DEP,Wald ratio,1,1.023,1.45E-03,NA,NA,NA,0.279462208
PCDHB2,OPCs / COPs,DEP,Wald ratio,1,1.035,1.47E-03,NA,NA,NA,5.41E-05
PCDHB9,Excitatory neurons,DEP,Wald ratio,1,1.043,1.47E-03,NA,NA,NA,0.001659187
TRAF1,Oligodendrocytes,DEP,Wald ratio,1,1.031,1.48E-03,NA,NA,NA,0.257749797
FBXW2,Pericytes,DEP,Wald ratio,1,0.958,1.48E-03,NA,NA,NA,3.47E-05
DET1,Pericytes,DEP,Wald ratio,1,0.934,1.50E-03,NA,NA,NA,5.44E-05
FADS2,Oligodendrocytes,DEP,Wald ratio,1,0.965,1.52E-03,NA,NA,NA,0.003037069
FADS1,Oligodendrocytes,DEP,Wald ratio,1,0.961,1.52E-03,NA,NA,NA,0.015373541
VDAC2,P_FPP_D11,DEP,Wald ratio,1,0.894,1.56E-03,NA,NA,NA,0.212560159
GLRB,OPCs / COPs,DEP,Wald ratio,1,0.955,1.58E-03,NA,NA,NA,7.22E-05
PRR4,Epen1_D52,DEP,Wald ratio,1,1.046,1.58E-03,NA,NA,NA,0.241492725
AC007221.1,Oligodendrocytes,DEP,Wald ratio,1,1.068,1.71E-03,NA,NA,NA,5.49E-05
AC007221.2,Oligodendrocytes,DEP,Wald ratio,1,1.057,1.71E-03,NA,NA,NA,6.78E-05
AKAP8,Excitatory neurons,DEP,Wald ratio,1,1.045,1.81E-03,NA,NA,NA,0.000104671
ACP6,Oligodendrocytes,DEP,Wald ratio,1,0.954,1.83E-03,NA,NA,NA,7.61E-05
CNTN3,Excitatory neurons,DEP,Wald ratio,1,0.925,1.83E-03,NA,NA,NA,3.22E-05
ACP6,Astrocytes,DEP,Wald ratio,1,0.977,1.83E-03,NA,NA,NA,0.215642707
ACP6,Excitatory neurons,DEP,Wald ratio,1,0.956,1.83E-03,NA,NA,NA,0.166812855
NDUFA10,Excitatory neurons,DEP,Wald ratio,1,1.104,1.85E-03,NA,NA,NA,3.05E-05
PRKACB,OPCs / COPs,DEP,Wald ratio,1,0.932,1.85E-03,NA,NA,NA,4.33E-05
RHCG,Astrocytes,DEP,Wald ratio,1,1.058,1.86E-03,NA,NA,NA,2.78E-05
AC013391.3,Excitatory neurons,DEP,Wald ratio,1,1.037,1.86E-03,NA,NA,NA,0.047061816
TICRR,Astrocytes,DEP,Wald ratio,1,0.946,1.86E-03,NA,NA,NA,2.81E-05
LTBP3,Oligodendrocytes,DEP,Wald ratio,1,1.028,1.88E-03,NA,NA,NA,0.223389246
SAC3D1,Excitatory neurons,DEP,Wald ratio,1,0.884,1.88E-03,NA,NA,NA,3.71E-05
MDH2,P_FPP_D11,DEP,Wald ratio,1,1.042,1.89E-03,NA,NA,NA,0.225923996
AC099520.1,Excitatory neurons,DEP,Wald ratio,1,1.119,1.92E-03,NA,NA,NA,4.48E-05
JARID2,Excitatory neurons,DEP,Wald ratio,1,0.894,1.93E-03,NA,NA,NA,4.91E-05
