Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
ATP12A,Brain,BP,Wald ratio,1,0.892,5.37E-02,NA,NA,NA,0.058288252
FKRP,Brain,BP,Wald ratio,1,1.074,5.41E-02,NA,NA,NA,0.033142596
TMOD1,Brain,BP,Wald ratio,1,1.079,5.44E-02,NA,NA,NA,0.035897481
KANK1,Brain,BP,Wald ratio,1,0.93,5.63E-02,NA,NA,NA,0.032671083
LINC03009,Brain,BP,Wald ratio,1,0.968,5.70E-02,NA,NA,NA,0.030348848
KIF25,Brain,BP,Wald ratio,1,0.95,5.76E-02,NA,NA,NA,0.039739189
ZBTB38,Brain,BP,Wald ratio,1,1.054,5.76E-02,NA,NA,NA,0.028979144
ENSG00000286565,Brain,BP,Wald ratio,1,1.057,5.88E-02,NA,NA,NA,0.028806606
FAM167A,Brain,BP,Wald ratio,1,0.973,5.94E-02,NA,NA,NA,0.027440777
AP2A1,Brain,BP,Wald ratio,1,1.057,5.97E-02,NA,NA,NA,0.026806917
CCDC163,Brain,BP,Wald ratio,1,0.955,6.02E-02,NA,NA,NA,0.027960207
ENSG00000260850,Brain,BP,Wald ratio,1,1.067,6.20E-02,NA,NA,NA,0.032565237
ZNF827,Brain,BP,Wald ratio,1,0.935,6.23E-02,NA,NA,NA,0.028291537
HTRA1,Brain,BP,Wald ratio,1,1.081,6.27E-02,NA,NA,NA,0.031537406
CIT,Brain,BP,Wald ratio,1,1.064,6.27E-02,NA,NA,NA,0.027618099
FOXN2,Brain,BP,Wald ratio,1,0.959,6.29E-02,NA,NA,NA,0.025437911
EPB41L3,Brain,BP,Wald ratio,1,0.93,6.38E-02,NA,NA,NA,0.03107494
CTBP2,Brain,BP,Wald ratio,1,1.05,6.44E-02,NA,NA,NA,0.024940808
PHACTR2,Brain,BP,Wald ratio,1,0.929,6.62E-02,NA,NA,NA,0.02867134
LINC00390,Brain,BP,Wald ratio,1,1.078,6.71E-02,NA,NA,NA,0.034718761
LINC02268,Brain,BP,Wald ratio,1,1.052,6.85E-02,NA,NA,NA,0.037705964
KCNS3,Brain,BP,Wald ratio,1,1.03,6.87E-02,NA,NA,NA,0.025415754
