Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
EPHA2,Brain Substantia nigra,ANX,Wald ratio,1,1.178,3.01E-03,NA,NA,NA,0.048131165
EIF2A,Brain Spinal cord cervical,ANX,Wald ratio,1,0.892,3.06E-03,NA,NA,NA,0.283423439
SFXN5,Brain Putamen basal ganglia,ANX,Wald ratio,1,0.913,3.07E-03,NA,NA,NA,0.550834469
LINC01234,Brain Spinal cord cervical,ANX,Wald ratio,1,0.786,3.10E-03,NA,NA,NA,0.000512053
ASRGL1,Brain Hippocampus,ANX,Wald ratio,1,0.875,3.13E-03,NA,NA,NA,0.585391226
CCDC122,Brain Spinal cord cervical,ANX,Wald ratio,1,0.883,3.31E-03,NA,NA,NA,0.014352994
PEX16,Brain Spinal cord cervical,ANX,Wald ratio,1,1.169,3.32E-03,NA,NA,NA,0.001324754
CD247,Brain Hypothalamus,ANX,Wald ratio,1,1.215,3.33E-03,NA,NA,NA,0.004785726
TMEM167A,Brain Cortex,ANX,Wald ratio,1,0.91,3.37E-03,NA,NA,NA,0.472029593
AC024610.2,Brain Cortex,ANX,Wald ratio,1,2.503,3.39E-03,NA,NA,NA,0.521031102
CEP89,Brain Putamen basal ganglia,ANX,Wald ratio,1,0.816,3.39E-03,NA,NA,NA,0.002493058
PGGHG,Brain Spinal cord cervical,ANX,Wald ratio,1,1.252,3.43E-03,NA,NA,NA,0.003160329
PTTG1,Brain Hypothalamus,ANX,Wald ratio,1,1.275,3.53E-03,NA,NA,NA,0.006055395
NRP1,Brain Substantia nigra,ANX,Wald ratio,1,1.163,3.53E-03,NA,NA,NA,0.000464032
HMBOX1,Brain Cortex,ANX,Wald ratio,1,1.487,3.55E-03,NA,NA,NA,0.482901396
LNP1,Brain Nucleus accumbens basal ganglia,ANX,Wald ratio,1,0.832,3.55E-03,NA,NA,NA,0.001686978
TRAK2,Brain Cortex,ANX,Wald ratio,1,0.358,3.57E-03,NA,NA,NA,0.470703325
U2AF2,Brain Hippocampus,ANX,Wald ratio,1,1.215,3.67E-03,NA,NA,NA,0.012332053
C8orf76,Brain Putamen basal ganglia,ANX,Wald ratio,1,1.286,3.73E-03,NA,NA,NA,0.005883087
CFAP410,Brain Hippocampus,ANX,Wald ratio,1,0.886,3.88E-03,NA,NA,NA,0.511481243
AC036214.1,Brain Cortex,ANX,Wald ratio,1,2.636,3.89E-03,NA,NA,NA,0.466955418
AC091938.1,Brain Cortex,ANX,Wald ratio,1,3.567,3.90E-03,NA,NA,NA,0.439801773
EMP1,Brain Hypothalamus,ANX,Wald ratio,1,1.191,3.94E-03,NA,NA,NA,0.001987123
METTL22,Brain Substantia nigra,ANX,Wald ratio,1,1.127,4.14E-03,NA,NA,NA,0.038038555
ACER3,Brain Cortex,ANX,Wald ratio,1,2.178,4.15E-03,NA,NA,NA,0.460727999
PBX3,Brain Substantia nigra,ANX,Wald ratio,1,0.853,4.26E-03,NA,NA,NA,0.008444433
MSH6,Brain Cortex,ANX,Wald ratio,1,1.255,4.31E-03,NA,NA,NA,0.507076065
PPP1R21,Brain Cortex,ANX,Wald ratio,1,2.993,4.31E-03,NA,NA,NA,0.506795317
