Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
C1orf113,Lymphocyte,ED,Wald ratio,1,0.992,7.58E-01,NA,NA,NA,0.008084869
FAM176B,Lymphocyte,ED,Wald ratio,1,0.962,7.58E-01,NA,NA,NA,0.008084867
ROR1,Lymphocyte,ED,Wald ratio,1,1.01,7.62E-01,NA,NA,NA,0.008886892
CLCA2,Lymphocyte,ED,Wald ratio,1,1.004,7.71E-01,NA,NA,NA,0.007637305
ST3GAL3,Lymphocyte,ED,Wald ratio,1,0.995,7.73E-01,NA,NA,NA,0.007173406
KCNQ4,Lymphocyte,ED,Wald ratio,1,0.962,7.75E-01,NA,NA,NA,0.013687404
ZNF642,Lymphocyte,ED,Wald ratio,1,1.138,7.79E-01,NA,NA,NA,0.008981367
C1orf94,Lymphocyte,ED,Wald ratio,1,1.022,7.88E-01,NA,NA,NA,0.008198004
HOOK1,Lymphocyte,ED,Wald ratio,1,0.878,7.99E-01,NA,NA,NA,0.01288999
SLC2A7,Lymphocyte,ED,Wald ratio,1,0.995,8.01E-01,NA,NA,NA,0.007911047
IGSF9,Lymphocyte,ED,Wald ratio,1,0.989,8.02E-01,NA,NA,NA,0.009912759
TMEM79,Lymphocyte,ED,Wald ratio,1,1.02,8.23E-01,NA,NA,NA,0.008359151
PAQR6,Lymphocyte,ED,Wald ratio,1,1.147,8.23E-01,NA,NA,NA,0.008359014
CAMTA1,Lymphocyte,ED,MR Egger,3,1.289,8.25E-01,0.00047696,0.001378414,0.825059745,0.223456835
CYP2J2,Lymphocyte,ED,Wald ratio,1,1.065,8.49E-01,NA,NA,NA,0.01309784
PRDM16,Lymphocyte,ED,Inverse variance weighted,3,1.002,8.98E-01,0.834020525,0.073288013,0.263486244,0.049933703
PGLYRP3,Lymphocyte,ED,Wald ratio,1,1.002,9.24E-01,NA,NA,NA,0.006769161
BCL2L15,Lymphocyte,ED,Wald ratio,1,0.999,9.38E-01,NA,NA,NA,0.007053222
PDE4B,Lymphocyte,ED,Wald ratio,1,0.987,9.39E-01,NA,NA,NA,0.00715076
SPAG17,Lymphocyte,ED,Wald ratio,1,1.002,9.59E-01,NA,NA,NA,0.015058646
AJAP1,Lymphocyte,ED,MR Egger,3,1.003,9.63E-01,0.403830124,0.703459721,0.94840313,0.006829922
CAMTA1,Lymphocyte,ED,Inverse variance weighted,3,1,9.99E-01,0.00047696,0.001378414,0.825059745,0.223456835
AIM2,Lymphocyte,ED,Wald ratio,1,1,1.00E+00,NA,NA,NA,0.015179603
