Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
CCDC71,Pericytes,ADHD,Wald ratio,1,0.909,6.98E-06,NA,NA,NA,0.01348249
ZMYND12,Microglia,ADHD,Wald ratio,1,1.141,7.26E-06,NA,NA,NA,0.013436071
SLC25A20,Endothelial cells,ADHD,Wald ratio,1,1.118,7.49E-06,NA,NA,NA,0.015364504
C12orf65,Excitatory neurons,ADHD,Wald ratio,1,0.858,8.07E-06,NA,NA,NA,0.317711592
SYT4,Excitatory neurons,ADHD,Wald ratio,1,1.421,8.49E-06,NA,NA,NA,0.009536788
KMT5A,Excitatory neurons,ADHD,Wald ratio,1,1.221,8.80E-06,NA,NA,NA,0.083465372
SLC25A20,Oligodendrocytes,ADHD,Wald ratio,1,0.82,8.92E-06,NA,NA,NA,0.00777886
MYLK,P_FPP_D11,ADHD,Wald ratio,1,1.177,9.88E-06,NA,NA,NA,0.880170854
DRAM1,OPCs / COPs,ADHD,Wald ratio,1,1.154,9.97E-06,NA,NA,NA,0.011121514
SMC4,FPP_D11,ADHD,Wald ratio,1,1.189,1.00E-05,NA,NA,NA,0.990056049
HYI,Excitatory neurons,ADHD,Wald ratio,1,1.175,1.01E-05,NA,NA,NA,0.336344153
SZT2,Excitatory neurons,ADHD,Wald ratio,1,1.293,1.01E-05,NA,NA,NA,0.053718247
HYI,Astrocytes,ADHD,Wald ratio,1,1.192,1.01E-05,NA,NA,NA,0.053005976
ICA1L,Excitatory neurons,ADHD,Wald ratio,1,1.131,1.01E-05,NA,NA,NA,0.99104499
CNPY2,Endothelial cells,ADHD,Wald ratio,1,0.83,1.01E-05,NA,NA,NA,0.00724265
IKZF4,Astrocytes,ADHD,Wald ratio,1,0.877,1.03E-05,NA,NA,NA,0.007433845
ERBB3,OPCs / COPs,ADHD,Wald ratio,1,0.869,1.03E-05,NA,NA,NA,0.011818549
HYI,FPP_D30,ADHD,Wald ratio,1,0.902,1.07E-05,NA,NA,NA,0.986999856
HYI,Epen1_D52_ROT,ADHD,Wald ratio,1,0.873,1.07E-05,NA,NA,NA,0.984774651
HYI,DA_D30,ADHD,Wald ratio,1,0.884,1.07E-05,NA,NA,NA,0.986838005
SLK,Microglia,ADHD,Wald ratio,1,1.335,1.10E-05,NA,NA,NA,0.007429441
MCMBP,Endothelial cells,ADHD,Wald ratio,1,0.858,1.11E-05,NA,NA,NA,0.006727205
KPNA4,OPCs / COPs,ADHD,Wald ratio,1,0.816,1.12E-05,NA,NA,NA,0.010146465
SLC9B1,Inhibitory neurons,ADHD,Wald ratio,1,1.135,1.15E-05,NA,NA,NA,0.010438472
CCDC71,Microglia,ADHD,Wald ratio,1,1.235,1.19E-05,NA,NA,NA,0.008150473
VILL,Excitatory neurons,ADHD,Wald ratio,1,0.805,1.27E-05,NA,NA,NA,0.005465537
TIE1,Endothelial cells,ADHD,Wald ratio,1,1.087,1.32E-05,NA,NA,NA,0.019686967
MED8,Epen1_D52_ROT,ADHD,Wald ratio,1,0.886,1.32E-05,NA,NA,NA,0.984248865
BDNF-AS,DA_D30,ADHD,Wald ratio,1,1.156,1.38E-05,NA,NA,NA,0.979993901
RAB7A,Inhibitory neurons,ADHD,Wald ratio,1,1.22,1.49E-05,NA,NA,NA,0.005860822
MED8,Epen1_D30,ADHD,Wald ratio,1,0.839,1.54E-05,NA,NA,NA,0.965685865
FAM102B,OPCs / COPs,ADHD,Wald ratio,1,0.857,1.58E-05,NA,NA,NA,0.006049413
AL133352.1,Endothelial cells,ADHD,Wald ratio,1,0.894,1.66E-05,NA,NA,NA,0.011897645
CDH8,FPP_D11,ADHD,Wald ratio,1,0.905,1.73E-05,NA,NA,NA,0.983481635
MSS51,Endothelial cells,ADHD,Wald ratio,1,0.901,1.75E-05,NA,NA,NA,0.009931849
KPNB1,Inhibitory neurons,ADHD,Wald ratio,1,0.668,1.82E-05,NA,NA,NA,0.005424486
CDH8,P_FPP_D11,ADHD,Wald ratio,1,0.908,1.90E-05,NA,NA,NA,0.982140886
LYG1,Inhibitory neurons,ADHD,Wald ratio,1,1.169,1.99E-05,NA,NA,NA,0.005913604
KIF11,Oligodendrocytes,ADHD,Wald ratio,1,1.141,1.99E-05,NA,NA,NA,0.007578552
AL139220.2,Astrocytes,ADHD,Wald ratio,1,0.86,2.01E-05,NA,NA,NA,0.0083409
AP006621.3,Excitatory neurons,ADHD,Wald ratio,1,1.066,2.02E-05,NA,NA,NA,0.976238998
AP006621.3,Inhibitory neurons,ADHD,Wald ratio,1,1.104,2.02E-05,NA,NA,NA,0.03531478
MPHOSPH9,Oligodendrocytes,ADHD,Wald ratio,1,0.814,2.14E-05,NA,NA,NA,0.007840864
LINC00461,OPCs / COPs,ADHD,Wald ratio,1,0.81,2.18E-05,NA,NA,NA,0.003595027
CISD2,Epen1_D52_ROT,ADHD,Wald ratio,1,1.215,2.24E-05,NA,NA,NA,0.742270074
NUDT13,Endothelial cells,ADHD,Wald ratio,1,1.183,2.28E-05,NA,NA,NA,0.004285718
KIAA0586,Endothelial cells,ADHD,Wald ratio,1,0.897,2.28E-05,NA,NA,NA,0.003688399
RND2,P_FPP_D11,ADHD,Wald ratio,1,1.139,2.42E-05,NA,NA,NA,0.972949981
ACAD8,Oligodendrocytes,ADHD,Wald ratio,1,1.224,2.50E-05,NA,NA,NA,0.003906469
SMC5,Excitatory neurons,ADHD,Wald ratio,1,1.618,2.56E-05,NA,NA,NA,0.004590508
REV1,Microglia,ADHD,Wald ratio,1,0.868,2.64E-05,NA,NA,NA,0.011604031
MPHOSPH9,Epen1_D30,ADHD,Wald ratio,1,1.093,2.74E-05,NA,NA,NA,0.975280509
MPHOSPH9,Sert_D52_ROT,ADHD,Wald ratio,1,1.13,2.74E-05,NA,NA,NA,0.919442117
ABCA4,OPCs / COPs,ADHD,Wald ratio,1,1.165,2.81E-05,NA,NA,NA,0.003490786
GCLM,Excitatory neurons,ADHD,Wald ratio,1,0.83,2.81E-05,NA,NA,NA,0.003606803
