Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
KCD16,BannerBBDP,ASD,Inverse variance weighted,3,0.155,4.62E-03,0.281179391,0.330421072,0.515526074,4.68E-08
RIR1,BannerBBDP,ASD,Inverse variance weighted,2,3.13,4.65E-03,NA,0.495513874,NA,0.001552835
WASC5,ROSMAP,ASD,Inverse variance weighted,3,0.082,4.69E-03,0.178006697,0.39666689,0.911977616,1.34E-07
HACE1,BannerBBDP,ASD,Inverse variance weighted,2,0.121,4.71E-03,NA,0.341626378,NA,8.92E-07
CPT2,BannerBBDP,ASD,Weighted median,4,1.312,4.99E-03,0.029136653,0.069025306,0.946376985,0.303571055
SYNPO,BannerBBDP,ASD,Wald ratio,1,0,5.06E-03,NA,NA,NA,9.37E-08
KIFC2,BannerBBDP,ASD,Wald ratio,1,0.002,5.30E-03,NA,NA,NA,7.91E-06
VPS28,BannerBBDP,ASD,Wald ratio,1,3150980000,5.30E-03,NA,NA,NA,2.84E-06
CH082,BannerBBDP,ASD,Wald ratio,1,0,5.30E-03,NA,NA,NA,5.47E-06
LRC14,BannerBBDP,ASD,Wald ratio,1,0,5.30E-03,NA,NA,NA,0.000237845
PP16A,BannerBBDP,ASD,Wald ratio,1,3.705,5.30E-03,NA,NA,NA,0.358416228
CPSF1,BannerBBDP,ASD,Wald ratio,1,0.001,5.30E-03,NA,NA,NA,2.21E-06
RHG39,BannerBBDP,ASD,Wald ratio,1,0.003,5.30E-03,NA,NA,NA,2.33E-06
ALAT1,BannerBBDP,ASD,Wald ratio,1,3.018,5.30E-03,NA,NA,NA,0.000518532
TAGL2,BannerBBDP,ASD,Inverse variance weighted,6,0.308,5.31E-03,0.881764387,0.913566188,0.602904282,2.67E-07
NP1L4,ROSMAP,ASD,Inverse variance weighted,4,6.67,5.34E-03,0.929493759,0.967414687,0.768259493,4.70E-08
GBRD,BannerBBDP,ASD,Inverse variance weighted,3,0.196,5.44E-03,0.779727278,0.820796253,0.673658063,1.29E-07
DICER,BannerBBDP,ASD,Inverse variance weighted,4,2.119,5.45E-03,0.569128737,0.766500261,0.90939759,5.97E-08
FBRL,ROSMAP,ASD,Inverse variance weighted,2,0.066,5.68E-03,NA,0.284481457,NA,1.09E-07
KPRA,ROSMAP,ASD,Wald ratio,1,0,5.72E-03,NA,NA,NA,4.64E-08
UBE2O,ROSMAP,ASD,Wald ratio,1,69.53,5.72E-03,NA,NA,NA,2.99E-08
RS9,BannerBBDP,ASD,Inverse variance weighted,4,0.38,5.78E-03,0.358232504,0.534927391,0.754429401,5.46E-08
NGEF,BannerBBDP,ASD,Inverse variance weighted,2,2.733,5.85E-03,NA,0.695835574,NA,4.40E-08
CPT2,ROSMAP,ASD,Weighted median,4,1.359,5.86E-03,0.03925139,0.084035074,0.839304562,3.06E-07
PSA7,BannerBBDP,ASD,Inverse variance weighted,2,105.567,5.98E-03,NA,0.441967609,NA,2.50E-06
ADCK5,ROSMAP,ASD,Inverse variance weighted,3,15.304,6.08E-03,0.215734654,0.290754521,0.577353894,3.44E-08
NOA1,BannerBBDP,ASD,Inverse variance weighted,4,0.425,6.25E-03,0.924170611,0.852671016,0.510900234,0.000110788
FRDA,ROSMAP,ASD,Inverse variance weighted,4,0.426,6.25E-03,0.107856615,0.216203243,0.975863775,5.90E-05
S39AA,ROSMAP,ASD,Wald ratio,1,790492.4,6.26E-03,NA,NA,NA,2.02E-07
ENAH,BannerBBDP,ASD,Wald ratio,1,0,6.32E-03,NA,NA,NA,4.16E-06
MFS11,ROSMAP,ASD,Wald ratio,1,0.077,6.68E-03,NA,NA,NA,6.39E-07
FAAH1,BannerBBDP,ASD,Inverse variance weighted,2,1.671,6.75E-03,NA,0.519970168,NA,0.006929599
