Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
CDC42SE1,FPP_D11,BP,Wald ratio,1,2.117,5.81E-04,NA,NA,NA,0.009362555
C1orf56,FPP_D11,BP,Wald ratio,1,2.048,5.81E-04,NA,NA,NA,0.007583959
CWF19L1,Inhibitory neurons,BP,Wald ratio,1,0.938,5.99E-04,NA,NA,NA,0.02571583
CWF19L1,Excitatory neurons,BP,Wald ratio,1,0.935,5.99E-04,NA,NA,NA,0.628281318
MDM4,Inhibitory neurons,BP,Wald ratio,1,0.845,6.18E-04,NA,NA,NA,0.000203692
PRRT1,Excitatory neurons,BP,Wald ratio,1,0.823,6.19E-04,NA,NA,NA,0.000316129
FOCAD,Excitatory neurons,BP,Wald ratio,1,0.884,6.24E-04,NA,NA,NA,0.510940678
PCAT1,Microglia,BP,Wald ratio,1,1.147,6.25E-04,NA,NA,NA,0.000180527
ITGA4,Microglia,BP,Wald ratio,1,1.08,6.38E-04,NA,NA,NA,0.000786054
IFT57,DA_D30,BP,Wald ratio,1,0.865,6.71E-04,NA,NA,NA,0.469668924
MARK3,Oligodendrocytes,BP,Wald ratio,1,0.925,6.79E-04,NA,NA,NA,0.60799972
ARL6IP6,FPP_D11,BP,Wald ratio,1,1.107,6.89E-04,NA,NA,NA,0.670802577
FZD8,Astrocytes,BP,Wald ratio,1,0.752,6.92E-04,NA,NA,NA,0.000408589
WDR93,Epen1_D52,BP,Wald ratio,1,0.944,7.16E-04,NA,NA,NA,0.694326557
WDR93,Epen1_D52_ROT,BP,Wald ratio,1,0.931,7.16E-04,NA,NA,NA,0.37238891
MRTFA,OPCs / COPs,BP,Wald ratio,1,0.86,7.22E-04,NA,NA,NA,0.000405338
TSNARE1,P_FPP_D11,BP,Wald ratio,1,0.912,7.32E-04,NA,NA,NA,0.170348599
SYNC,Epen1_D52_ROT,BP,Wald ratio,1,0.886,7.33E-04,NA,NA,NA,0.569403167
SYNC,FPP_D30,BP,Wald ratio,1,0.811,7.33E-04,NA,NA,NA,0.653033873
AC091826.2,Excitatory neurons,BP,Wald ratio,1,1.128,7.34E-04,NA,NA,NA,0.194177017
B3GALT1,Excitatory neurons,BP,Wald ratio,1,1.264,7.41E-04,NA,NA,NA,0.000143112
GVQW3,Oligodendrocytes,BP,Wald ratio,1,1.143,7.42E-04,NA,NA,NA,0.000395039
CLEC14A,OPCs / COPs,BP,Wald ratio,1,1.076,7.43E-04,NA,NA,NA,0.016157695
PM20D1,Excitatory neurons,BP,Wald ratio,1,1.042,7.84E-04,NA,NA,NA,0.568455209
PM20D1,Endothelial cells,BP,Wald ratio,1,1.064,7.84E-04,NA,NA,NA,0.005244262
PM20D1,Inhibitory neurons,BP,Wald ratio,1,1.041,7.84E-04,NA,NA,NA,0.568455209
SLC26A9,Astrocytes,BP,Wald ratio,1,1.082,7.84E-04,NA,NA,NA,0.000558828
PM20D1,OPCs / COPs,BP,Wald ratio,1,1.054,7.84E-04,NA,NA,NA,0.567902844
PM20D1,Astrocytes,BP,Wald ratio,1,1.058,7.84E-04,NA,NA,NA,0.568455192
RAB7L1,Sert_D52,BP,Wald ratio,1,1.092,7.84E-04,NA,NA,NA,0.561455874
DPYSL5,Oligodendrocytes,BP,Wald ratio,1,1.058,8.05E-04,NA,NA,NA,0.559878247
AC125613.1,Inhibitory neurons,BP,Wald ratio,1,0.861,8.09E-04,NA,NA,NA,0.001072143
ZNF93,Oligodendrocytes,BP,Wald ratio,1,0.924,8.13E-04,NA,NA,NA,0.000457336
ZNF93,OPCs / COPs,BP,Wald ratio,1,0.949,8.13E-04,NA,NA,NA,0.03552132
MTUS1,Oligodendrocytes,BP,Wald ratio,1,1.04,8.31E-04,NA,NA,NA,0.60428562
DENND1B,Astrocytes,BP,Wald ratio,1,1.142,8.34E-04,NA,NA,NA,0.000407788
TM6SF1,Excitatory neurons,BP,Wald ratio,1,1.175,8.36E-04,NA,NA,NA,0.000304602
UCHL3,Excitatory neurons,BP,Wald ratio,1,1.084,8.47E-04,NA,NA,NA,0.40700224
MITF,OPCs / COPs,BP,Wald ratio,1,0.922,8.49E-04,NA,NA,NA,0.002932457
P2RX4,Excitatory neurons,BP,Wald ratio,1,0.887,9.07E-04,NA,NA,NA,0.175707744
ZNF236-DT,Excitatory neurons,BP,Wald ratio,1,0.834,9.14E-04,NA,NA,NA,0.000111489
CREB1,FPP_D30,BP,Wald ratio,1,1.126,9.20E-04,NA,NA,NA,0.577149203
PCDH17,Astrocytes,BP,Wald ratio,1,0.852,9.48E-04,NA,NA,NA,0.000107759
MRPL13,Sert_D52_ROT,BP,Wald ratio,1,1.122,1.00E-03,NA,NA,NA,0.523607419
BAZ2A,Oligodendrocytes,BP,Wald ratio,1,0.878,1.01E-03,NA,NA,NA,0.000352924
LRP1,Astrocytes,BP,Wald ratio,1,0.841,1.01E-03,NA,NA,NA,0.000105973
CHRNA3,P_FPP_D11,BP,Wald ratio,1,0.945,1.03E-03,NA,NA,NA,0.507742545
CHRNA3,FPP_D11,BP,Wald ratio,1,0.948,1.03E-03,NA,NA,NA,0.507742565
CCDC122,OPCs / COPs,BP,Wald ratio,1,0.966,1.04E-03,NA,NA,NA,0.498563863
CCDC122,Oligodendrocytes,BP,Wald ratio,1,0.963,1.04E-03,NA,NA,NA,0.49856373
EIPR1,Oligodendrocytes,BP,Wald ratio,1,0.849,1.07E-03,NA,NA,NA,0.00013256
CD47,Oligodendrocytes,BP,Wald ratio,1,1.25,1.10E-03,NA,NA,NA,0.000195284
MYH15,Oligodendrocytes,BP,Wald ratio,1,1.168,1.10E-03,NA,NA,NA,0.000124952
MYH15,Astrocytes,BP,Wald ratio,1,1.179,1.10E-03,NA,NA,NA,0.000477861
